parameter,value,se_lin,rse_lin
Cl_pop,20.6119013632184,4.04813509128835,19.6397946019292
beta_Cl_tSCRMGDL,-0.413868096205078,0.183224601110392,44.2712552116124
V1_pop,23.9408104564276,2.14052602459421,8.94090878205636
Q_pop,23.4,,
V2_pop,12.8210156886606,2.98826681047565,23.3075669123359
omega_Cl,0.224524338287994,0.0427896244501956,19.0579002599309
omega_V1,0.301039392128558,0.0708654442688362,23.5402562328366
omega_Q,0.878370096756564,0.247205428113244,28.1436525476067
omega_V2,0.805174892293142,0.188378172016114,23.395932215374
a,1.8616941830122,0.219421469008595,11.7861177743798
