parameter,value
Cl_pop,13.4858277312798
V1_pop,23.4482297422662
beta_V1_logtCLCRMLMIN,-1.51354074616832
Q_pop,23.4
beta_Q_LMP_1,0.858432789269969
beta_Q_logtAGEA,1.1878366300052
beta_Q_logtALBGDL,17.7730274241542
beta_Q_logtHCM,-1.32060985712649
beta_Q_logtPROGDL,-17.8699352457416
V2_pop,3.12773927782106
beta_V2_SEXF_1,4.31201542866609
beta_V2_logtHCM,33.4663092594389
omega_Cl,0.257605440829501
omega_V1,0.154440914410619
omega_Q,5.19469715353385e-8
omega_V2,4.12818091639409e-8
a,1.44706182831955
b,0.0401434752622931
