iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,omega_Cl,omega_Q,omega_V1,omega_V2
1,423.881,1,13.5,23.5,24.3,12.2,1,0.262,0.836,0.297,0.822
2,394.014,1,13.4219,20.8661,24.0997,16.0855,1.35929,0.261349,0.883853,0.339567,0.733106
3,415.206,1,13.4898,21.7465,23.8964,16.2311,1.54011,0.257513,0.909428,0.331852,0.730337
4,424.776,1,13.4618,22.082,24.3037,15.0824,1.60995,0.260544,0.966012,0.335968,0.706632
5,419.885,1,13.4389,22.2508,24.2586,15.6168,1.58807,0.248987,0.945321,0.338508,0.67655
6,420.774,1,13.5066,21.1516,24.0146,15.6116,1.60905,0.258699,0.937549,0.329393,0.642703
7,423.044,1,13.3372,21.959,24.1968,15.8948,1.63578,0.255475,0.968209,0.320911,0.641433
8,425.742,1,13.3507,22.1795,24.3747,15.9533,1.66503,0.249949,0.959884,0.313985,0.659541
9,438.043,1,13.3329,20.9418,24.4019,16.151,1.73027,0.255052,1.03909,0.322103,0.698367
10,436.892,1,13.4961,19.5113,25.0183,14.3549,1.70953,0.265636,1.1276,0.309811,0.668835
11,440.637,1,13.4816,19.7949,25.1274,14.7855,1.74131,0.256564,1.13688,0.304672,0.701526
12,443.157,1,13.4764,19.1344,24.7093,15.3691,1.76495,0.259105,1.11114,0.306207,0.711322
13,442.798,1,13.4829,21.2913,25.0633,15.0204,1.78134,0.261876,1.0177,0.291909,0.755884
14,440.304,1,13.5341,21.0311,24.8268,13.9101,1.7575,0.260237,1.08478,0.285639,0.723356
15,440.336,1,13.3608,22.9368,24.5185,13.0551,1.79295,0.253759,1.03112,0.270707,0.734238
16,443.673,1,13.5264,22.4766,24.4849,13.9732,1.80516,0.259177,0.953923,0.283557,0.792116
17,444.973,1,13.4756,20.7605,23.9239,13.1493,1.86258,0.260785,0.965536,0.278255,0.698281
18,444.441,1,13.4391,23.2366,24.3234,12.1025,1.83583,0.257663,1.04541,0.275311,0.703625
19,443.201,1,13.3998,22.964,23.9475,12.3419,1.82543,0.259733,0.979619,0.270952,0.747702
20,442.655,1,13.4929,23.5974,24.1866,13.3071,1.80242,0.262115,0.954323,0.275856,0.787509
21,446.479,1,13.5418,22.2139,24.3659,12.3567,1.83882,0.260475,0.926256,0.270379,0.847441
22,448.366,1,13.5831,20.8177,24.4391,13.2453,1.82624,0.262516,0.990854,0.283951,0.818943
23,446.659,1,13.5404,21.0876,24.5548,12.333,1.82901,0.266449,0.98096,0.276869,0.78496
24,451.169,1,13.6085,24.018,24.5184,13.1157,1.89082,0.271097,0.957846,0.279085,0.748204
25,447.688,1,13.5192,24.6953,24.3219,13.0472,1.8879,0.266251,1.02201,0.275616,0.649994
26,444.085,1,13.5658,21.288,24.2179,13.14,1.85246,0.264859,1.03599,0.268624,0.653588
27,445.793,1,13.6598,21.4925,24.1394,12.9233,1.90445,0.274147,0.966085,0.259666,0.630318
28,459.4,1,13.5554,21.0151,24.1709,13.4597,1.9811,0.263244,0.953731,0.29342,0.733689
29,461.454,1,13.6494,19.8849,24.4515,13.048,2.00568,0.261132,0.969571,0.292558,0.723579
30,467.202,1,13.41,19.8327,24.4785,14.5504,2.01062,0.259655,1.05683,0.302734,0.770398
31,451.157,1,13.4411,19.2949,24.3368,14.2288,1.87763,0.259895,1.02459,0.296813,0.713867
32,455.576,1,13.4155,21.4091,23.8422,14.2775,1.95976,0.252775,0.956995,0.285376,0.737851
33,457.523,1,13.3567,21.3942,24.0395,14.6164,1.9903,0.259936,0.928328,0.284189,0.72099
34,452.902,1,13.5507,22.9656,23.4287,13.6506,1.95749,0.26604,0.917171,0.279186,0.686475
35,452.143,1,13.6482,23.6153,23.2736,13.7334,1.90189,0.261027,1.07448,0.294016,0.654341
36,447.326,1,13.4797,24.6173,23.8538,13.0756,1.85751,0.265465,1.01461,0.294586,0.667121
37,462.097,1,13.5468,23.5384,23.6015,12.2265,2.00763,0.274644,1.04413,0.291483,0.64973
38,453.593,1,13.4545,24.6908,23.9557,12.8061,1.92992,0.266638,0.953586,0.289292,0.705723
39,455.086,1,13.5194,25.1561,24.2353,12.9492,1.94987,0.266566,0.92717,0.294382,0.707718
40,447.687,1,13.5706,25.0636,24.0947,12.7338,1.88027,0.274777,0.882023,0.276917,0.75272
41,441.636,1,13.4186,24.8609,23.9805,13.4208,1.85041,0.264234,0.863864,0.267895,0.738004
42,451.955,1,13.3673,25.5356,24.0522,14.7206,1.96105,0.256702,0.839253,0.286669,0.734328
43,448.709,1,13.4106,23.4959,23.7723,14.1359,1.88818,0.267122,0.971652,0.282331,0.692252
44,457.293,1,13.6216,24.5719,23.4894,12.753,1.96271,0.273859,0.967687,0.287265,0.695557
45,449.426,1,13.6392,26.9899,23.3265,13.8815,1.86249,0.270079,1.05066,0.280995,0.707598
46,449.998,1,13.6733,27.5414,23.3883,13.8601,1.82723,0.262568,1.15525,0.28351,0.746089
47,451.833,1,13.6351,28.8577,23.1923,14.0449,1.80947,0.264583,1.2208,0.295967,0.753221
48,447.458,1,13.6069,28.9568,23.1999,15.164,1.8206,0.267569,1.07943,0.290229,0.720796
49,453.424,1,13.4035,25.9377,23.1196,15.2532,1.87965,0.251402,1.08516,0.303995,0.739609
50,449.29,1,13.35,29.0479,22.9117,15.1565,1.84267,0.254853,1.09922,0.311537,0.679012
