Cl_pop,1,0.19371,-0.19236,-0.19345,0.053315,0.19113,-0.19052,-0.0086367,-0.052161,-0.18455
V1_pop,0.19371,1,-0.99543,-0.9571,0.24383,0.99277,-0.98207,-0.066107,-0.31617,-0.95035
Q_pop,-0.19236,-0.99543,1,0.95257,-0.24368,-0.99343,0.98154,0.080353,0.3147,0.95331
V2_pop,-0.19345,-0.9571,0.95257,1,-0.23762,-0.9508,0.9518,0.013342,0.27974,0.90887
omega_Cl,0.053315,0.24383,-0.24368,-0.23762,1,0.24348,-0.24127,-0.021117,-0.065811,-0.23984
omega_V1,0.19113,0.99277,-0.99343,-0.9508,0.24348,1,-0.98656,-0.12094,-0.29602,-0.96294
omega_Q,-0.19052,-0.98207,0.98154,0.9518,-0.24127,-0.98656,1,0.096657,0.27967,0.95259
omega_V2,-0.0086367,-0.066107,0.080353,0.013342,-0.021117,-0.12094,0.096657,1,-0.17073,0.18808
a,-0.052161,-0.31617,0.3147,0.27974,-0.065811,-0.29602,0.27967,-0.17073,1,0.13641
b,-0.18455,-0.95035,0.95331,0.90887,-0.23984,-0.96294,0.95259,0.18808,0.13641,1
