Parameters,Run_1,Run_2,Run_3,Run_4
Cl_pop,20.6229,20.6332,20.6361,20.6695
V1_pop,23.6372,24.0167,24.0072,24.2545
V2_pop,13.5243,12.9181,12.7712,12.4264
a,1.86106,1.85526,1.89001,1.88941
beta_Cl_tSCRMGDL,-0.414834,-0.414612,-0.414941,-0.415912
omega_Cl,0.224545,0.224385,0.224495,0.224337
omega_Q,0.956203,0.900338,0.834521,0.83801
omega_V1,0.305031,0.29903,0.312366,0.30073
omega_V2,0.770065,0.812274,0.777418,0.830254
-2LL,507.848,507.632,507.484,507.609
