iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,561.085,1,13.5088,24.1422,13.1053,1.5,0,1.5,1.5,1.5,1.5
2,541.508,1,15.6222,21.7884,13.7125,1.84018,-0.347152,1.46202,1.46202,1.46202,1.46202
3,551.288,1,15.5793,21.5742,13.1702,1.94785,-0.337091,1.425,1.425,1.425,1.425
4,548.095,1,15.6162,21.7321,13.7073,1.90741,-0.342521,1.38892,1.38892,1.38892,1.38892
5,553.927,1,15.1302,21.7498,13.5142,2.03162,-0.325463,1.35375,1.35375,1.35375,1.35375
6,548.949,1,15.0673,21.3668,13.3928,2.01488,-0.317544,1.31947,1.31947,1.31947,1.31947
7,558.406,1,14.9935,21.6444,12.2654,2.09612,-0.323955,1.28606,1.28606,1.28606,1.28606
8,558.818,1,15.4385,20.9435,12.6477,2.10586,-0.33812,1.2535,1.26136,1.2535,1.2535
9,558.216,1,15.2416,21.381,12.3469,2.11536,-0.323137,1.22176,1.27355,1.22176,1.22176
10,557.67,1,14.8778,21.0714,11.2373,2.19813,-0.308744,1.19082,1.2413,1.19082,1.19082
11,558.033,1,14.6558,21.5784,11.0087,2.21317,-0.305944,1.16067,1.20987,1.16067,1.16067
12,561.347,1,14.9806,21.3703,9.91823,2.24024,-0.317323,1.13128,1.17924,1.13128,1.13324
13,559.54,1,14.6173,21.5701,9.14969,2.27364,-0.298388,1.10264,1.14938,1.10264,1.10455
14,556.758,1,14.9876,21.528,8.77455,2.27289,-0.310788,1.07472,1.12028,1.07472,1.07658
15,559.246,1,15.0307,21.5621,9.23029,2.29729,-0.317567,1.04751,1.09191,1.04751,1.07603
16,555.303,1,15.4701,21.2957,10.0704,2.275,-0.334335,1.02098,1.06426,1.02098,1.04879
17,543.784,1,15.5593,21.3145,10.2296,2.2174,-0.335949,0.995131,1.08909,0.995131,1.02223
18,536.158,1,15.2685,21.6727,9.97035,2.16125,-0.319268,0.969933,1.06374,0.969933,0.996348
19,536.754,1,15.1494,22.3643,10.0998,2.17534,-0.310102,0.945374,1.06747,0.945374,0.97112
20,533.383,1,15.5035,22.6796,10.7671,2.17188,-0.330888,0.921437,1.06772,0.921437,0.946531
21,537.192,1,15.2244,22.7278,10.5104,2.198,-0.316525,0.898105,1.11956,0.898105,0.922564
22,539.605,1,15.1281,22.7937,10.0569,2.1943,-0.31485,0.875365,1.10916,0.875365,0.899204
23,531.587,1,15.3126,22.3001,10.1449,2.13874,-0.323793,0.8532,1.13993,0.8532,0.876436
24,531.188,1,15.7396,22.4696,9.77111,2.14144,-0.339068,0.831597,1.19448,0.831597,0.854244
25,527.194,1,15.2848,22.9747,10.3059,2.09604,-0.318999,0.81054,1.24575,0.81054,0.832614
26,538.569,1,15.6246,22.853,9.79324,2.20281,-0.332528,0.790017,1.26321,0.790017,0.838289
