Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
8.62311,0.0543566,17.3958,0.00851932,10.0372,0.0418914,40.1961,106509,All
9.54768,0.132009,19.9239,0.0511159,30.089,0.00537069,40.1961,53254.4,All
10.4723,0.116478,22.4521,0.0283977,50.1409,0.00107414,40.1961,159763,All
11.3968,0.132009,24.9803,0.0596352,70.1927,0.00107414,40.1961,133136,All
12.3214,0.0854175,27.5085,0.0653148,90.2446,0.000716092,40.1961,452662,All
13.246,0.0465913,30.0367,0.0653148,110.296,0.000358046,40.1961,426035,All
14.1705,0.100948,32.5649,0.0596352,130.348,0.000358046,40.1961,532544,All
15.0951,0.0776522,35.0931,0.0511159,150.4,0,40.1961,639053,All
16.0197,0.0310609,37.6213,0.0283977,170.452,0.00143218,40.1961,426035,All
16.9442,0.116478,40.1495,0.00567955,190.504,0.000716092,40.1961,505917,All
17.8688,0.0854175,42.6777,0,210.556,0.000358046,40.1961,346153,All
18.7934,0.0854175,45.2059,0,230.608,0,40.1961,106509,All
19.7179,0.100948,47.734,0.00283977,250.659,0.000358046,40.1961,106509,All
