standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.72166,0.21297,-2.12637,0.0764276,-2.72246,0.063244,-2.12524,0.0861764,All
-1.41826,0.331287,-1.75061,0.0382138,-2.26838,0.047433,-1.792,0.172353,All
-1.11486,0.14198,-1.37486,0.133748,-1.81429,0.0948661,-1.45875,0.172353,All
-0.811457,0.0946535,-0.999106,0.24839,-1.36021,0.221354,-1.1255,0.193897,All
-0.508056,0.686238,-0.623353,0.477673,-0.906132,0.284598,-0.792257,0.36625,All
-0.204655,0.402277,-0.247599,0.477673,-0.45205,0.252976,-0.459011,0.387794,All
0.0987458,0.0946535,0.128154,0.382138,0.00203106,0.442708,-0.125765,0.36625,All
0.402147,0.28396,0.503908,0.229283,0.456113,0.411086,0.207482,0.387794,All
0.705548,0.21297,0.879662,0.420352,0.910194,0.268787,0.540728,0.258529,All
1.00895,0.496931,1.25542,0.152855,1.36428,0.142299,0.873974,0.215441,All
1.31235,0.402277,1.63117,0.0573207,1.81836,0.079055,1.20722,0.280073,All
1.61575,0.0946535,2.00692,0.0764276,2.27244,0.031622,1.54047,0.215441,All
1.91915,0.0946535,2.38268,0.0955345,2.72652,0.031622,1.87371,0.129265,All
