parameter,value,se_sa,rse_sa
Cl_pop,13.5022789238676,0.917823922968203,6.7975482371779
V1_pop,23.8349364274296,3.09187615883253,12.9720344262146
Q_pop,26.6956290366823,14.8802779321371,55.740503105172
V2_pop,13.0083936197805,3.98412274884376,30.6273231368516
omega_Cl,0.259123498129449,0.04846209429264,18.7023155531923
omega_V1,0.265319334368412,0.113299965683828,42.7032451116074
omega_Q,0.995850099033322,0.342072387465398,34.349786960653
omega_V2,0.895678840080765,0.244690089300904,27.3189538874046
a,1.54071558335429,0.266175123182307,17.2760713306227
b,0.0446071092758205,0.0170125724552061,38.1387019499778
