iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,omega_Cl,omega_Q,omega_V1,omega_V2
1,462.783,1,13.5291,23.7945,24.351,12.498,1.86241,0.2618,0.806029,0.296579,0.812814
2,456.772,1,13.3701,23.5978,23.9475,13.714,1.9044,0.257961,0.897233,0.266373,0.879638
3,463.922,1,13.4199,23.7192,24.3072,14.9967,1.95901,0.271463,0.913388,0.274113,0.854398
4,463.322,1,13.4327,22.5332,24.2991,14.5901,1.99068,0.270587,0.867341,0.281404,0.785081
5,459.531,1,13.3948,22.5176,24.2956,14.2132,1.94345,0.263727,0.847416,0.293515,0.804566
6,456.076,1,13.3935,21.2683,24.7878,13.8333,1.91473,0.270741,0.874045,0.275892,0.7901
7,458.423,1,13.3543,21.0064,24.8068,13.0162,1.94314,0.268013,0.927421,0.26313,0.781216
8,450.018,1,13.3407,21.9399,24.9605,13.3354,1.88767,0.261696,0.967104,0.252384,0.717593
9,448.397,1,13.3496,21.4328,25.0217,13.8773,1.86118,0.259186,0.903706,0.269768,0.748957
10,452.751,1,13.5525,19.4463,24.7691,12.9139,1.92102,0.256916,0.935036,0.259688,0.728783
11,449.589,1,13.5922,18.4088,24.9759,13.0711,1.84573,0.260481,0.969755,0.264877,0.779127
12,447.656,1,13.5962,19.2518,25.0523,12.2789,1.83298,0.258426,0.96355,0.259479,0.787125
13,452.005,1,13.6201,19.9164,25.0868,12.2129,1.88294,0.259082,0.987475,0.251041,0.77781
14,453.774,1,13.4916,20.7208,24.9688,13.0639,1.91173,0.258892,0.957285,0.252592,0.771345
15,456.01,1,13.5289,20.0573,24.9469,13.0052,1.89278,0.268635,1.13735,0.246971,0.73304
16,462.779,1,13.5856,19.0552,25.0211,13.0204,1.91389,0.252217,1.16935,0.247873,0.889119
17,453.285,1,13.5274,18.9393,24.9321,12.6121,1.85926,0.25498,1.1333,0.241233,0.808664
18,455.622,1,13.6069,19.7215,25.0153,13.1398,1.8679,0.268517,1.05932,0.26065,0.797948
19,447.432,1,13.5582,19.0409,25.07,13.1144,1.82815,0.261984,0.986723,0.275375,0.720767
20,449.642,1,13.6012,18.0698,24.9905,13.6794,1.84196,0.261672,0.970138,0.285138,0.730903
21,457.611,1,13.577,18.0622,24.7966,14.2799,1.91225,0.266537,0.936325,0.29634,0.745292
22,461.409,1,13.5432,17.5587,24.6186,13.4306,1.91839,0.263061,1.09091,0.314492,0.680673
23,456.505,1,13.5611,18.3744,24.2262,13.7175,1.89398,0.255893,1.01981,0.311066,0.692731
24,460.268,1,13.4249,17.4636,24.5841,13.7964,1.84227,0.265984,1.17154,0.32266,0.750076
25,459.095,1,13.4007,18.0903,24.175,14.0821,1.83332,0.259071,1.10913,0.34139,0.760199
26,452.49,1,13.4725,18.2163,24.2095,13.1693,1.80405,0.259106,1.14206,0.32701,0.680856
27,450.75,1,13.5164,18.402,24.2637,13.4339,1.7984,0.261177,1.07317,0.330992,0.682622
28,452.916,1,13.5871,17.3633,24.9424,13.8508,1.80149,0.263769,1.15525,0.31558,0.702183
29,457.697,1,13.4285,17.4905,25.106,14.1692,1.87263,0.249076,1.06242,0.321361,0.737915
30,459.15,1,13.5626,14.9302,25.1484,13.3608,1.89379,0.261736,1.0777,0.306223,0.716435
31,457.291,1,13.5039,16.7215,25.1468,13.1625,1.87565,0.262431,1.05964,0.302942,0.728994
32,450.707,1,13.3651,17.735,24.9665,13.6411,1.81611,0.264064,0.991653,0.316421,0.720666
33,456.661,1,13.5305,16.2554,24.6345,13.0743,1.85596,0.264671,1.07269,0.296187,0.762597
34,456.148,1,13.6676,16.5459,24.9042,13.4063,1.87048,0.275325,0.92581,0.295479,0.798271
35,462.285,1,13.5035,16.1509,25.4379,13.4793,1.90795,0.270388,0.943678,0.299212,0.85854
36,458.433,1,13.5843,15.0892,25.7165,14.3009,1.86693,0.271469,0.950573,0.29917,0.852441
37,460.42,1,13.4381,16.4088,25.3683,13.6558,1.90254,0.256338,0.927776,0.308134,0.854542
38,462.73,1,13.5543,17.1447,25.3195,13.9689,1.92681,0.256955,0.927653,0.314471,0.834959
39,471.881,1,13.5999,18.0629,25.0925,14.2636,1.985,0.26529,1.03045,0.319205,0.812385
40,469.899,1,13.4641,20.9161,24.616,14.4096,1.97559,0.264584,0.968886,0.312959,0.845515
41,464.836,1,13.3776,20.3233,24.2634,14.3683,1.90501,0.269339,1.00288,0.317861,0.831293
42,457.646,1,13.6216,18.2519,24.4824,14.1067,1.89336,0.261282,0.93728,0.300336,0.795972
43,446.304,1,13.6145,17.0206,25.5054,13.3984,1.76641,0.265942,0.953026,0.295296,0.814961
44,454.708,1,13.5349,17.0826,25.4822,13.2831,1.82962,0.266213,0.978539,0.295785,0.848182
45,449.869,1,13.5074,16.8721,25.3551,15.382,1.81912,0.26656,0.978188,0.279698,0.78979
46,442.343,1,13.4534,17.3794,24.8755,15.987,1.73511,0.256503,1.00028,0.289159,0.801419
47,446.435,1,13.381,17.3349,24.8019,14.6179,1.79823,0.252559,1.0329,0.285602,0.738232
48,449.098,1,13.451,18.5136,24.2146,14.0251,1.79295,0.262469,1.07622,0.309695,0.697548
49,458.845,1,13.4316,18.3097,24.2235,14.7779,1.8694,0.266289,1.15338,0.311383,0.68762
50,460.685,1,13.4116,18.1739,24.5629,15.5407,1.86937,0.263523,1.12648,0.310594,0.758639
51,453.692,1,13.3644,18.1001,24.6933,16.0151,1.78154,0.257356,1.10415,0.321603,0.809337
52,459.412,1,13.4734,16.3916,24.9046,16.2131,1.88534,0.264285,1.11133,0.296139,0.735216
53,454.614,1,13.4352,17.2122,24.8846,15.6777,1.86236,0.263157,1.0269,0.30674,0.706436
54,456.688,1,13.5303,17.1217,24.6842,15.2081,1.8599,0.275656,1.02597,0.2992,0.747596
55,452.756,1,13.4111,17.1832,24.851,15.6944,1.82682,0.260787,1.06499,0.299132,0.743749
56,460.355,1,13.6008,16.0976,25.0047,14.8487,1.85732,0.263161,1.07942,0.311351,0.816738
57,455.452,1,13.4805,17.816,25.2891,13.3027,1.81837,0.254223,1.01287,0.311591,0.865163
58,463.403,1,13.4779,18.6729,25.3639,13.1215,1.88978,0.253695,1.02254,0.312514,0.884083
59,461.565,1,13.532,16.4298,25.0759,12.5706,1.89544,0.267061,0.955291,0.302315,0.862629
60,459.377,1,13.471,18.2286,25.1807,13.9838,1.86934,0.254807,1.04555,0.288262,0.871956
61,465.143,1,13.4001,18.7951,24.8729,14.6385,1.89426,0.2533,1.13567,0.281842,0.92332
62,472.622,1,13.5084,18.3914,24.8971,15.1485,1.97972,0.261026,1.0769,0.285524,0.919248
63,468.207,1,13.4556,18.2162,24.9096,14.5653,1.96299,0.254252,1.08228,0.278228,0.875566
64,465.885,1,13.5172,18.1,24.6526,14.2003,1.9321,0.262028,1.10229,0.266933,0.885285
65,456.314,1,13.5456,19.2764,24.9867,14.5265,1.85591,0.262812,1.04001,0.264316,0.871893
66,450.73,1,13.4149,19.9458,24.7896,15.9022,1.8628,0.259546,1.05561,0.25396,0.733895
67,451.222,1,13.3978,20.9705,24.2344,14.984,1.85203,0.260537,1.15466,0.25699,0.693539
68,451.669,1,13.4483,22.7968,23.8876,14.7245,1.88547,0.262295,1.14622,0.237474,0.681684
69,454.582,1,13.4272,23.1114,23.6358,14.413,1.98493,0.257906,1.04175,0.230648,0.635264
70,446.566,1,13.6058,23.5219,23.6664,13.2739,1.83262,0.256677,1.03206,0.232768,0.788279
71,457.653,1,13.5741,23.3099,23.6034,14.2821,1.87546,0.26507,1.13456,0.240461,0.847195
72,449.904,1,13.6121,20.0778,24.2999,14.8679,1.8122,0.258318,1.22208,0.227494,0.815729
73,460.536,1,13.3825,21.497,24.2365,15.6165,1.91239,0.258064,1.13362,0.249825,0.824521
