iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,18.7536,1,13.5224,2.81566,28.8547,40.1961,0.149641,0.242333,2.22337,0.141456,4.67636e-08
2,28.0097,1,13.4443,2.29449,28.5241,40.1961,0.155684,0.235056,2.46246,0.112099,4.89702e-08
3,25.633,1,13.4724,2.69771,28.3391,40.1961,0.153003,0.253614,2.37939,0.110762,4.86406e-08
4,8.2945,1,13.3177,2.77822,27.7844,40.1961,0.143191,0.230899,2.2546,0.122325,4.22118e-08
5,19.0696,1,13.3999,2.45776,27.9676,40.1961,0.151528,0.234893,2.30694,0.121328,4.32547e-08
6,20.5005,1,13.4756,3.05011,28.0623,40.1961,0.155391,0.229487,2.16733,0.116858,4.69243e-08
7,26.1239,1,13.4854,3.17686,28.531,40.1961,0.157367,0.234349,2.19766,0.117728,4.95616e-08
8,22.1174,1,13.379,3.03417,28.3494,40.1961,0.153968,0.234697,2.08713,0.11108,5.1923e-08
9,23.8466,1,13.3823,3.62917,28.1366,40.1961,0.153716,0.229301,2.04303,0.126102,5.08414e-08
10,19.0801,1,13.3772,3.4,28.596,40.1961,0.148994,0.233314,2.06176,0.129003,4.81514e-08
11,31.6387,1,13.3686,3.4081,28.6282,40.1961,0.154669,0.231949,2.09535,0.131037,5.64549e-08
12,33.1309,1,13.4856,3.18751,27.9928,40.1961,0.156141,0.239586,2.13555,0.132389,5.66847e-08
13,31.3357,1,13.5164,3.13334,27.8339,40.1961,0.150408,0.239145,2.20252,0.145932,5.74165e-08
14,34.6384,1,13.3352,2.93315,28.4123,40.1961,0.152296,0.228069,2.19523,0.142988,5.92415e-08
15,37.3565,1,13.4821,3.08085,28.9844,40.1961,0.157658,0.234213,2.03759,0.132234,6.52337e-08
16,35.2135,1,13.4441,2.92534,28.6252,40.1961,0.155249,0.226148,2.08593,0.13826,6.4372e-08
17,23.6857,1,13.6642,3.59673,28.8846,40.1961,0.152974,0.244323,1.99702,0.13756,5.04802e-08
18,16.4208,1,13.4512,3.86902,28.9015,40.1961,0.146607,0.232187,2.04048,0.12983,4.9061e-08
19,17.7449,1,13.4797,3.42973,29.1301,40.1961,0.151563,0.236503,2.16047,0.118321,4.36118e-08
20,16.8385,1,13.6001,3.74647,29.4689,40.1961,0.155917,0.231615,1.93882,0.126587,4.04942e-08
21,14.7868,1,13.4899,3.68183,28.9933,40.1961,0.154331,0.238011,1.87225,0.11321,4.21946e-08
22,8.21511,1,13.5859,3.34589,29.0662,40.1961,0.154697,0.239225,1.80252,0.11151,3.82528e-08
23,-0.665757,1,13.5593,3.58025,28.7248,40.1961,0.146728,0.233624,1.93644,0.107003,3.76291e-08
24,1.75861,1,13.4065,3.05657,28.4875,40.1961,0.148192,0.224771,1.991,0.105957,3.68817e-08
25,1.86206,1,13.4238,3.13689,28.0314,40.1961,0.145448,0.235825,1.92491,0.104593,4.19156e-08
26,6.60976,1,13.3427,3.12984,28.13,40.1961,0.151491,0.224726,1.81875,0.0951462,4.66446e-08
27,12.9975,1,13.3285,2.68144,28.4616,40.1961,0.152364,0.234791,2.10073,0.0948555,4.59996e-08
28,10.9758,1,13.45,3.29894,28.3851,40.1961,0.150802,0.246496,2.1271,0.107005,3.9567e-08
29,7.60264,1,13.6088,3.01235,28.1506,40.1961,0.153849,0.22928,2.10983,0.111101,3.51077e-08
30,7.95359,1,13.5653,2.89518,28.5353,40.1961,0.15373,0.218215,2.06373,0.121481,3.46532e-08
31,16.0749,1,13.6805,2.73681,29.0429,40.1961,0.153742,0.235383,2.24708,0.134317,3.68392e-08
32,20.5588,1,13.6954,2.24446,29.0919,40.1961,0.151956,0.23973,2.40794,0.152023,3.78429e-08
33,26.1979,1,13.5713,2.61755,29.1663,40.1961,0.151934,0.247031,2.36164,0.15356,4.06838e-08
34,22.4261,1,13.6986,3.10211,29.4997,40.1961,0.156125,0.235881,2.03236,0.152328,4.19696e-08
35,18.6473,1,13.4896,2.80055,28.9056,40.1961,0.152871,0.240549,1.89776,0.146372,4.0154e-08
36,23.442,1,13.371,3.3336,29.1976,40.1961,0.15728,0.246662,1.88404,0.15671,3.53122e-08
37,24.3743,1,13.4889,2.95578,29.3596,40.1961,0.157448,0.235516,2.25092,0.167309,3.06061e-08
38,10.0295,1,13.5404,2.64222,29.3204,40.1961,0.151437,0.224219,1.99356,0.155383,3.16441e-08
39,8.5003,1,13.5937,2.7334,29.6046,40.1961,0.147771,0.229336,2.13775,0.149264,3.37604e-08
40,12.1241,1,13.5466,2.82669,29.1688,40.1961,0.145491,0.226527,2.09374,0.155221,4.01651e-08
41,24.4136,1,13.5444,2.82869,28.8961,40.1961,0.149173,0.233249,2.15236,0.16822,4.67913e-08
42,18.2599,1,13.5181,3.3722,28.4834,40.1961,0.148217,0.235151,1.94718,0.155166,4.44615e-08
43,9.59502,1,13.3671,3.05,28.2359,40.1961,0.142507,0.242965,1.97682,0.148658,4.12453e-08
44,5.49987,1,13.4493,3.24866,29.3069,40.1961,0.139923,0.241424,1.88236,0.152531,4.0875e-08
45,8.27217,1,13.5522,2.97276,28.9659,40.1961,0.142176,0.236056,2.00542,0.149963,4.2832e-08
46,-2.29061,1,13.595,3.09728,29.1973,40.1961,0.140171,0.231423,2.15148,0.137816,3.38874e-08
47,3.81113,1,13.614,2.81597,28.9736,40.1961,0.14361,0.252245,2.26399,0.150653,2.86235e-08
