trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtWTKG_abscissa,trans_Cl_vs_logtWTKG_spline,trans_Cl_vs_logtWTKG_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtWTKG_abscissa,trans_Q_vs_logtWTKG_spline,trans_Q_vs_logtWTKG_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtWTKG_abscissa,trans_V1_vs_logtWTKG_spline,trans_V1_vs_logtWTKG_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtWTKG_abscissa,trans_V2_vs_logtWTKG_spline,trans_V2_vs_logtWTKG_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.59189,2.82016,59,2.5519,2.49448,-0.137992,2.55016,2.49014,0.481481,2.59189,2.82016,0.26,3.83039,2.97468,59,2.71425,3.02343,-0.137992,2.70692,3.00511,0.481481,3.83039,2.97468,0.26,3.18124,3.09114,59,3.21378,3.17084,-0.137992,3.21386,3.17106,0.481481,3.18124,3.09114,0.26,3.49735,2.86709,59,2.6522,2.92033,-0.137992,2.67317,2.97276,0.481481,3.49735,2.86709,All
0.267677,2.60204,2.8146,59.3131,2.52803,2.49859,-0.133726,2.53083,2.49401,0.495698,2.60204,2.8146,0.267677,3.71797,2.97964,59.3131,2.79852,3.02846,-0.133726,2.77686,3.01027,0.495698,3.71797,2.97964,0.267677,3.18815,3.09362,59.3131,3.19637,3.17136,-0.133726,3.20004,3.17153,0.495698,3.18815,3.09362,0.267677,3.42683,2.85891,59.3131,2.87069,2.90726,-0.133726,2.8496,2.95919,0.495698,3.42683,2.85891,All
0.275354,2.6122,2.80905,59.6263,2.50417,2.50269,-0.129461,2.51149,2.49788,0.509914,2.6122,2.80905,0.275354,3.60555,2.98461,59.6263,2.88279,3.03348,-0.129461,2.84679,3.01542,0.509914,3.60555,2.98461,0.275354,3.19506,3.0961,59.6263,3.17897,3.17188,-0.129461,3.18622,3.17199,0.509914,3.19506,3.0961,0.275354,3.3563,2.85072,59.6263,3.08917,2.89419,-0.129461,3.02604,2.94561,0.509914,3.3563,2.85072,All
0.28303,2.62235,2.8035,59.9394,2.4803,2.5068,-0.125196,2.49216,2.50175,0.52413,2.62235,2.8035,0.28303,3.49313,2.98957,59.9394,2.96706,3.0385,-0.125196,2.91673,3.02058,0.52413,3.49313,2.98957,0.28303,3.20197,3.09857,59.9394,3.16156,3.1724,-0.125196,3.1724,3.17246,0.52413,3.20197,3.09857,0.28303,3.28578,2.84254,59.9394,3.30766,2.88112,-0.125196,3.20247,2.93204,0.52413,3.28578,2.84254,All
0.290707,2.6325,2.79795,60.2525,2.53843,2.5109,-0.12093,2.47787,2.50561,0.538346,2.6325,2.79795,0.290707,3.38072,2.99454,60.2525,3.11198,3.04353,-0.12093,2.99003,3.02574,0.538346,3.38072,2.99454,0.290707,3.20888,3.10105,60.2525,3.13577,3.17292,-0.12093,3.15796,3.17292,0.538346,3.20888,3.10105,0.290707,3.21525,2.83435,60.2525,3.35735,2.86805,-0.12093,3.36861,2.91847,0.538346,3.21525,2.83435,All
0.298384,2.64266,2.79239,60.5657,2.61625,2.515,-0.116665,2.5431,2.50948,0.552563,2.64266,2.79239,0.298384,3.2683,2.9995,60.5657,3.27145,3.04855,-0.116665,3.11638,3.03089,0.552563,3.2683,2.9995,0.298384,3.21579,3.10352,60.5657,3.10796,3.17344,-0.116665,3.13377,3.17339,0.552563,3.21579,3.10352,0.298384,3.14473,2.82617,60.5657,3.36653,2.85497,-0.116665,3.37238,2.90489,0.552563,3.14473,2.82617,All
0.306061,2.65281,2.78684,60.8788,2.69406,2.51911,-0.1124,2.60834,2.51335,0.566779,2.65281,2.78684,0.306061,3.15588,3.00447,60.8788,3.43093,3.05357,-0.1124,3.24273,3.03605,0.566779,3.15588,3.00447,0.306061,3.2227,3.106,60.8788,3.08015,3.17396,-0.1124,3.10959,3.17385,0.566779,3.2227,3.106,0.306061,3.0742,2.81798,60.8788,3.37571,2.8419,-0.1124,3.37614,2.89132,0.566779,3.0742,2.81798,All
0.313737,2.66296,2.78129,61.1919,2.71357,2.52321,-0.108134,2.67357,2.51722,0.580995,2.66296,2.78129,0.313737,3.04346,3.00943,61.1919,3.48662,3.0586,-0.108134,3.36908,3.04121,0.580995,3.04346,3.00943,0.313737,3.22961,3.10848,61.1919,3.07877,3.17448,-0.108134,3.08541,3.17431,0.580995,3.22961,3.10848,0.313737,3.00368,2.8098,61.1919,3.35308,2.82883,-0.108134,3.3799,2.87775,0.580995,3.00368,2.8098,All
0.321414,2.67312,2.77574,61.5051,2.69627,2.52732,-0.103869,2.72402,2.52108,0.595211,2.67312,2.77574,0.321414,2.93104,3.0144,61.5051,3.47676,3.06362,-0.103869,3.47094,3.04636,0.595211,2.93104,3.0144,0.321414,3.23652,3.11095,61.5051,3.09407,3.175,-0.103869,3.06819,3.17478,0.595211,3.23652,3.11095,0.321414,2.93315,2.80161,61.5051,3.31036,2.81576,-0.103869,3.37624,2.86417,0.595211,2.93315,2.80161,All
0.329091,2.68327,2.77018,61.8182,2.67897,2.53142,-0.0996034,2.70907,2.52495,0.609428,2.68327,2.77018,0.329091,2.81862,3.01936,61.8182,3.4669,3.06864,-0.0996034,3.46451,3.05152,0.609428,2.81862,3.01936,0.329091,3.24342,3.11343,61.8182,3.10937,3.17552,-0.0996034,3.08181,3.17524,0.609428,3.24342,3.11343,0.329091,2.86263,2.79343,61.8182,3.26765,2.80269,-0.0996034,3.33971,2.8506,0.609428,2.86263,2.79343,All
