parameter,value,se_lin,rse_lin
Cl_pop,20.6228166928599,4.02220716147538,19.5036750865752
beta_Cl_tSCRMGDL,-0.415685014307428,0.181944811556408,43.7698750963025
V1_pop,23.930943964252,2.17892028047401,9.10503272971126
Q_pop,23.4,,
V2_pop,13.0323180206295,2.96881782669981,22.7804280251628
omega_Cl,0.222895204638785,0.0425125990768688,19.0729087894748
omega_V1,0.306679540833526,0.0720747178845951,23.5016387753493
omega_Q,0.893070006052545,0.249332586188044,27.9185936710738
omega_V2,0.779734555685764,0.185012991636576,23.7276891587624
a,1.86940339366507,0.22027790388106,11.7833264145944
