parameter,value
Cl_pop,13.4772658119195
V1_pop,30.4587458311184
beta_V1_LLP_1,-0.512222498914284
beta_V1_logtCLCRMLMIN,1.30157058275371
Q_pop,23.4
beta_Q_LMP_1,0.952721563310646
beta_Q_logtAGEA,1.22140895424765
beta_Q_logtALBGDL,18.3002866938107
beta_Q_logtPROGDL,-18.3002688094701
V2_pop,3.3679582824878
beta_V2_SEXF_1,4.12732503244792
beta_V2_logtHCM,33.8246728094601
omega_Cl,0.256888136702713
omega_V1,0.334822494068578
omega_Q,3.73705157923083e-8
omega_V2,4.76329973606056e-8
a,1.44020308297444
b,0.0413405893876173
