iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0,0.259513,1.01171,0.263295,0.888378
2,454.897,1,22.2075,24.3443,13.1438,1.57483,0.0416799,1.07428,-0.479248,0.252942,0.986093,0.256628,0.939151
3,454.929,1,22.4133,24.2293,13.6955,1.53184,0.0427345,1.09333,-0.480474,0.246537,0.99802,0.253209,0.915371
4,461.911,1,21.9948,24.0917,14.9335,1.5319,0.0447877,1.17496,-0.470219,0.240295,0.97275,0.278327,1.01524
5,464.144,1,21.8033,24.4819,13.2579,1.53196,0.0457973,1.10916,-0.474068,0.23421,0.990649,0.27128,1.03015
6,459.678,1,22.2617,24.2461,12.8318,1.53196,0.045399,1.06311,-0.484324,0.22828,0.975908,0.273266,1.00407
7,454.528,1,22.4852,24.1103,12.9408,1.49737,0.0432366,1.0899,-0.48824,0.2225,1.01897,0.271568,0.978645
8,456.426,1,22.2004,24.4333,13.3577,1.49741,0.0450225,1.12024,-0.474426,0.216866,0.998249,0.273498,0.953865
9,454.806,1,23.0147,24.6167,13.3469,1.49737,0.0439867,1.11574,-0.511909,0.211375,0.972973,0.294863,0.929713
10,458.96,1,22.0405,24.4194,12.3833,1.51995,0.0431812,1.08266,-0.473255,0.206023,1.07518,0.287397,0.962987
11,462.027,1,22.2902,24.7074,12.289,1.46953,0.0477638,1.11827,-0.48874,0.200806,1.15234,0.28012,0.938604
12,460.749,1,22.4483,24.9143,12.7251,1.41762,0.0473375,1.08729,-0.495765,0.195722,1.12317,0.273027,1.02257
13,465.024,1,22.3816,24.747,10.6993,1.42428,0.0511264,1.15353,-0.486003,0.196549,1.11262,0.27822,0.99668
14,464.316,1,22.683,24.2836,12.5923,1.51967,0.0497204,1.16913,-0.487941,0.191572,1.08445,0.271175,0.971444
15,468.617,1,22.7144,24.4185,12.3804,1.42067,0.0565378,1.09067,-0.497988,0.188008,1.05699,0.264309,1.04614
16,460.038,1,22.4665,23.9773,13.5075,1.42061,0.0546288,1.09549,-0.492034,0.187896,1.03022,0.257616,1.01965
17,460.067,1,21.9668,23.6486,13.4583,1.5139,0.0504948,1.0951,-0.474397,0.183138,1.00414,0.251093,0.993837
18,451.288,1,22.6743,24.3103,12.0998,1.4382,0.0479701,1.08159,-0.499769,0.178501,1.00376,0.244931,0.968672
19,450.372,1,22.6018,24.4869,12.4153,1.53056,0.0427061,1.11708,-0.488018,0.179822,0.979443,0.238729,0.977632
20,446.196,1,22.1968,24.2523,12.7291,1.48529,0.042961,1.1638,-0.475976,0.191983,1.02722,0.232684,0.952878
21,448.26,1,22.671,24.2064,12.8643,1.53574,0.0413938,1.24102,-0.497809,0.187122,1.00121,0.232161,0.928751
22,445.63,1,22.5077,24.1969,13.5665,1.46708,0.0392296,1.08221,-0.493047,0.191638,1.10493,0.226282,0.985066
23,451.118,1,22.4776,24.2492,14.365,1.46718,0.0445759,1.09427,-0.492634,0.193654,1.15784,0.220553,0.960124
24,454.481,1,22.172,24.0206,14.3624,1.46725,0.0460942,0.991509,-0.476019,0.191994,1.16724,0.214968,0.935813
25,458.907,1,22.1741,24.439,15.9045,1.46727,0.0469934,1.01692,-0.48077,0.191356,1.26873,0.219896,0.955436
26,449.578,1,22.3756,23.9589,15.6761,1.3939,0.0446437,1.01446,-0.481822,0.190669,1.26071,0.214328,1.00648
27,447.372,1,22.5277,24.0632,16.1878,1.42189,0.0422911,0.91687,-0.493662,0.194664,1.27091,0.208901,1.04243
28,447.866,1,22.7558,24.1246,15.6184,1.50349,0.0421083,0.960825,-0.507725,0.189735,1.25142,0.203612,1.01604
29,462.946,1,23.1558,23.7986,14.4709,1.57557,0.0477264,1.03545,-0.52271,0.192331,1.21974,0.198456,1.0421
30,451.475,1,22.0554,23.8522,14.7318,1.44534,0.0479183,0.972824,-0.478192,0.19078,1.18885,0.193431,1.06988
31,446.891,1,22.1277,23.8107,15.9657,1.42349,0.0473588,1.10549,-0.487846,0.18595,1.15875,0.188533,1.05602
32,451.507,1,21.6059,23.2648,13.8298,1.45259,0.0489033,1.05495,-0.460287,0.181241,1.21318,0.183759,1.04395
33,452.695,1,22.0369,23.4641,12.6056,1.45315,0.0514799,1.04662,-0.465015,0.182971,1.18246,0.179106,1.06299
34,447.626,1,22.5333,23.8395,12.6881,1.4531,0.0485257,1.04165,-0.489929,0.183162,1.15252,0.174571,1.03608
35,455.415,1,22.9492,24.0444,14.0374,1.48606,0.0490519,1.11984,-0.508124,0.191604,1.12334,0.182768,1.04582
36,456.444,1,22.2993,23.6553,12.0037,1.5713,0.0424793,0.970513,-0.487964,0.186753,1.19068,0.192643,1.08234
37,452.354,1,22.6658,23.4737,13.9609,1.51783,0.0446208,0.992535,-0.490922,0.190079,1.16053,0.187765,1.05494
38,458.655,1,22.0125,24.1217,14.5182,1.53741,0.0468611,0.994451,-0.474762,0.185266,1.13115,0.1981,1.08338
39,461.031,1,22.1944,24.1928,14.5781,1.46267,0.0527128,1.04161,-0.480646,0.182092,1.10251,0.201146,1.05595
40,456.782,1,22.1781,24.0942,13.4738,1.48535,0.0481721,1.06008,-0.481523,0.18921,1.16238,0.196053,1.03142
41,463.76,1,21.7465,24.2758,13.3869,1.60845,0.0449249,1.09781,-0.458463,0.190413,1.13427,0.202039,1.05809
42,454.066,1,22.0515,24.168,13.2168,1.54808,0.0448169,0.994425,-0.470232,0.19145,1.15686,0.196924,1.0313
43,457.132,1,22.0698,23.6821,14.0739,1.54808,0.0444406,1.10787,-0.472764,0.186694,1.33847,0.191937,1.0198
44,466.692,1,22.4648,24.122,12.5173,1.59282,0.0461134,1.13141,-0.480718,0.192937,1.30458,0.19282,1.05967
45,469.657,1,22.3727,23.6312,13.1129,1.51039,0.0549504,1.13725,-0.480777,0.191957,1.27154,0.201264,1.03283
46,458.774,1,22.3937,23.5291,13.2582,1.43487,0.0522029,1.09035,-0.486434,0.195826,1.23935,0.238221,1.00668
47,466.39,1,22.6108,23.7379,14.1321,1.59966,0.0478813,1.136,-0.504644,0.190867,1.20797,0.244573,0.981193
48,460.671,1,22.0392,24.054,14.8683,1.56924,0.0461469,1.01059,-0.470744,0.198064,1.17738,0.24991,0.956349
49,455.18,1,22.7896,24.1135,13.23,1.51129,0.0473797,1.01328,-0.506361,0.193049,1.14757,0.243582,0.932134
50,455.609,1,22.3646,24.1259,11.8752,1.61731,0.0425762,1.01604,-0.49085,0.188161,1.11851,0.237414,0.908531
51,448.792,1,22.6531,24.851,12.6222,1.53645,0.0404474,1.01564,-0.49546,0.191887,1.09019,0.231403,0.953506
52,459.801,1,22.3036,24.3689,11.8337,1.5365,0.0440835,0.969643,-0.485511,0.188339,1.07902,0.245229,1.04503
53,464.529,1,22.0242,24.6434,11.3407,1.60455,0.0432117,1.02089,-0.467915,0.19239,1.0517,0.261879,1.01857
54,459.827,1,22.2869,24.7712,12.1501,1.65471,0.0382035,1.06385,-0.481715,0.192637,1.05803,0.259571,0.992781
55,463.929,1,22.1581,25.0262,12.597,1.52463,0.0478621,1.0446,-0.480393,0.190261,1.04977,0.261444,0.967643
56,461.775,1,22.9545,25.8982,12.3167,1.42008,0.0524491,1.06871,-0.508359,0.185443,1.02319,0.289417,0.943142
57,461.215,1,22.9953,25.5819,10.8807,1.48368,0.0504121,1.15272,-0.504721,0.180748,0.99728,0.292783,0.919261
58,442.116,1,22.3645,24.8572,12.3501,1.4095,0.0478915,1.07334,-0.479062,0.182778,0.972028,0.285369,0.90567
59,452.451,1,22.2989,25.6185,11.548,1.54892,0.0417126,1.0697,-0.483666,0.180747,0.996184,0.278144,0.882738
