iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,omega_Cl,omega_V
1,-11.9114,1,13.5936,36.8412,0.240138,0.226731,0.198911
2,-8.55002,1,13.79,38.0067,0.238237,0.231125,0.209134
3,-14.2689,1,13.7044,38.5859,0.232512,0.225272,0.208139
4,-11.1213,1,13.7158,38.349,0.235452,0.235728,0.202869
5,-11.9025,1,13.7126,37.6802,0.23666,0.233687,0.197732
6,-10.5242,1,13.7234,37.1685,0.23703,0.231971,0.201136
7,-4.72371,1,13.6584,37.6982,0.24393,0.226098,0.217109
8,-10.4421,1,13.7441,37.5469,0.239532,0.220373,0.211611
9,-3.19736,1,14.0055,38.0932,0.24521,0.217361,0.223567
10,-4.82742,1,14.0252,38.0932,0.2404,0.224516,0.230867
11,-4.70767,1,13.8465,37.222,0.241357,0.220057,0.230919
12,-4.90285,1,13.553,37.3642,0.241404,0.230767,0.225072
13,-10.7973,1,13.6597,36.4185,0.240609,0.224924,0.219373
14,-7.97606,1,13.7015,36.373,0.245285,0.219229,0.213818
15,-13.5365,1,13.6245,36.4032,0.239074,0.223419,0.208404
16,-9.02781,1,13.681,36.6629,0.241395,0.224482,0.203127
17,-7.17757,1,13.631,37.0172,0.239771,0.230783,0.210968
18,-11.0928,1,13.3257,36.0914,0.2337,0.224939,0.239063
19,-11.9897,1,13.4636,35.9256,0.231223,0.219244,0.254714
20,-9.98633,1,13.3102,35.9973,0.238906,0.213692,0.248265
21,-15.6849,1,13.3751,36.1428,0.232857,0.218559,0.241979
22,-11.6834,1,13.3609,36.4336,0.232541,0.224063,0.235852
23,-12.3938,1,13.8272,37.6014,0.23748,0.219128,0.22988
24,-4.57531,1,14.0637,38.968,0.236397,0.250481,0.230804
25,-5.62267,1,14.0177,38.0272,0.232502,0.263667,0.233934
26,-7.6228,1,13.8866,38.4047,0.231512,0.260127,0.22801
27,-12.7621,1,14.0074,38.9218,0.227768,0.25354,0.22265
28,-4.31902,1,14.0204,39.281,0.240601,0.247121,0.217013
29,-7.78444,1,13.9884,39.2609,0.23678,0.240863,0.229862
30,-10.2922,1,13.8091,38.7067,0.236602,0.234765,0.224042
31,-10.4522,1,13.9621,38.8284,0.231385,0.234633,0.23035
32,-9.52665,1,13.8251,38.305,0.230818,0.251939,0.224528
33,-10.5781,1,13.6509,37.5534,0.235886,0.24556,0.218843
34,-14.4486,1,13.499,36.6523,0.229913,0.239342,0.218691
35,-10.9322,1,13.869,38.0818,0.23671,0.233282,0.213153
36,-4.55414,1,13.7809,37.6851,0.238325,0.232237,0.23726
37,-4.22336,1,13.8519,38.5702,0.239723,0.226356,0.238489
38,-9.38875,1,13.6431,37.8474,0.233653,0.242943,0.259627
39,-8.31778,1,13.7733,38.2123,0.231926,0.236792,0.253053
40,-5.82603,1,13.6814,37.2948,0.232839,0.24364,0.249276
41,-14.2214,1,13.5864,37.1152,0.22771,0.237471,0.242964
42,-15.8295,1,13.5522,37.1243,0.22486,0.231458,0.241468
43,-5.98441,1,13.5997,36.8605,0.235087,0.231369,0.246485
44,-10.9947,1,13.514,37.0973,0.235679,0.225511,0.240244
45,-9.91827,1,13.6781,36.9253,0.234186,0.219801,0.234616
46,-13.1943,1,13.7823,37.364,0.234122,0.220793,0.228676
47,-17.0831,1,13.6524,36.4419,0.23299,0.215202,0.222886
48,-13.905,1,13.6846,36.3781,0.236576,0.214721,0.217242
49,-13.5606,1,13.6282,36.5396,0.233096,0.227584,0.211741
50,-9.27342,1,13.5409,36.644,0.236505,0.232589,0.211947
51,-8.02784,1,13.5604,36.8701,0.24079,0.2267,0.210282
52,-8.53139,1,13.823,37.4625,0.239066,0.225188,0.21035
53,-4.06768,1,13.4518,37.0237,0.244651,0.229028,0.208952
54,-8.03176,1,13.4021,36.3096,0.242297,0.223229,0.207278
55,-10.6569,1,13.6426,36.722,0.236162,0.221127,0.215591
56,-10.9537,1,13.6847,38.1701,0.232899,0.225501,0.226664
57,-12.6713,1,14.1041,38.9779,0.233916,0.227884,0.220924
58,-8.11113,1,13.9224,38.005,0.238406,0.222114,0.226872
59,-4.41445,1,13.6318,37.2772,0.240179,0.229852,0.229898
60,-7.50233,1,13.8817,38.2758,0.236353,0.227624,0.230626
61,-8.40468,1,13.6717,38.0817,0.233432,0.22508,0.243859
62,-11.637,1,13.6392,36.7703,0.229722,0.227379,0.2386
63,-11.7743,1,13.2555,35.5409,0.229068,0.236302,0.232559
64,-2.29246,1,13.3047,35.3823,0.242678,0.239814,0.22667
65,-1.63301,1,13.3601,35.2769,0.242643,0.238174,0.228958
66,1.08785,1,13.5671,35.7877,0.246765,0.232143,0.235964
67,-2.89834,1,13.4763,36.4162,0.247556,0.226265,0.229989
68,-6.50936,1,13.5403,35.7626,0.247945,0.220536,0.224166
69,-8.39968,1,13.6369,36.3466,0.244426,0.215216,0.21849
70,-11.7162,1,13.7932,38.3185,0.239245,0.214582,0.212958
71,-11.9441,1,13.9004,38.2479,0.237167,0.209148,0.215058
72,-11.5547,1,13.7802,38.6899,0.234127,0.222085,0.218575
73,-10.5756,1,13.7497,37.3086,0.234202,0.235611,0.21304
74,-15.8041,1,13.8214,37.7229,0.228272,0.237356,0.212284
75,-11.2197,1,13.6169,37.1592,0.234445,0.238363,0.206909
76,-6.76027,1,13.6759,38.3862,0.237104,0.245094,0.215413
77,-10.0793,1,13.672,37.9043,0.231637,0.249729,0.217708
78,-9.92752,1,13.6974,37.575,0.235176,0.243405,0.212196
79,-15.6457,1,13.6311,37.6625,0.230015,0.237242,0.207525
80,-17.5064,1,13.5442,37.2433,0.226,0.238987,0.205898
81,-15.8322,1,13.4604,37.4986,0.228081,0.241555,0.203869
82,-6.4943,1,13.8336,37.3034,0.244205,0.235439,0.198707
83,-4.77982,1,13.5585,37.0596,0.245106,0.232459,0.19881
84,-13.2849,1,13.527,36.7464,0.2389,0.226573,0.211445
85,-14.1744,1,13.5164,36.841,0.237357,0.220836,0.206091
86,-6.54804,1,13.6772,37.1988,0.242118,0.22036,0.212824
87,-12.9539,1,13.6891,37.0994,0.235987,0.22726,0.207435
88,-6.10107,1,13.775,37.1557,0.247754,0.230315,0.202183
89,-8.25053,1,13.877,38.0272,0.243057,0.227624,0.197064
90,-15.7703,1,13.8685,37.4232,0.237464,0.221861,0.192074
91,-5.86781,1,13.9702,38.3821,0.246982,0.225074,0.189165
92,-12.8034,1,13.9984,38.8082,0.240728,0.219375,0.192337
93,-9.00796,1,14.0252,38.035,0.239686,0.233529,0.196565
94,-16.0167,1,13.8,37.2946,0.233617,0.244537,0.191587
95,-9.19112,1,13.7364,37.5297,0.243147,0.243273,0.186736
96,-7.38724,1,13.6088,37.0077,0.240132,0.244908,0.19564
97,-11.1032,1,13.4952,37.0385,0.237585,0.238707,0.197974
