iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,624.018,1,13.509,23.899,13.116,1,0.3,1,1,1,1
2,588.818,1,17.1274,30.4906,13.979,0.931792,0.183905,0.525018,1.02049,0.739637,0.882468
3,556.03,1,16.6031,30.4298,14.5473,0.860719,0.147399,0.520022,1.01967,0.656194,0.888347
4,536.262,1,16.54,30.7179,15.0565,0.866888,0.127987,0.522303,1.07955,0.614104,0.842049
5,527.658,1,16.4105,30.1194,13.6951,1.08716,0.104994,0.514715,1.22431,0.582648,0.907932
6,521.376,1,16.5279,29.7121,12.9167,1.13732,0.098378,0.524396,1.1937,0.579277,0.872387
7,507.775,1,16.623,30.2925,13.9024,1.30642,0.0784314,0.523502,1.24531,0.598911,0.848199
8,492.662,1,16.5974,29.4308,15.7596,1.1372,0.0793883,0.512948,1.10708,0.549125,0.841289
9,487.528,1,16.684,29.5216,14.8147,1.16197,0.074692,0.516618,1.14982,0.512924,0.835761
10,475.959,1,16.4828,28.7585,16.6781,1.12845,0.0666622,0.515979,1.18686,0.526101,0.823621
11,466.8,1,16.409,29.3292,15.3543,1.16387,0.057827,0.523117,1.2687,0.492166,0.839403
12,461.278,1,16.4671,29.6486,14.4958,1.11009,0.0575216,0.51994,1.21348,0.469037,0.898012
13,465.13,1,16.3732,29.5636,13.988,1.25986,0.050322,0.528321,1.33702,0.445565,0.96759
14,458.172,1,16.3824,29.3435,14.3476,1.25981,0.0478415,0.528053,1.24491,0.468188,0.884386
15,459.37,1,16.3415,29.2521,12.938,1.30893,0.0441864,0.528799,1.27898,0.47522,0.939833
16,451.092,1,16.3248,29.6037,15.956,1.38971,0.0375859,0.527297,1.15975,0.471507,0.839779
17,442.525,1,16.4549,29.9201,14.0818,1.38477,0.032041,0.520337,1.19242,0.438319,0.928593
18,442.739,1,16.5043,29.5799,14.0908,1.41487,0.0307823,0.516946,1.19579,0.43984,0.899069
19,439.323,1,16.366,29.4837,15.1584,1.50869,0.0240885,0.517395,1.14603,0.413492,0.889011
20,433.701,1,16.5393,30.3008,15.7539,1.50026,0.0210218,0.529253,1.1948,0.393254,0.86302
21,434.767,1,16.4507,30.46,16.3278,1.56025,0.0166143,0.530608,1.20969,0.398821,0.855891
22,433.356,1,16.4861,30.7257,16.8382,1.5002,0.0204067,0.52754,1.18292,0.396756,0.88438
23,434.648,1,16.4634,30.4795,15.9909,1.52187,0.0158421,0.527248,1.30207,0.406197,0.978399
24,432.191,1,16.4826,30.5774,16.3108,1.44159,0.0205231,0.525382,1.4195,0.377507,0.961281
25,427.226,1,16.4947,31.4925,18.1674,1.35744,0.0217485,0.527627,1.60595,0.368307,0.958701
26,427.044,1,16.4929,30.7906,17.883,1.35751,0.0238108,0.523453,1.35269,0.36182,0.97905
27,434.751,1,16.5861,30.7977,16.7707,1.46839,0.0206068,0.525125,1.35491,0.384044,0.980972
28,434.495,1,16.6403,30.8893,15.1962,1.43183,0.0245703,0.526008,1.29976,0.352937,1.00203
29,424.713,1,16.4217,30.6979,17.3252,1.3855,0.0240867,0.524214,1.29424,0.336771,0.86302
30,420.133,1,16.528,30.8455,17.1686,1.38538,0.020836,0.528447,1.26128,0.348687,0.853568
31,424.105,1,16.4457,30.7291,17.098,1.38551,0.0243173,0.531071,1.18672,0.337334,0.854316
32,423.144,1,16.4082,30.9822,17.6881,1.405,0.0219553,0.530284,1.27448,0.339301,0.843511
33,428.591,1,16.409,30.6848,18.3205,1.38464,0.0250979,0.52403,1.32447,0.353231,0.89664
34,427.306,1,16.4751,30.8056,18.6431,1.39659,0.0213885,0.529725,1.54389,0.352337,0.882553
35,427.836,1,16.5742,30.943,19.7449,1.31879,0.0297639,0.530248,1.22471,0.330918,0.961302
36,435.944,1,16.6385,30.1787,19.1779,1.35815,0.0317771,0.526687,1.34716,0.319241,0.949709
37,428.768,1,16.4786,29.9928,19.3944,1.37869,0.0236347,0.528716,1.34829,0.347248,1.02705
38,423.944,1,16.5468,29.7332,18.9191,1.45686,0.0156557,0.525996,1.26398,0.354001,0.992953
39,424.81,1,16.5146,29.9515,18.0223,1.45697,0.0177004,0.523429,1.2967,0.334078,0.928718
40,419.366,1,16.4777,29.9305,18.2687,1.41846,0.017354,0.520558,1.2287,0.338629,0.95702
41,414.81,1,16.5049,29.9194,19.2257,1.46141,0.0108139,0.523627,1.24951,0.353778,0.835883
42,415.419,1,16.5546,29.9382,16.9828,1.50497,2.22045e-16,0.528493,1.26331,0.350889,0.873276
43,414.817,1,16.4947,30.1617,18.2553,1.50401,2.22045e-16,0.529269,1.29014,0.348255,0.840638
44,421.842,1,16.4052,30.4462,17.1061,1.55929,2.22045e-16,0.534523,1.24395,0.344964,0.892936
45,417.746,1,16.4638,30.4099,17.122,1.5175,2.22045e-16,0.527603,1.33691,0.344838,0.872558
46,420.638,1,16.4476,30.4511,15.3801,1.51927,2.22045e-16,0.522279,1.49834,0.347915,0.880228
47,416.856,1,16.5312,30.1749,15.5974,1.48656,2.22045e-16,0.521784,1.38124,0.34737,0.961662
48,416.575,1,16.5655,29.6649,15.0164,1.48419,8.70556e-07,0.524189,1.30785,0.360857,0.975567
49,417.275,1,16.4871,30.2615,14.9711,1.44366,0.0105715,0.524565,1.40557,0.345061,0.94223
50,423.478,1,16.5167,30.0221,16.5606,1.50435,0.00932998,0.521504,1.34345,0.372991,0.933129
51,417.182,1,16.465,30.049,16.3443,1.48661,2.22045e-16,0.530766,1.32935,0.362244,0.957894
52,406.914,1,16.5002,30.288,15.5755,1.43298,2.22045e-16,0.528714,1.1978,0.357284,0.914427
53,411.484,1,16.5306,30.164,15.2022,1.46185,2.22045e-16,0.526251,1.19318,0.365005,0.945818
54,413.07,1,16.5091,29.8408,15.5496,1.46391,2.22045e-16,0.523733,1.16431,0.357243,1.05751
55,419.517,1,16.397,29.8813,15.2659,1.51386,2.22045e-16,0.528793,1.19874,0.366562,1.01011
56,418.16,1,16.3619,30.182,16.1847,1.50574,2.22045e-16,0.525976,1.23985,0.360374,0.978432
57,415.054,1,16.3761,30.125,16.5019,1.5008,2.22045e-16,0.52608,1.1525,0.354443,0.954602
58,412.17,1,16.4878,30.3102,16.6603,1.47543,2.22045e-16,0.526886,1.19515,0.338417,0.970246
59,416.015,1,16.5719,30.0878,16.0203,1.49587,2.22045e-16,0.528999,1.18708,0.332454,1.06027
60,417.378,1,16.4829,30.3942,16.1175,1.51869,2.22045e-16,0.524408,1.20893,0.324792,1.01061
61,420.026,1,16.4038,30.3947,16.3116,1.51453,2.22045e-16,0.528239,1.20672,0.3397,1.10509
62,422.133,1,16.4414,30.9157,15.4671,1.5335,2.22045e-16,0.532174,1.18727,0.33819,1.11388
63,420.151,1,16.5288,30.9122,15.3852,1.52439,2.22045e-16,0.534405,1.20588,0.326634,1.08429
