iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,669.033,1,12.6,21.1,17,1,0.3,1,1,1,1
2,640.116,1,13.9253,21.0907,15.1348,0.951879,0.237617,0.282957,0.924694,0.580452,0.884436
3,589.107,1,14.1972,23.5468,13.9445,1.03524,0.189242,0.232673,0.897379,0.49256,0.732438
4,573.31,1,13.8891,25.8834,14.1986,1.08337,0.172055,0.22282,0.923785,0.459791,0.612123
5,539.984,1,13.7378,24.657,12.6237,1.09761,0.144127,0.242253,0.813124,0.380451,0.520014
6,526.53,1,13.6734,24.7312,12.6932,1.30412,0.122828,0.247358,0.752027,0.358335,0.52856
7,522.865,1,13.5189,24.3784,11.681,1.38675,0.108381,0.256475,0.720904,0.356964,0.634903
8,504.111,1,13.5553,25.287,12.8574,1.45869,0.0837784,0.254181,0.773039,0.362232,0.695865
9,499.848,1,13.6755,25.3615,12.0795,1.52179,0.0762393,0.250407,0.732547,0.378103,0.745675
10,501.612,1,13.5015,25.4194,10.9792,1.57768,0.0749519,0.251731,0.848698,0.351468,0.656169
11,505.126,1,13.3858,25.522,11.7066,1.57771,0.0748763,0.253712,0.910058,0.34786,0.678798
12,494.162,1,13.2899,25.0622,11.8252,1.52047,0.0696855,0.249017,0.807339,0.353105,0.730802
13,492.99,1,13.5162,25.1657,11.2243,1.61163,0.062673,0.260283,0.810152,0.362489,0.742145
14,485.39,1,13.6191,24.6184,11.9014,1.48825,0.0627738,0.258914,0.84577,0.338539,0.783888
15,482.193,1,13.4699,24.9307,10.9924,1.48823,0.0611395,0.257164,0.852843,0.308687,0.805467
16,474.075,1,13.5655,24.4838,10.8161,1.42434,0.0582952,0.266541,0.840461,0.319114,0.765987
17,472.715,1,13.578,25.0816,11.4177,1.54512,0.0483603,0.262744,0.848143,0.37597,0.744846
18,468.648,1,13.6841,24.9248,10.9563,1.63425,0.0431033,0.262793,0.877436,0.371919,0.652408
19,470.845,1,13.6251,24.7759,11.3675,1.66388,0.0426001,0.265281,0.788794,0.377861,0.721993
20,470.073,1,13.696,24.9661,12.0138,1.66388,0.0418108,0.26963,0.824473,0.329883,0.763512
21,465.563,1,13.6854,24.763,11.6726,1.76685,0.0349256,0.269935,0.765027,0.342803,0.710197
22,463.437,1,13.5191,24.4674,11.9802,1.70866,0.0350551,0.263261,0.783997,0.323357,0.805156
23,469.03,1,13.3952,24.5252,12.0141,1.79079,0.0337327,0.260122,0.791051,0.320031,0.837722
24,466.856,1,13.4432,24.433,11.0967,1.79071,0.0321496,0.259499,0.848226,0.330932,0.777889
25,470.685,1,13.5907,24.8131,10.6976,1.8307,0.0346642,0.264405,0.774108,0.32019,0.782231
26,470.055,1,13.7055,24.7119,10.4498,1.76906,0.0364355,0.275459,0.774483,0.314798,0.814135
27,463.607,1,13.596,24.5687,10.7357,1.68234,0.0348199,0.279306,0.794192,0.324158,0.814082
28,468.244,1,13.5355,25.0994,10.7787,1.73701,0.0372891,0.268016,0.762001,0.307814,0.850127
29,471.375,1,13.5193,24.9626,11.575,1.7371,0.0407527,0.264985,0.762141,0.292257,0.855641
30,467.084,1,13.5567,24.651,12.3569,1.73704,0.0377807,0.261154,0.749797,0.30254,0.847957
31,458.881,1,13.5088,24.2263,12.1853,1.65927,0.0370323,0.263736,0.65777,0.314843,0.885066
32,448.588,1,13.37,24.067,11.3461,1.71348,0.0284014,0.254015,0.63908,0.313317,0.832306
33,454.51,1,13.589,24.4169,11.067,1.68464,0.0338285,0.264257,0.699171,0.312967,0.782881
34,452.247,1,13.676,24.5097,11.0742,1.65775,0.0359846,0.260424,0.655547,0.317003,0.763534
35,465.616,1,13.6343,24.5301,11.715,1.73115,0.0376154,0.277329,0.7017,0.31129,0.811418
36,461.989,1,13.4587,24.293,11.3548,1.76454,0.0348009,0.258665,0.685366,0.311042,0.808762
37,461.754,1,13.4768,24.915,12.1502,1.66476,0.039508,0.260184,0.672316,0.311974,0.866453
38,460.278,1,13.3613,25.1312,13.9265,1.52066,0.0449183,0.248933,0.711495,0.34187,0.842072
39,460.294,1,13.4293,24.6083,13.2919,1.55021,0.0426842,0.258088,0.753021,0.336611,0.798942
40,459.272,1,13.4547,24.4936,12.971,1.55018,0.0408291,0.272653,0.743378,0.34672,0.788745
41,459.409,1,13.3996,24.1371,13.4072,1.50706,0.0433681,0.256902,0.744127,0.361054,0.800601
42,462.666,1,13.5387,23.7551,13.1889,1.53601,0.0421643,0.269472,0.761256,0.346466,0.849567
43,453.662,1,13.5607,24.0544,12.4443,1.54829,0.0375717,0.262374,0.806829,0.341932,0.74793
44,453.405,1,13.5756,23.628,12.1286,1.59499,0.0333289,0.261625,0.856763,0.310639,0.810693
45,453.862,1,13.531,23.6168,12.4863,1.62147,0.0346594,0.258093,0.877498,0.279559,0.799473
46,457.552,1,13.6242,23.2001,12.8932,1.69221,0.0321086,0.262639,0.830232,0.298658,0.809703
47,452.308,1,13.5423,24.0855,12.282,1.65727,0.0354852,0.253901,0.698628,0.320997,0.742003
48,460.528,1,13.5227,24.3869,12.1948,1.67747,0.0390016,0.252237,0.715357,0.317667,0.786408
49,463.112,1,13.566,24.1254,11.5306,1.63776,0.0415852,0.263438,0.727902,0.335932,0.752896
50,469.437,1,13.6227,24.2456,10.8297,1.66288,0.0419615,0.26673,0.797109,0.328671,0.786831
51,466.033,1,13.6907,24.982,11.9,1.59968,0.0401155,0.262966,0.884827,0.326289,0.840536
52,474.432,1,13.4805,24.6129,13.0602,1.65749,0.0383047,0.260869,1.019,0.343175,0.848977
53,469.512,1,13.5032,24.7825,12.9585,1.63687,0.0362618,0.26627,1.04525,0.344318,0.793418
54,461.464,1,13.4669,24.8548,12.4622,1.66193,0.0316744,0.264607,0.961252,0.327042,0.79548
55,451.38,1,13.4012,24.4766,13.8492,1.54932,0.0338208,0.263751,1.06876,0.291791,0.711738
56,450.457,1,13.4391,24.5506,14.3758,1.54933,0.0338908,0.265892,1.01734,0.288241,0.722346
57,448.306,1,13.4861,24.4481,14.1889,1.67864,0.0267224,0.268477,1.01438,0.283677,0.649522
58,447.348,1,13.58,24.4169,14.0006,1.67857,0.0235377,0.26507,0.995224,0.296312,0.704569
59,445.881,1,13.4675,24.3075,13.1156,1.71999,0.0195537,0.257074,0.985376,0.294052,0.719547
60,447.842,1,13.609,24.7085,13.4652,1.69781,0.0238427,0.258042,0.941131,0.298802,0.723115
61,449.961,1,13.4517,24.3679,13.4633,1.69778,0.0220613,0.255264,1.01424,0.305701,0.741089
62,447.6,1,13.4931,24.1543,13.0654,1.57661,0.0270811,0.259747,0.99254,0.324537,0.781536
63,453.462,1,13.5399,23.9822,14.2336,1.69349,0.0222259,0.261061,0.996136,0.326166,0.806063
64,452.421,1,13.5723,24.1482,14.0891,1.69349,0.0216133,0.263807,0.895723,0.313461,0.897382
65,448.861,1,13.4073,24.3353,13.0088,1.5465,0.0303913,0.251536,0.86724,0.318099,0.924393
66,450.966,1,13.4107,24.6003,12.1313,1.57639,0.0307869,0.262709,0.872873,0.305595,0.884215
