iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,679.984,1,20.56,24.431,12.7157,1,0.3,-0.410671,1,1,1,1
2,672.313,1,33.1061,22.9816,15.0808,0.95,0.285,-0.792876,0.974679,0.994663,0.974679,0.974679
3,671.992,1,32.4582,24.9277,15.6377,0.9025,0.27075,-0.734939,0.95,1.06672,0.95,0.95
4,654.167,1,32.1231,26.2619,15.3268,0.857375,0.257212,-0.734209,0.925945,1.03971,0.925945,0.947526
5,648.64,1,27.1714,23.3139,14.7301,0.814506,0.244352,-0.603407,0.9025,1.01338,0.9025,0.923534
6,635.233,1,27.8572,23.078,14.3107,0.773781,0.232134,-0.626346,0.879648,0.987725,0.879648,0.900149
7,622.453,1,29.854,22.4587,13.733,0.735092,0.220528,-0.698349,0.857375,0.984654,0.857375,0.877357
8,620.711,1,31.5123,22.0324,15.2724,0.698337,0.209501,-0.74372,0.835666,1.05461,0.835666,0.855142
9,615.786,1,29.2764,22.2536,15.7339,0.66342,0.199026,-0.666894,0.814506,1.0279,0.814506,0.833489
10,614.469,1,27.9044,21.7713,14.4263,0.630249,0.189075,-0.637624,0.793882,1.15543,0.793882,0.812385
11,621.9,1,30.9835,22.4707,15.0191,1.09856,0.175705,-0.752636,0.773781,1.29534,0.773781,0.791815
12,611.729,1,29.8719,21.1507,17.0908,1.04363,0.16692,-0.687342,0.754188,1.26254,0.754188,0.771766
13,588.927,1,30.6303,21.5091,14.8498,0.991453,0.158574,-0.713494,0.735092,1.23057,0.735092,0.752224
14,584.795,1,30.4699,22.4072,15.8886,0.94188,0.150645,-0.699108,0.716479,1.34904,0.716479,0.733177
15,579.292,1,30.7792,21.9891,15.572,0.894786,0.143113,-0.723958,0.698337,1.32489,0.698337,0.714613
16,567.169,1,29.2801,22.3698,17.5427,0.850047,0.135957,-0.669161,0.680655,1.29134,0.680655,0.761387
17,569.845,1,32.111,22.6933,16.6747,0.807544,0.129159,-0.742106,0.66342,1.25865,0.66342,0.742108
18,567.911,1,30.5694,22.7808,17.7724,0.767167,0.122701,-0.698386,0.646622,1.22678,0.646622,0.791011
19,564.107,1,30.5915,24.1992,18.3584,1.18208,0.117086,-0.699747,0.630249,1.32143,0.630249,0.864123
20,570.043,1,30.3969,23.9417,19.4985,1.43796,0.10641,-0.693318,0.614291,1.32598,0.614291,1.00303
