standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.31845,0.0200845,-1.84607,0.0894404,-2.04608,0.162019,-2.04668,0.108819,All
-1.96098,0.0602535,-1.52498,0.201241,-1.64726,0.198023,-1.65082,0.145092,All
-1.60352,0.160676,-1.2039,0.156521,-1.24845,0,-1.25496,0.145092,All
-1.24605,0.281183,-0.882811,0.178881,-0.849637,0.162019,-0.859104,0.199502,All
-0.888589,0.441859,-0.561726,0.491922,-0.450823,0.540063,-0.463246,0.453413,All
-0.531125,0.220929,-0.240641,0.603722,-0.0520098,0.450053,-0.0673874,0.471549,All
-0.173661,0.18076,0.0804442,0.424842,0.346804,0.288034,0.328471,0.380867,All
0.183803,0.321352,0.401529,0.335401,0.745617,0.432051,0.724329,0.253911,All
0.541267,0.361521,0.722614,0.313041,1.14443,0.25203,1.12019,0.126956,All
0.898732,0.441859,1.0437,0.268321,1.54324,0.162019,1.51605,0.235775,All
1.2562,0.321352,1.36478,0.1118,1.94206,0.0180021,1.9119,0.126956,All
1.61366,0.120507,1.68587,0.0894404,2.34087,0,2.30776,0.0181365,All
1.97112,0.080338,2.00695,0.0894404,2.73969,0.0360042,2.70362,0.0544095,All
