standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.49718,0.00666667,-2.00661,0.00666667,-2.24548,0.00666667,-2.24461,0.00666667,All
-1.98703,0.0133333,-1.87729,0.0133333,-2.18989,0.0133333,-2.1925,0.0133333,All
-1.8346,0.02,-1.87574,0.02,-2.1662,0.02,-2.11562,0.02,All
-1.78297,0.0266667,-1.82761,0.0266667,-2.15199,0.0266667,-1.99513,0.0266667,All
-1.76393,0.0333333,-1.50494,0.0333333,-2.09036,0.0333333,-1.93731,0.0333333,All
-1.69802,0.04,-1.49561,0.04,-2.06639,0.04,-1.93698,0.04,All
-1.67812,0.0466667,-1.48826,0.0466667,-2.06491,0.0466667,-1.83914,0.0466667,All
-1.5732,0.0533333,-1.48206,0.0533333,-2.03764,0.0533333,-1.80172,0.0533333,All
-1.57109,0.06,-1.41835,0.06,-1.9089,0.06,-1.76739,0.06,All
-1.55148,0.0666667,-1.41798,0.0666667,-1.7412,0.0666667,-1.73349,0.0666667,All
-1.51101,0.0733333,-1.4025,0.0733333,-1.72185,0.0733333,-1.70711,0.0733333,All
-1.47729,0.08,-1.37958,0.08,-1.67939,0.08,-1.67421,0.08,All
-1.40925,0.0866667,-1.37796,0.0866667,-1.64909,0.0866667,-1.57164,0.0866667,All
-1.38898,0.0933333,-1.35212,0.0933333,-1.64029,0.0933333,-1.46385,0.0933333,All
-1.37128,0.1,-1.30838,0.1,-1.62679,0.1,-1.33886,0.1,All
-1.37088,0.106667,-1.3081,0.106667,-1.61001,0.106667,-1.33492,0.106667,All
-1.33839,0.113333,-1.14479,0.113333,-1.58626,0.113333,-1.30328,0.113333,All
-1.32302,0.12,-1.11237,0.12,-1.57593,0.12,-1.28449,0.12,All
-1.29086,0.126667,-1.08478,0.126667,-1.56267,0.126667,-1.26957,0.126667,All
-1.28686,0.133333,-1.05675,0.133333,-1.53955,0.133333,-1.24629,0.133333,All
-1.28458,0.14,-1.00507,0.14,-0.867263,0.14,-1.19292,0.14,All
-1.2398,0.146667,-0.986585,0.146667,-0.843523,0.146667,-1.17814,0.146667,All
-1.22443,0.153333,-0.891221,0.153333,-0.772396,0.153333,-0.983208,0.153333,All
-1.18996,0.16,-0.839469,0.16,-0.728427,0.16,-0.943091,0.16,All
-1.15322,0.166667,-0.812427,0.166667,-0.711625,0.166667,-0.911817,0.166667,All
-1.10398,0.173333,-0.793939,0.173333,-0.706809,0.173333,-0.871195,0.173333,All
-1.04974,0.18,-0.791643,0.18,-0.702959,0.18,-0.858656,0.18,All
-1.01497,0.186667,-0.768681,0.186667,-0.692135,0.186667,-0.827484,0.186667,All
-0.978319,0.193333,-0.721516,0.193333,-0.676338,0.193333,-0.766855,0.193333,All
-0.977652,0.2,-0.699075,0.2,-0.644388,0.2,-0.757621,0.2,All
-0.95187,0.206667,-0.686811,0.206667,-0.599932,0.206667,-0.701218,0.206667,All
-0.930394,0.213333,-0.647248,0.213333,-0.598352,0.213333,-0.677176,0.213333,All
-0.904649,0.22,-0.621107,0.22,-0.591227,0.22,-0.663784,0.22,All
