Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21
Cl_pop,13.5126,13.5085,13.5026,13.5126,13.5172,13.5085,13.5248,13.5219,13.53,13.5038,13.4973,13.5083,13.5226,13.5067,13.5123,13.5027,13.5181,13.5103,13.5082,13.5268,13.5106
Q_pop,25.3138,23.5505,27.2538,25.6266,22.3501,27.7781,26.0098,27.5292,22.7577,31.1821,32.9878,28.7487,30.8546,25.3062,23.9908,25.2012,23.5781,24.2163,30.2483,22.8552,24.505
V1_pop,24.1338,24.4412,23.6275,24.0119,24.7062,23.4219,23.9524,23.6043,24.7957,22.9233,22.5235,23.2734,23.1456,24.1496,24.3743,23.8875,24.4162,24.3383,23.206,24.7247,24.2463
V2_pop,12.9647,12.6918,13.251,13.167,12.702,13.4657,12.6466,13.1233,12.3477,13.687,13.7935,13.5382,12.8959,12.7615,12.8246,13.4062,12.5955,12.8685,13.4099,12.5892,13.1333
a,1.56237,1.53323,1.54043,1.48466,1.50342,1.52072,1.50935,1.54324,1.50501,1.56231,1.54985,1.51703,1.56254,1.55275,1.48877,1.55576,1.55757,1.49796,1.51635,1.52318,1.47422
b,0.0418888,0.0425184,0.0420635,0.0478127,0.0443194,0.0446691,0.0472732,0.0437264,0.0454376,0.0432808,0.0451126,0.0462639,0.0450546,0.0430978,0.0461925,0.0415381,0.0421635,0.045647,0.046032,0.0443188,0.0488647
omega_Cl,0.25958,0.25916,0.259215,0.259954,0.259668,0.259499,0.259918,0.260033,0.260268,0.259332,0.259199,0.260234,0.259759,0.259498,0.259271,0.25921,0.259401,0.259715,0.259328,0.259915,0.259599
omega_Q,0.961019,0.949157,1.00688,1.15838,1.00798,1.1574,1.09388,1.1035,1.02672,1.12296,1.08533,1.12127,1.0803,0.971998,1.05616,1.02456,0.944593,1.06396,1.15153,1.02312,1.15764
omega_V1,0.282161,0.269431,0.24961,0.214466,0.268294,0.208311,0.215984,0.2143,0.249,0.206223,0.192544,0.204075,0.200954,0.267248,0.248938,0.266449,0.281189,0.239238,0.198801,0.266896,0.220968
omega_V2,0.873088,0.910976,0.883428,0.98468,0.947689,0.949385,0.974885,0.929607,1.00001,0.888119,0.880743,0.928704,0.918271,0.893097,0.957063,0.851784,0.881624,0.960877,0.932956,0.952423,1.00731
-2LL,512.264,512.311,512.428,512.527,512.47,511.938,512.223,511.88,512.149,512.51,512.313,512.411,512.158,512.062,512.271,512.255,512.354,512.211,512.556,512.413,512.216
