rep,id,eta_Cl,eta_V1,eta_Q2,eta_V2,eta_Q3,eta_V3
1,1,0.382474441856421,8.39781502506173e-10,-1.23095489400915e-7,9.30208276228853e-8,1.80843587004326,1.99129683242392e-8
2,1,0.39739553479147,-5.3064847096014e-8,-5.41711737242847e-8,-7.43465309804916e-8,2.95359152198447,-1.20570784992515e-8
3,1,0.385660233985073,1.97887556452107e-8,3.54130796999312e-8,-1.21514524505703e-8,2.41610664934574,4.55502955817037e-9
4,1,0.365467747282171,5.73504940133342e-9,-1.04323669177624e-7,7.93887072224449e-8,2.81501240509686,-6.95039152296116e-9
5,1,0.427268928687621,3.93780486350442e-8,5.43941916974321e-8,5.25631201738436e-8,2.49887408709897,5.7789015164564e-9
6,1,0.301335567115277,3.04522448912014e-8,1.18214601467603e-7,7.63310830315032e-8,1.97809704829833,1.68061020626947e-8
7,1,0.419011681490337,-2.20337047233103e-8,1.36363869455528e-7,-1.08953017213e-7,2.66230671432169,6.23327357590219e-9
8,1,0.488625011666584,-3.2918111155633e-8,-9.25545644484717e-9,1.91784071823238e-8,3.08655663545227,-2.77061087816203e-8
9,1,0.416255293257704,2.73949906918843e-9,1.15237707531757e-7,2.21568253163881e-8,2.43272152395458,-1.35713217345239e-8
10,1,0.407494977202507,6.59234155530989e-8,-7.9307031642359e-9,-7.98182018092483e-9,2.59173524982366,-2.80065432821085e-8
1,2,0.224136879523939,-9.15461036362934e-9,6.39741537520873e-8,2.19401330566578e-8,-0.717418367076126,2.12648628349726e-8
2,2,0.151983733992881,4.70590889546552e-8,5.02317093627978e-8,2.17320344665895e-7,-1.91491835288821,1.07854122072612e-8
3,2,0.136923504941623,7.50275880433414e-8,5.950787819343e-8,3.35478052514577e-9,-1.57437936049945,-5.31165301219387e-9
4,2,0.139243121399225,5.08395015444964e-8,3.06849338184421e-8,1.22916306869628e-7,-1.08773466675124,1.55960016441284e-8
5,2,0.137275548787093,3.4981970162966e-8,-1.94748352272515e-7,1.54507203860783e-8,-1.45603182462283,-2.07908368674487e-8
6,2,0.113878482344261,1.87089331187676e-8,1.46899640213662e-7,-3.73651741906762e-8,-1.63658221489779,1.43130513442174e-8
7,2,0.240215415395894,-1.59467340837786e-8,-2.1284710390992e-7,-8.18114967315437e-8,-0.610112916710114,-2.12644567222756e-9
8,2,0.160159713013739,6.39396886487348e-8,2.31916049513044e-7,8.11433393867107e-8,-1.98469349865046,-3.16761815381566e-10
9,2,0.202533992123267,3.9338305854478e-8,-3.95366290743939e-8,-5.04965673736368e-8,-1.37435796732924,4.96435567128816e-9
10,2,0.180975186700073,1.54517380192924e-9,1.58459376399004e-7,-1.49757287043758e-7,-1.68665347484606,3.21191179674015e-9
1,3,0.161852691441511,8.56646391436216e-8,3.1119359533474e-7,9.54624360752507e-8,-1.4477376880793,-3.19994214243327e-8
2,3,0.130635620503879,6.29051194394507e-8,-3.2248349845847e-8,-2.11424750080804e-7,-1.34783990828102,1.19884413845021e-8
3,3,0.135224428782328,-5.98186073474478e-8,2.85243155879975e-8,-1.17271616559582e-8,-1.10798030118261,2.51741494600652e-8
4,3,0.148692300512301,-1.31726771763526e-9,1.99230149138908e-7,1.3095591633712e-8,-0.660460568433936,3.50971254676667e-8
5,3,0.272249189677817,-2.5247093767026e-8,8.6071971130148e-8,8.9586743274027e-8,0.155667455833981,2.83188712362954e-9
6,3,0.116008105180292,3.39089854149506e-9,9.86428379117015e-9,-2.15811619056241e-8,-0.57615510043958,-2.45944667138586e-8
7,3,0.19675888640253,7.81065580767936e-8,-6.67979258652586e-8,-2.76768154828144e-8,-0.568649204465782,-1.82447769145619e-8
8,3,0.255525055468453,-3.87355972778057e-9,-4.47822326566766e-8,4.54837932374367e-8,0.0224228652000836,1.21437524921307e-8
9,3,0.222868586765176,-3.66987403881956e-8,-1.12341305977807e-7,-1.29811710195511e-7,0.225134730378597,1.90265287717932e-8
10,3,0.0715749564303037,6.33717365577686e-8,1.82292197678251e-8,-6.14231046324046e-8,-0.382839034648565,-1.16228232556244e-8
1,4,-0.0335361753627746,-2.92210551295749e-8,-1.01226647861826e-8,-3.71137480734077e-8,-0.319838058655901,-2.40333724373328e-8
2,4,-0.159956933005344,-1.07459173793938e-8,1.19689716557796e-7,-4.60682484763688e-8,-3.38636313331773,4.5295731314591e-9
3,4,-0.0776541421988628,-2.44392757940216e-8,-1.10368916211002e-7,-1.71168176212443e-8,-0.80126452802504,3.37539489873295e-8
