iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,491.617,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0.259513,1.01171,0.263295,0.888378
2,483.956,1,20.2912,23.6842,15.1393,1.47244,0.0395055,-0.395226,0.252942,1.11388,0.256628,0.865884
3,476.999,1,20.9323,23.6511,14.3101,1.39882,0.0375302,-0.41743,0.246537,1.09608,0.25013,0.843959
4,485.1,1,20.0927,23.8814,14.6769,1.31283,0.0390047,-0.381624,0.240295,1.08427,0.268627,0.891681
5,471.931,1,20.1024,23.8805,14.3378,1.24718,0.0370544,-0.397914,0.23421,1.14763,0.262818,0.870599
6,457.548,1,20.071,23.7121,13.7573,1.18483,0.0352017,-0.397318,0.22828,1.11857,0.256164,0.858267
7,467.244,1,20.1962,23.9389,14.7986,1.25435,0.0318873,-0.402087,0.222612,1.09024,0.269934,0.913386
8,456.611,1,20.1474,23.9171,14.0412,1.19548,0.0304944,-0.392697,0.226184,1.10657,0.2631,0.890258
9,464.226,1,20.068,24.2196,13.3527,1.23954,0.0313863,-0.399686,0.221587,1.07855,0.281262,0.867716
10,468.813,1,19.6109,24.0758,11.9411,1.11952,0.039711,-0.371191,0.223386,1.11704,0.274369,0.845745
11,467.656,1,20.1871,25.0053,12.7136,1.23132,0.0327191,-0.406411,0.229738,1.1139,0.268067,0.887001
12,472.668,1,21.0233,24.8355,13.8931,1.21291,0.0360433,-0.431411,0.232129,1.08569,0.277215,0.913162
13,476.667,1,20.669,25.0686,11.5607,1.32349,0.0326317,-0.421272,0.238065,1.0582,0.275043,0.925539
14,467.624,1,20.6092,24.7926,12.1996,1.32346,0.0314705,-0.407805,0.232037,1.03141,0.269585,0.902104
15,461.382,1,20.6337,25.2094,11.6346,1.23751,0.0322841,-0.40748,0.228553,1.00529,0.269457,0.915108
16,461.712,1,20.795,25.2316,12.9475,1.18053,0.0354874,-0.422353,0.222766,0.979838,0.277894,0.891937
17,469.354,1,20.5693,25.9525,11.346,1.34239,0.0292614,-0.412879,0.222248,1.01688,0.316852,0.869352
18,469.592,1,21.0938,26.0636,10.9559,1.24064,0.0356581,-0.425623,0.21662,0.991136,0.308829,0.88268
19,472.196,1,20.808,25.9358,11.2252,1.28569,0.0345654,-0.41669,0.215142,0.96604,0.301009,0.917372
20,477.727,1,20.727,25.747,11.5772,1.28567,0.0337792,-0.41571,0.236352,1.04684,0.293387,0.985341
21,473.904,1,20.8877,26.0294,11.4083,1.25132,0.0339864,-0.422362,0.233355,1.02033,0.285959,0.996053
22,464.825,1,20.3705,25.6687,12.1617,1.15076,0.035268,-0.402648,0.230664,1.05056,0.278718,1.00375
23,473.651,1,20.7912,25.6312,13.2509,1.20904,0.0370614,-0.421709,0.225056,1.05568,0.271661,0.989207
24,464.881,1,21.0348,25.1286,12.8667,1.14859,0.0352083,-0.424349,0.227975,1.10553,0.276598,0.96416
25,470.826,1,20.7788,24.836,14.5346,1.12096,0.0400193,-0.41983,0.227646,1.07754,0.269594,0.967556
26,475.866,1,20.8103,24.2767,14.118,1.2572,0.0329757,-0.419355,0.22676,1.20104,0.262768,1.04852
27,463.925,1,21.0555,24.4937,14.6131,1.24674,0.0295199,-0.429112,0.22184,1.17063,0.256114,1.06859
28,467.898,1,20.8938,25.0072,13.5601,1.24677,0.0311277,-0.425581,0.220031,1.14099,0.249629,1.13166
29,476.314,1,21.404,24.9391,12.5231,1.36745,0.0302129,-0.441705,0.220323,1.14963,0.243308,1.103
30,476.182,1,20.4129,24.9637,12.0663,1.36742,0.0285697,-0.398518,0.224458,1.15793,0.250523,1.10871
31,467.893,1,20.4631,24.8859,13.4928,1.36738,0.0277943,-0.409896,0.223385,1.12861,0.246285,1.08063
32,469.238,1,20.0998,24.1141,12.8573,1.41178,0.0247148,-0.393903,0.219595,1.13966,0.245861,1.05327
33,460.561,1,20.1747,24.1742,12.3595,1.41169,0.0213241,-0.387118,0.220049,1.11412,0.243024,1.07998
34,455.818,1,20.3361,24.2159,12.5204,1.41166,0.0197625,-0.406898,0.222971,1.08591,0.242067,1.05263
35,460.671,1,20.9386,24.4563,13.708,1.3243,0.0232134,-0.429851,0.226448,1.19601,0.237752,1.10867
36,470.302,1,20.2056,24.2922,12.7438,1.40157,0.0232075,-0.402196,0.220715,1.29469,0.263111,1.0806
37,469.65,1,20.5534,24.5452,12.896,1.40156,0.0234564,-0.411266,0.219883,1.26191,0.256511,1.11452
38,471.34,1,19.7374,24.9475,15.6665,1.40158,0.0235609,-0.387389,0.214316,1.22996,0.2694,1.10198
39,467.704,1,20.319,24.4414,15.5062,1.45898,0.021464,-0.402949,0.220049,1.19881,0.262579,1.07408
40,470.754,1,20.5414,24.575,13.6524,1.40776,0.0236259,-0.413872,0.22966,1.18004,0.263018,1.04688
41,471.519,1,19.6296,24.2897,13.3615,1.40781,0.0250242,-0.375958,0.223845,1.15016,0.267282,1.07892
42,459.251,1,20.8189,24.3918,11.8983,1.35644,0.0239474,-0.423801,0.218177,1.12104,0.260514,1.0516
43,457.283,1,20.5272,24.4313,12.318,1.31934,0.022357,-0.408499,0.2275,1.2529,0.253918,1.02498
44,456.996,1,20.0376,24.3307,12.684,1.43386,0.0186096,-0.382441,0.235906,1.22288,0.247488,0.999023
45,450.789,1,20.2996,23.8687,13.2433,1.49171,0.0163553,-0.389592,0.232781,1.19192,0.241222,0.973727
46,456.882,1,20.2237,23.9541,13.383,1.49175,0.017495,-0.400112,0.227445,1.16174,0.269556,0.949072
47,460.846,1,20.4157,24.1414,14.121,1.3785,0.0238668,-0.41054,0.229221,1.13232,0.266861,0.925041
48,461.192,1,19.936,23.9336,14.8009,1.32913,0.0265646,-0.382894,0.229174,1.10365,0.264935,0.901618
49,458.872,1,20.5246,24.37,14.4765,1.19639,0.0327308,-0.412724,0.223371,1.08645,0.258227,0.878789
50,458.418,1,20.5927,24.6137,12.9704,1.14846,0.0348214,-0.41519,0.225379,1.07538,0.251688,0.856587
51,454.462,1,21.3205,25.0247,11.9982,1.22128,0.0294962,-0.435723,0.22585,1.13608,0.248882,0.834898
52,458.906,1,21.0768,24.7843,12.012,1.22562,0.0317091,-0.431996,0.220131,1.10732,0.254652,0.868367
53,464.636,1,20.035,24.6822,12.1175,1.26342,0.0326553,-0.387485,0.22175,1.07928,0.257918,0.883005
54,461.96,1,20.515,24.7096,12.0286,1.31707,0.0316615,-0.404935,0.22237,1.05195,0.251388,0.860647
55,463.287,1,20.0155,24.4747,12.1624,1.31702,0.0306015,-0.384297,0.225884,1.09626,0.245022,0.934459
56,467.314,1,20.4984,24.9706,12.4072,1.2535,0.0330046,-0.40827,0.22098,1.0777,0.239368,0.994008
57,461.226,1,20.5171,24.7493,11.1558,1.29086,0.0303539,-0.404206,0.215459,1.05041,0.239954,0.968839
58,465.601,1,20.2787,24.1622,12.8536,1.15804,0.0365653,-0.389328,0.233891,1.04979,0.24229,0.974972
59,474.388,1,20.0571,25.2276,12.0346,1.3957,0.0291932,-0.387856,0.227969,1.15852,0.236665,0.997884
60,474.83,1,21.1139,25.3878,11.628,1.33725,0.0315664,-0.432017,0.222197,1.24033,0.230672,1.03423
61,480.279,1,20.5419,24.7106,11.2999,1.50266,0.0256753,-0.408986,0.226516,1.26087,0.224832,1.10105
62,480.243,1,20.5132,24.8162,11.7505,1.50266,0.0266734,-0.408282,0.223914,1.24683,0.224215,1.07317
63,479.296,1,20.2687,24.9865,11.954,1.45685,0.0284214,-0.393818,0.218988,1.32915,0.218538,1.04599
64,480.52,1,20.9657,24.8897,11.7296,1.45681,0.0270274,-0.430228,0.223883,1.34555,0.245526,1.01951
65,475.335,1,20.4771,24.6698,12.6896,1.45677,0.0256334,-0.401291,0.221075,1.34974,0.239309,1.00836
