parameter,value
Cl_pop,13.4907912943529
V1_pop,23.9855701425552
beta_V1_logtCLCRMLMIN,-1.36088263303998
beta_V1_logtPROGDL,-0.574673278890637
Q_pop,23.4
beta_Q_LMP_1,0.660410892242604
beta_Q_logtAGEA,1.40193689717757
beta_Q_logtALBGDL,18.4198362360474
beta_Q_logtPROGDL,-17.2084763570093
beta_Q_logtSCM2,-1.59364958605308
V2_pop,3.70341236590177
beta_V2_SEXF_1,4.02428946292473
beta_V2_logtHCM,30.3338644073437
omega_Cl,0.256993367323143
omega_V1,0.136583671928261
omega_Q,2.26995820503127e-8
omega_V2,5.21421961466565e-8
a,1.47041069572894
b,0.0392175675761507
