Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-0.52763,-0.165806,0.00466141,-0.683579,0.4097,0.0138728
-0.514801,-0.18772,0.00435511,-0.670047,0.42549,0.0135731
-0.501972,-0.196318,0.00404882,-0.656516,0.44128,0.0132735
-0.489142,-0.202148,0.00374252,-0.642985,0.45707,0.0129739
-0.476313,-0.206135,0.00343622,-0.629453,0.47286,0.0126743
-0.463484,-0.199806,0.00312993,-0.615922,0.488649,0.0123747
-0.450654,-0.188159,0.00282363,-0.602391,0.504439,0.0120751
-0.437825,-0.172258,0.00251734,-0.588859,0.520229,0.0117754
-0.424996,-0.152933,0.00221104,-0.575328,0.505383,0.0114758
-0.412166,-0.131196,0.00190475,-0.561796,0.460046,0.0111762
-0.399337,-0.10773,0.00159845,-0.548265,0.414708,0.0108766
-0.386508,-0.0841916,0.00129216,-0.534734,0.36937,0.010577
-0.373678,-0.0603118,0.000985861,-0.521202,0.324033,0.0102774
-0.360849,-0.0377608,0.000679566,-0.507671,0.27403,0.00997774
-0.34802,-0.0165011,0.000373271,-0.494139,0.217328,0.00967812
-0.33519,0.00207471,6.69752e-05,-0.480608,0.160896,0.0093785
-0.322361,0.0167655,-0.00023932,-0.467077,0.106193,0.00907888
-0.309532,0.0283216,-0.000545616,-0.453545,0.0536917,0.00877927
-0.296702,0.0362076,-0.000851911,-0.440014,0.00553339,0.00847965
-0.283873,0.0396604,-0.00115821,-0.426483,-0.0377275,0.00818003
-0.271044,0.0418293,-0.0014645,-0.412951,-0.0728341,0.00788042
-0.258214,0.0389464,-0.0017708,-0.39942,-0.101266,0.0075808
-0.245385,0.0345119,-0.00207709,-0.385888,-0.116052,0.00728118
-0.232556,0.0271065,-0.00238339,-0.372357,-0.12713,0.00698156
-0.219726,0.015933,-0.00268968,-0.358826,-0.129674,0.00668195
-0.206897,0.003023,-0.00299598,-0.345294,-0.124678,0.00638233
-0.194068,-0.0121599,-0.00330227,-0.331763,-0.114067,0.00608271
-0.181238,-0.0298129,-0.00360857,-0.318231,-0.099016,0.0057831
-0.168409,-0.0482042,-0.00391487,-0.3047,-0.081782,0.00548348
-0.15558,-0.0653187,-0.00422116,-0.291169,-0.0636594,0.00518386
-0.14275,-0.0815547,-0.00452746,-0.277637,-0.0454392,0.00488425
-0.129921,-0.092515,-0.00483375,-0.264106,-0.0272189,0.00458463
-0.117092,-0.0985173,-0.00514005,-0.250575,-0.0121455,0.00428501
-0.104262,-0.102118,-0.00544634,-0.237043,-7.9891e-05,0.00398539
-0.091433,-0.0945954,-0.00575264,-0.223512,0.00596878,0.00368578
-0.0786037,-0.079848,-0.00605893,-0.20998,0.0117684,0.00338616
-0.0657743,-0.0548924,-0.00636523,-0.196449,0.0125945,0.00308654
-0.052945,-0.0242791,-0.00667152,-0.182918,0.010856,0.00278693
-0.0401157,0.00791069,-0.00697782,-0.169386,0.00713504,0.00248731
-0.0272863,0.0374801,-0.00728411,-0.155855,0.00166332,0.00218769
-0.014457,0.0603841,-0.00759041,-0.142324,-0.00508566,0.00188808
-0.00162769,0.0750026,-0.00789671,-0.128792,-0.0125761,0.00158846
0.0112016,0.0841847,-0.008203,-0.115261,-0.0203406,0.00128884
0.024031,0.0889619,-0.0085093,-0.101729,-0.0280005,0.000989224
0.0368603,0.0914326,-0.00881559,-0.088198,-0.0352275,0.000689607
0.0496896,0.0935757,-0.00912189,-0.0746666,-0.042002,0.00038999
0.062519,0.0972246,-0.00942818,-0.0611352,-0.0478262,9.03732e-05
0.0753483,0.104003,-0.00973448,-0.0476038,-0.0525247,-0.000209244
0.0881776,0.113645,-0.0100408,-0.0340725,-0.0551285,-0.000508861
0.101007,0.124724,-0.0103471,-0.0205411,-0.0575363,-0.000808478
0.113836,0.135836,-0.0106534,-0.00700969,-0.0572773,-0.00110809
0.126666,0.14573,-0.0109597,0.0065217,-0.0550866,-0.00140771
0.139495,0.152616,-0.011266,0.0200531,-0.0507089,-0.00170733
0.152324,0.156566,-0.0115723,0.0335845,-0.0449416,-0.00200695
0.165154,0.155921,-0.0118785,0.0471158,-0.0379078,-0.00230656
0.177983,0.151643,-0.0121848,0.0606472,-0.0298871,-0.00260618
0.190812,0.143061,-0.0124911,0.0741786,-0.0211581,-0.0029058
0.203642,0.133019,-0.0127974,0.08771,-0.0122998,-0.00320541
0.216471,0.118223,-0.0131037,0.101241,-0.0034833,-0.00350503
0.2293,0.103231,-0.01341,0.114773,0.00497022,-0.00380465
0.24213,0.0859982,-0.0137163,0.128304,0.0124363,-0.00410427
0.254959,0.0674333,-0.0140226,0.141836,0.0191851,-0.00440388
0.267788,0.0470792,-0.0143289,0.155367,0.0243061,-0.0047035
0.280618,0.0266664,-0.0146352,0.168898,0.0281785,-0.00500312
0.293447,0.00612724,-0.0149415,0.18243,0.0304317,-0.00530273
0.306276,-0.0144119,-0.0152478,0.195961,0.0313905,-0.00560235
0.319106,-0.034951,-0.0155541,0.209492,0.030846,-0.00590197
0.331935,-0.0554902,-0.0158604,0.223024,0.0289293,-0.00620158
0.344764,-0.074227,-0.0161667,0.236555,0.02563,-0.0065012
0.357594,-0.0910794,-0.016473,0.250087,0.0212297,-0.00680082
0.370423,-0.104232,-0.0167793,0.263618,0.0164609,-0.00710044
0.383252,-0.117385,-0.0170856,0.277149,0.0115407,-0.00740005
0.396081,-0.130538,-0.0173919,0.290681,0.00705198,-0.00769967
0.408911,-0.140868,-0.0176982,0.304212,0.00326635,-0.00799929
0.42174,-0.14929,-0.0180045,0.317744,0.00096126,-0.0082989
0.434569,-0.15688,-0.0183107,0.331275,0.000354069,-0.00859852
0.447399,-0.162371,-0.018617,0.344806,0.000934075,-0.00889814
0.460228,-0.16749,-0.0189233,0.358338,0.00255285,-0.00919775
0.473057,-0.172609,-0.0192296,0.371869,0.00530154,-0.00949737
0.485887,-0.176255,-0.0195359,0.3854,0.00805022,-0.00979699
0.498716,-0.179434,-0.0198422,0.398932,0.0117804,-0.0100966
0.511545,-0.18202,-0.0201485,0.412463,0.015889,-0.0103962
0.524375,-0.184457,-0.0204548,0.425995,0.0201143,-0.0106958
0.537204,-0.186681,-0.0207611,0.439526,0.0241298,-0.0109955
0.550033,-0.188904,-0.0210674,0.453057,0.0281453,-0.0112951
0.562863,-0.191269,-0.0213737,0.466589,0.0305633,-0.0115947
0.575692,-0.19398,-0.02168,0.48012,0.0326262,-0.0118943
0.588521,-0.196799,-0.0219863,0.493651,0.034689,-0.0121939
0.601351,-0.200857,-0.0222926,0.507183,0.0367519,-0.0124935
0.61418,-0.204916,-0.0225989,0.520714,0.0365361,-0.0127932
0.627009,-0.209923,-0.0229052,0.534246,0.0341731,-0.0130928
0.639839,-0.216384,-0.0232115,0.547777,0.0301545,-0.0133924
0.652668,-0.222845,-0.0235178,0.561308,0.0251504,-0.013692
0.665497,-0.231171,-0.0238241,0.57484,0.0159856,-0.0139916
0.678327,-0.240583,-0.0241304,0.588371,0.00682092,-0.0142912
0.691156,-0.255308,-0.0244367,0.601903,-0.006238,-0.0145909
0.703985,-0.270034,-0.024743,0.615434,-0.0251021,-0.0148905
0.716815,-0.28476,-0.0250492,0.628965,-0.0439662,-0.0151901
0.729644,-0.299485,-0.0253555,0.642497,-0.0628302,-0.0154897
0.742473,-0.314211,-0.0256618,0.656028,-0.0816943,-0.0157893
