rep,ID,eta_V_simulated,eta_Cl_simulated,split,color,filter
0,1,0.146233,0.19496,All,#4682B4,0
1,1,-0.0244256,0.558717,All,#4682B4,0
2,1,0.14356,0.523993,All,#4682B4,0
3,1,-0.00445796,0.404293,All,#4682B4,0
4,1,0.0164926,0.59647,All,#4682B4,0
5,1,-0.0209333,0.386862,All,#4682B4,0
6,1,0.0687225,0.225632,All,#4682B4,0
7,1,0.081195,0.425416,All,#4682B4,0
8,1,0.154512,0.299988,All,#4682B4,0
9,1,-0.133367,0.656028,All,#4682B4,0
0,2,-0.164066,0.304204,All,#4682B4,0
1,2,-0.19718,0.142718,All,#4682B4,0
2,2,-0.296021,0.219398,All,#4682B4,0
3,2,-0.337295,0.305354,All,#4682B4,0
4,2,-0.198251,0.191579,All,#4682B4,0
5,2,-0.2683,0.327124,All,#4682B4,0
6,2,-0.301354,0.285283,All,#4682B4,0
7,2,-0.199265,0.185136,All,#4682B4,0
8,2,-0.226268,0.280673,All,#4682B4,0
9,2,-0.316371,0.416955,All,#4682B4,0
0,3,0.199398,0.202152,All,#4682B4,0
1,3,0.0256691,0.231309,All,#4682B4,0
2,3,0.0579962,0.207398,All,#4682B4,0
3,3,0.254639,0.302135,All,#4682B4,0
4,3,0.0535533,0.214413,All,#4682B4,0
5,3,-0.0345314,0.190042,All,#4682B4,0
6,3,0.126263,0.123604,All,#4682B4,0
7,3,0.119919,0.312027,All,#4682B4,0
8,3,0.0311681,0.352127,All,#4682B4,0
9,3,0.115078,0.24055,All,#4682B4,0
0,4,-0.104185,-0.0124746,All,#4682B4,0
1,4,-0.0833086,-0.125148,All,#4682B4,0
2,4,-0.0343108,-0.0148891,All,#4682B4,0
3,4,-0.0593188,-0.0217998,All,#4682B4,0
4,4,-0.0283352,-0.113585,All,#4682B4,0
5,4,-0.141343,-0.120908,All,#4682B4,0
6,4,-0.184092,-0.165996,All,#4682B4,0
7,4,-0.108469,-0.0993625,All,#4682B4,0
8,4,-0.186502,-0.0475574,All,#4682B4,0
9,4,-0.0878764,-0.12215,All,#4682B4,0
0,5,-0.463865,-0.0658911,All,#4682B4,0
1,5,-0.42357,-0.154568,All,#4682B4,0
2,5,-0.26646,-0.119562,All,#4682B4,0
3,5,-0.388758,-0.144418,All,#4682B4,0
4,5,-0.343153,-0.0606318,All,#4682B4,0
5,5,-0.241935,-0.186746,All,#4682B4,0
6,5,-0.332779,-0.134187,All,#4682B4,0
7,5,-0.326951,-0.110975,All,#4682B4,0
