time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
0.605172,0.010989,0.0222222,0,0.0449438,All
1.53128,0.021978,0.0333333,0.0111111,0.0777778,All
2.45739,0.032967,0.0555556,0.0222222,0.111111,All
3.3835,0.120879,0.0786517,0.0337079,0.134831,All
4.30961,0.153846,0.111111,0.0555556,0.168539,All
5.23572,0.175824,0.144444,0.0786517,0.202247,All
6.16183,0.197802,0.166667,0.111111,0.233333,All
7.08794,0.208791,0.2,0.133333,0.261364,All
8.01405,0.241758,0.222222,0.155556,0.288889,All
8.94016,0.263736,0.247191,0.179775,0.311111,All
9.86627,0.285714,0.277778,0.211111,0.337079,All
10.7924,0.307692,0.3,0.233333,0.359551,All
11.7185,0.351648,0.322222,0.255556,0.377778,All
12.6446,0.384615,0.344444,0.277778,0.4,All
13.5707,0.395604,0.359551,0.3,0.422222,All
14.4968,0.395604,0.377778,0.322222,0.438202,All
15.4229,0.395604,0.4,0.337079,0.455556,All
16.349,0.406593,0.41573,0.355556,0.466667,All
17.2751,0.428571,0.433333,0.377778,0.483146,All
18.2012,0.43956,0.444444,0.388889,0.5,All
19.1274,0.43956,0.466667,0.411111,0.511111,All
20.0535,0.450549,0.477778,0.422222,0.522222,All
20.9796,0.483516,0.488889,0.438202,0.539326,All
21.9057,0.494505,0.505618,0.455556,0.555556,All
22.8318,0.505495,0.522222,0.466667,0.566667,All
23.7579,0.516484,0.533333,0.477778,0.577778,All
24.684,0.527473,0.544444,0.488889,0.588889,All
25.6101,0.56044,0.555556,0.505618,0.6,All
26.5362,0.571429,0.566667,0.522222,0.611111,All
27.4623,0.582418,0.577778,0.533333,0.622222,All
28.3885,0.582418,0.588889,0.544444,0.633333,All
29.3146,0.604396,0.6,0.555556,0.644444,All
30.2407,0.604396,0.611111,0.566667,0.655556,All
31.1668,0.626374,0.622222,0.577778,0.666667,All
32.0929,0.626374,0.633333,0.588889,0.677778,All
33.019,0.659341,0.644444,0.6,0.688889,All
33.9451,0.659341,0.651685,0.611111,0.696629,All
34.8712,0.659341,0.662921,0.617978,0.704545,All
35.7973,0.681319,0.666667,0.629213,0.711111,All
36.7234,0.692308,0.677778,0.633333,0.722222,All
37.6495,0.692308,0.688889,0.644444,0.733333,All
38.5757,0.692308,0.7,0.655556,0.744444,All
39.5018,0.692308,0.711111,0.666667,0.755556,All
40.4279,0.703297,0.719101,0.674157,0.766667,All
41.354,0.725275,0.730337,0.677778,0.777778,All
42.2801,0.725275,0.733333,0.688889,0.786517,All
43.2062,0.725275,0.744444,0.7,0.795455,All
44.1323,0.747253,0.755556,0.711111,0.8,All
45.0584,0.769231,0.766667,0.719101,0.811111,All
45.9845,0.791209,0.777778,0.730337,0.822222,All
46.9106,0.802198,0.786517,0.733333,0.833333,All
47.8367,0.802198,0.795455,0.744444,0.844444,All
48.7629,0.802198,0.8,0.755556,0.855556,All
49.689,0.813187,0.811111,0.766667,0.865169,All
50.6151,0.813187,0.822222,0.775281,0.866667,All
51.5412,0.824176,0.833333,0.777778,0.877778,All
52.4673,0.824176,0.842697,0.788889,0.888889,All
53.3934,0.857143,0.852273,0.8,0.899438,All
54.3195,0.879121,0.855556,0.811111,0.9,All
55.2456,0.879121,0.866667,0.820225,0.911111,All
56.1717,0.89011,0.877778,0.822222,0.922222,All
57.0978,0.89011,0.877778,0.833333,0.922222,All
58.024,0.89011,0.888889,0.844444,0.933333,All
58.9501,0.901099,0.9,0.853933,0.94382,All
59.8762,0.912088,0.9,0.855556,0.944444,All
60.8023,0.912088,0.911111,0.866667,0.955056,All
61.7284,0.912088,0.921348,0.876404,0.955556,All
62.6545,0.912088,0.922222,0.877778,0.955556,All
63.5806,0.912088,0.932584,0.888889,0.966667,All
64.5067,0.912088,0.933333,0.898876,0.966667,All
65.4328,0.934066,0.94382,0.9,0.977528,All
66.3589,0.934066,0.944444,0.910112,0.977778,All
67.285,0.956044,0.955056,0.911111,0.977778,All
68.2112,0.956044,0.955556,0.921348,0.988764,All
69.1373,0.956044,0.955556,0.922222,0.988889,All
70.0634,0.978022,0.966292,0.932584,0.988889,All
70.9895,0.978022,0.966667,0.933333,0.988889,All
71.9156,0.978022,0.966667,0.943182,0.988889,All
72.8417,0.978022,0.977528,0.944444,1,All
73.7678,0.978022,0.977778,0.944444,1,All
74.6939,0.978022,0.977778,0.955056,1,All
75.62,0.978022,0.977778,0.955556,1,All
76.5461,0.978022,0.988636,0.955556,1,All
77.4722,0.978022,0.988764,0.955556,1,All
78.3984,0.978022,0.988889,0.966292,1,All
79.3245,0.978022,0.988889,0.966667,1,All
80.2506,0.978022,0.988889,0.966667,1,All
81.1767,0.978022,0.988889,0.977273,1,All
82.1028,0.989011,0.988889,0.977528,1,All
83.0289,0.989011,1,0.977778,1,All
83.955,0.989011,1,0.977778,1,All
84.8811,0.989011,1,0.977778,1,All
85.8072,0.989011,1,0.983142,1,All
86.7333,0.989011,1,0.988764,1,All
87.6595,0.989011,1,0.988764,1,All
88.5856,0.989011,1,0.988889,1,All
89.5117,0.989011,1,0.988889,1,All
90.4378,0.989011,1,0.988889,1,All
91.3639,0.989011,1,1,1,All
92.29,1,1,1,1,All
