iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,beta_Q_logtWTKG,beta_V1_logtWTKG,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0,0,0,0,0.259513,1.01171,0.263295,0.888378
2,452.793,1,22.2075,24.3523,12.8882,1.57483,0.0416799,1.07428,-0.479248,0.822662,0.0472992,-2.8223,0.252942,0.986093,0.256628,0.879902
3,448.986,1,22.4745,24.1069,13.6292,1.57477,0.0400871,1.09672,-0.483454,0.993309,-0.149107,-2.69946,0.246537,0.971065,0.25013,0.857623
4,450.417,1,22.0243,24.0202,14.9896,1.60257,0.0391032,1.17376,-0.469448,0.63686,-0.15552,-3.95011,0.240295,0.946477,0.267742,0.835907
5,449.234,1,22.0281,24.0445,14.1954,1.54681,0.0435471,1.17806,-0.478625,0.482279,-0.183934,-3.92514,0.23421,0.922512,0.260963,0.814742
6,445.663,1,22.4882,24.2046,13.0079,1.54677,0.0415383,1.14021,-0.489896,-0.100783,0.0445798,-3.52475,0.22828,0.899153,0.259406,0.794112
7,449.063,1,22.3389,23.8922,13.1047,1.50036,0.0438271,1.06627,-0.487286,0.737585,0.0814714,-2.75286,0.2225,0.923468,0.263957,0.816128
8,445.941,1,22.3098,24.159,13.1501,1.52824,0.0407676,1.09551,-0.484694,0.916458,0.0879459,-3.7358,0.216866,0.937936,0.266263,0.795463
9,455.471,1,22.7829,24.6953,12.306,1.52837,0.0453733,1.15916,-0.499422,0.970517,-0.0976247,-3.32565,0.211375,0.914187,0.293711,0.832941
10,460.74,1,22.1003,24.5854,11.4297,1.52848,0.0493486,1.08229,-0.47924,1.50627,0.0912735,-3.79505,0.206023,0.89104,0.286274,0.882475
11,458.011,1,22.6753,25.1289,11.6618,1.52842,0.0468353,1.12131,-0.504899,1.96545,-0.134675,-4.00815,0.200806,0.934574,0.279026,0.863076
12,450.152,1,22.6194,25.1187,12.2,1.36611,0.0531104,1.02545,-0.499237,1.87283,0.00258263,-4.4148,0.195722,0.91091,0.272678,0.841222
13,452.749,1,22.4175,25.3547,11.1527,1.34672,0.0550969,1.09764,-0.487798,1.12111,0.167524,-4.31796,0.19277,0.918525,0.265774,0.820488
14,451.199,1,23.136,25.0995,11.9542,1.37726,0.0542899,1.10765,-0.503704,0.219817,0.208748,-4.28497,0.192067,0.971462,0.259044,0.799713
15,453.722,1,22.6877,25.4295,11.6007,1.31552,0.058703,1.02218,-0.497115,1.10572,0.0958642,-4.17048,0.189265,0.946864,0.252485,0.862581
16,448.593,1,22.887,25.7689,11.8928,1.24975,0.0557679,1.09352,-0.499668,0.33736,0.0513365,-4.74833,0.187114,0.981998,0.247487,0.84409
17,450.86,1,22.5166,25.9421,11.3446,1.37941,0.0514129,1.08602,-0.492353,0.851137,0.0602475,-5.25006,0.182376,1.00866,0.263665,0.822717
18,451.144,1,22.7978,26.0987,11.2272,1.52984,0.0461277,1.1193,-0.501272,2.10813,0.156263,-5.22889,0.177758,0.989504,0.260461,0.801885
19,457.555,1,23.0311,26.4267,11.0871,1.39415,0.051751,1.17582,-0.498921,1.75567,0.0893269,-5.69239,0.182217,1.0361,0.268638,0.949311
20,463.942,1,22.9623,26.2865,12.0328,1.41442,0.0537688,1.15554,-0.504401,1.68919,-0.19048,-6.36617,0.187192,1.13836,0.273624,0.925274
21,456.924,1,22.9411,26.0523,12.6371,1.38686,0.0509445,1.24586,-0.507442,1.3523,-0.32874,-5.18638,0.18563,1.10953,0.29993,0.901845
22,457.607,1,22.6612,25.8908,13.4659,1.30239,0.052305,1.14568,-0.498635,1.8556,-0.318835,-4.60095,0.189448,1.14663,0.292336,0.931213
23,464.313,1,22.6392,25.6264,14.8577,1.33201,0.055253,1.00306,-0.501157,1.6598,-0.337186,-3.31137,0.189799,1.1176,0.284934,0.993334
24,464.06,1,22.0815,25.2164,14.2774,1.19525,0.0595945,1.02899,-0.476892,1.6833,-0.393641,-3.62054,0.19138,1.20537,0.282589,0.98733
25,466.211,1,22.5015,25.4924,15.2085,1.2739,0.0582535,1.02872,-0.489835,1.97469,-0.272314,-3.69602,0.193168,1.17485,0.276686,1.0479
26,467.245,1,22.1741,25.4592,15.7643,1.35651,0.0564405,1.04256,-0.470548,3.35556,-0.547814,-3.35097,0.190142,1.14598,0.26968,1.05494
27,462.307,1,23.2243,25.5339,15.968,1.36599,0.0543457,1.03774,-0.517884,3.21664,-0.499202,-2.99258,0.187328,1.11696,0.262852,1.11436
28,467.64,1,22.4107,26.0312,13.3323,1.29215,0.0602357,1.06103,-0.485928,3.80824,-0.444516,-4.50185,0.182584,1.1273,0.256196,1.09397
29,481.493,1,22.8492,26.2291,13.5513,1.41414,0.0605815,1.07649,-0.505356,2.99411,-0.574071,-4.64222,0.194857,1.12034,0.249709,1.21864
30,475.78,1,21.9015,26.4762,14.5569,1.35224,0.0630631,1.10578,-0.465044,3.58138,-0.580384,-4.06443,0.191546,1.09197,0.243386,1.20241
31,473.979,1,22.1098,26.5545,14.5424,1.31205,0.0616026,1.16828,-0.480752,3.97437,-0.786197,-4.62293,0.190578,1.06432,0.258162,1.23458
32,472.612,1,21.9182,25.4638,14.0699,1.41089,0.0547841,1.14949,-0.47786,3.81867,-0.669243,-4.02282,0.185752,1.07323,0.264529,1.22784
33,471.908,1,22.3532,25.1953,13.4611,1.34475,0.0591755,1.08214,-0.478186,3.78593,-0.614206,-3.84182,0.186166,1.04979,0.263828,1.19675
34,461.736,1,22.2532,24.9188,14.3908,1.29516,0.0583829,1.13221,-0.4812,4.34715,-0.642421,-3.65404,0.181452,1.11678,0.257148,1.16645
35,478.569,1,22.4823,25.1739,15.6092,1.33957,0.0622436,1.09002,-0.490608,3.21625,-0.698817,-4.25579,0.191538,1.23993,0.251775,1.13691
36,477.138,1,22.2268,24.8388,12.0005,1.40344,0.0612766,1.01926,-0.487514,3.61267,-0.553369,-2.59766,0.186689,1.20853,0.252861,1.10812
37,472.804,1,22.7754,24.7122,13.5236,1.40341,0.0589832,1.03438,-0.501247,2.98392,-0.713771,-3.06399,0.18812,1.17793,0.246459,1.08007
38,474.671,1,22.5215,24.74,15.8769,1.47297,0.0541709,1.02556,-0.503719,3.50789,-0.814716,-2.71488,0.187595,1.1481,0.261858,1.06293
39,471.852,1,22.5122,25.076,15.4458,1.39909,0.0616623,0.975557,-0.487676,3.92757,-0.725849,-3.16268,0.183957,1.11903,0.255228,1.03602
40,478.083,1,22.1841,25.4929,13.8599,1.39904,0.0605113,1.07413,-0.478621,3.8855,-0.717806,-2.8572,0.198213,1.16402,0.269166,1.00978
41,481.97,1,21.9126,24.991,13.4102,1.51707,0.0570282,1.09271,-0.467869,3.9168,-0.854491,-2.09994,0.193194,1.13454,0.28436,1.04538
42,476.18,1,22.695,25.0505,12.9611,1.44121,0.0541768,1.00118,-0.502077,4.34145,-0.87065,-2.16974,0.191785,1.10581,0.294196,1.10305
43,476.657,1,22.22,25.252,12.7991,1.4669,0.0558527,1.01804,-0.479496,4.20231,-0.899512,-1.47451,0.192271,1.09504,0.286747,1.07512
44,469.972,1,21.8561,24.7973,12.4562,1.39356,0.05306,1.11504,-0.466173,3.85524,-1.01432,-1.46933,0.193043,1.16351,0.280683,1.05349
45,469.372,1,22.218,24.3064,14.5295,1.46577,0.0510726,1.07022,-0.470986,3.98894,-1.04173,-2.01024,0.195823,1.13405,0.273576,1.08695
46,463.369,1,22.2681,24.3802,14.5732,1.50091,0.0482366,1.00245,-0.483583,3.89288,-0.978324,-1.67905,0.193909,1.10533,0.29212,1.05943
47,460.881,1,22.5364,25,14.3775,1.47147,0.048014,1.0014,-0.496721,3.61468,-0.911319,-1.93355,0.18966,1.07734,0.293037,1.0326
