Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
-5.10859,-0.0515418,0.0380595,-0.314342,-0.197866,-0.21828,-8.87195e-08,0.0608923,0.0608923,-0.537387,2.861,0.239573,-0.314342,-0.611537,-0.259569,-8.87195e-08,1.0154,1.0154,-0.537387,0.0504784,-0.110775,-5.10859,0.0636557,0.00162526,-8.87195e-08,-0.0174278,-0.0174278,-0.537387,-8.60632e-10,3.55035e-09,-5.10859,3.32251e-08,8.39532e-09,-0.314342,-1.03628e-08,-5.42618e-09
-5.00511,-0.0528838,0.0372752,-0.30739,-0.213496,-0.213597,-8.71538e-08,0.0598046,0.0598046,-0.527951,2.94261,0.233318,-0.30739,-0.302355,-0.25651,-8.71538e-08,0.995096,0.995096,-0.527951,0.027866,-0.108655,-5.00511,0.0527983,0.00179889,-8.71538e-08,-0.0169361,-0.0169361,-0.527951,-3.26346e-09,3.46369e-09,-5.00511,2.8666e-08,8.19252e-09,-0.30739,-1.17242e-08,-5.33961e-09
-4.90163,-0.0542258,0.0364908,-0.300438,-0.222523,-0.208913,-8.55881e-08,0.0587169,0.0587169,-0.518515,2.97751,0.227062,-0.300438,-0.0895026,-0.25345,-8.55881e-08,0.974797,0.974797,-0.518515,0.00771026,-0.106535,-4.90163,0.0419409,0.00197252,-8.55881e-08,-0.0164443,-0.0164443,-0.518515,-5.23827e-09,3.37702e-09,-4.90163,2.41069e-08,7.98972e-09,-0.300438,-1.25709e-08,-5.25305e-09
-4.79815,-0.0555678,0.0357065,-0.293486,-0.227607,-0.20423,-8.40223e-08,0.0576292,0.0576292,-0.50908,2.9062,0.220807,-0.293486,0.065832,-0.250391,-8.40223e-08,0.954498,0.954498,-0.50908,-0.00643999,-0.104416,-4.79815,0.0310834,0.00214615,-8.40223e-08,-0.0159526,-0.0159526,-0.50908,-6.20475e-09,3.29036e-09,-4.79815,1.95478e-08,7.78693e-09,-0.293486,-1.31103e-08,-5.16648e-09
-4.69467,-0.0563417,0.0349221,-0.286534,-0.232691,-0.199546,-8.24566e-08,0.0565415,0.0565415,-0.499644,2.81297,0.214552,-0.286534,0.221167,-0.247331,-8.24566e-08,0.934199,0.934199,-0.499644,-0.0193475,-0.102296,-4.69467,0.0221914,0.00231978,-8.24566e-08,-0.0154608,-0.0154608,-0.499644,-6.96283e-09,3.2037e-09,-4.69467,1.56503e-08,7.58413e-09,-0.286534,-1.36497e-08,-5.07991e-09
-4.59119,-0.056353,0.0341378,-0.279582,-0.237776,-0.194863,-8.08909e-08,0.0554538,0.0554538,-0.490208,2.71974,0.208297,-0.279582,0.376501,-0.244272,-8.08909e-08,0.9139,0.9139,-0.490208,-0.0322551,-0.100176,-4.59119,0.0159369,0.0024934,-8.08909e-08,-0.014969,-0.014969,-0.490208,-7.7209e-09,3.11703e-09,-4.59119,1.26406e-08,7.38133e-09,-0.279582,-1.41892e-08,-4.99334e-09
-4.48771,-0.0563644,0.0333534,-0.27263,-0.238217,-0.190179,-7.93251e-08,0.0543661,0.0543661,-0.480773,2.6265,0.202041,-0.27263,0.463428,-0.241213,-7.93251e-08,0.8936,0.8936,-0.480773,-0.0451626,-0.0980564,-4.48771,0.00968239,0.00266703,-7.93251e-08,-0.0144773,-0.0144773,-0.480773,-8.47898e-09,3.03037e-09,-4.48771,9.6309e-09,7.17854e-09,-0.27263,-1.43484e-08,-4.90677e-09
-4.38423,-0.0557254,0.0325691,-0.265678,-0.234376,-0.185496,-7.77594e-08,0.0532784,0.0532784,-0.471337,2.53327,0.195786,-0.265678,0.487239,-0.238153,-7.77594e-08,0.873301,0.873301,-0.471337,-0.0580701,-0.0959366,-4.38423,0.00552224,0.00284066,-7.77594e-08,-0.0139855,-0.0139855,-0.471337,-9.23705e-09,2.94371e-09,-4.38423,7.38602e-09,6.97574e-09,-0.265678,-1.41568e-08,-4.82021e-09
-4.28076,-0.0547888,0.0317847,-0.258726,-0.226508,-0.180813,-7.61937e-08,0.0521907,0.0521907,-0.461901,2.41768,0.189531,-0.258726,0.450163,-0.235094,-7.61937e-08,0.853002,0.853002,-0.461901,-0.0695303,-0.0938169,-4.28076,0.00232112,0.00301429,-7.61937e-08,-0.0134938,-0.0134938,-0.461901,-9.76757e-09,2.85704e-09,-4.28076,5.49138e-09,6.77295e-09,-0.258726,-1.35937e-08,-4.73364e-09
-4.17728,-0.0538521,0.0310004,-0.251774,-0.217263,-0.176129,-7.46279e-08,0.051103,0.051103,-0.452466,2.21936,0.183275,-0.251774,0.392273,-0.232034,-7.46279e-08,0.832703,0.832703,-0.452466,-0.0756339,-0.0916971,-4.17728,-0.000879999,0.00318792,-7.46279e-08,-0.013002,-0.013002,-0.452466,-9.45588e-09,2.77038e-09,-4.17728,3.59673e-09,6.57015e-09,-0.251774,-1.29037e-08,-4.64707e-09
-4.0738,-0.0523944,0.0302161,-0.244822,-0.208018,-0.171446,-7.30622e-08,0.0500153,0.0500153,-0.44303,2.02103,0.17702,-0.244822,0.334383,-0.228975,-7.30622e-08,0.812404,0.812404,-0.44303,-0.0817374,-0.0895774,-4.0738,-0.00255035,0.00336155,-7.30622e-08,-0.0125102,-0.0125102,-0.44303,-9.14419e-09,2.68372e-09,-4.0738,2.32217e-09,6.36735e-09,-0.244822,-1.22136e-08,-4.5605e-09
