trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.60587,2.82716,0.481481,2.60587,2.82716,0.26,3.93576,3.28875,0.481481,3.93576,3.28875,0.26,3.22836,3.04371,0.481481,3.22836,3.04371,0.26,3.45085,2.84116,0.481481,3.45085,2.84116,All
0.267677,2.61596,2.82128,0.495698,2.61596,2.82128,0.267677,3.86542,3.2864,0.495698,3.86542,3.2864,0.267677,3.22827,3.0469,0.495698,3.22827,3.0469,0.267677,3.35099,2.83364,0.495698,3.35099,2.83364,All
0.275354,2.62604,2.8154,0.509914,2.62604,2.8154,0.275354,3.79508,3.28405,0.509914,3.79508,3.28405,0.275354,3.22817,3.05009,0.509914,3.22817,3.05009,0.275354,3.25114,2.82611,0.509914,3.25114,2.82611,All
0.28303,2.63613,2.80952,0.52413,2.63613,2.80952,0.28303,3.72475,3.2817,0.52413,3.72475,3.2817,0.28303,3.22808,3.05328,0.52413,3.22808,3.05328,0.28303,3.15128,2.81859,0.52413,3.15128,2.81859,All
0.290707,2.64621,2.80364,0.538346,2.64621,2.80364,0.290707,3.65441,3.27935,0.538346,3.65441,3.27935,0.290707,3.22798,3.05647,0.538346,3.22798,3.05647,0.290707,3.05142,2.81106,0.538346,3.05142,2.81106,All
0.298384,2.6563,2.79776,0.552563,2.6563,2.79776,0.298384,3.58407,3.277,0.552563,3.58407,3.277,0.298384,3.22789,3.05967,0.552563,3.22789,3.05967,0.298384,2.95157,2.80354,0.552563,2.95157,2.80354,All
0.306061,2.66638,2.79188,0.566779,2.66638,2.79188,0.306061,3.51373,3.27465,0.566779,3.51373,3.27465,0.306061,3.22779,3.06286,0.566779,3.22779,3.06286,0.306061,2.85171,2.79602,0.566779,2.85171,2.79602,All
0.313737,2.67647,2.78599,0.580995,2.67647,2.78599,0.313737,3.44339,3.2723,0.580995,3.44339,3.2723,0.313737,3.2277,3.06605,0.580995,3.2277,3.06605,0.313737,2.75185,2.78849,0.580995,2.75185,2.78849,All
0.321414,2.68655,2.78011,0.595211,2.68655,2.78011,0.321414,3.37306,3.26995,0.595211,3.37306,3.26995,0.321414,3.22761,3.06924,0.595211,3.22761,3.06924,0.321414,2.652,2.78097,0.595211,2.652,2.78097,All
0.329091,2.69664,2.77423,0.609428,2.69664,2.77423,0.329091,3.30272,3.2676,0.609428,3.30272,3.2676,0.329091,3.22751,3.07243,0.609428,3.22751,3.07243,0.329091,2.55214,2.77344,0.609428,2.55214,2.77344,All
0.336768,2.70672,2.76835,0.623644,2.70672,2.76835,0.336768,3.23238,3.26525,0.623644,3.23238,3.26525,0.336768,3.22742,3.07562,0.623644,3.22742,3.07562,0.336768,2.45229,2.76592,0.623644,2.45229,2.76592,All
0.344444,2.7168,2.76247,0.63786,2.7168,2.76247,0.344444,3.16204,3.2629,0.63786,3.16204,3.2629,0.344444,3.22732,3.07881,0.63786,3.22732,3.07881,0.344444,2.35243,2.7584,0.63786,2.35243,2.7584,All
0.352121,2.72559,2.75659,0.652076,2.72559,2.75659,0.352121,3.11799,3.26055,0.652076,3.11799,3.26055,0.352121,3.22399,3.08201,0.652076,3.22399,3.08201,0.352121,2.30095,2.75087,0.652076,2.30095,2.75087,All
0.359798,2.73098,2.75071,0.666293,2.73098,2.75071,0.359798,3.14279,3.25819,0.666293,3.14279,3.25819,0.359798,3.21217,3.0852,0.666293,3.21217,3.0852,0.359798,2.37618,2.74335,0.666293,2.37618,2.74335,All
0.367475,2.73637,2.74483,0.680509,2.73637,2.74483,0.367475,3.16759,3.25584,0.680509,3.16759,3.25584,0.367475,3.20035,3.08839,0.680509,3.20035,3.08839,0.367475,2.45141,2.73583,0.680509,2.45141,2.73583,All
0.375152,2.74176,2.73895,0.694725,2.74176,2.73895,0.375152,3.19239,3.25349,0.694725,3.19239,3.25349,0.375152,3.18853,3.09158,0.694725,3.18853,3.09158,0.375152,2.52665,2.7283,0.694725,2.52665,2.7283,All
0.382828,2.74715,2.73307,0.708941,2.74715,2.73307,0.382828,3.21719,3.25114,0.708941,3.21719,3.25114,0.382828,3.17671,3.09477,0.708941,3.17671,3.09477,0.382828,2.60188,2.72078,0.708941,2.60188,2.72078,All
0.390505,2.75254,2.72718,0.723158,2.75254,2.72718,0.390505,3.24199,3.24879,0.723158,3.24199,3.24879,0.390505,3.16489,3.09796,0.723158,3.16489,3.09796,0.390505,2.67711,2.71325,0.723158,2.67711,2.71325,All
0.398182,2.75793,2.7213,0.737374,2.75793,2.7213,0.398182,3.26679,3.24644,0.737374,3.26679,3.24644,0.398182,3.15307,3.10115,0.737374,3.15307,3.10115,0.398182,2.75234,2.70573,0.737374,2.75234,2.70573,All
0.405859,2.76333,2.71542,0.75159,2.76333,2.71542,0.405859,3.29159,3.24409,0.75159,3.29159,3.24409,0.405859,3.14125,3.10435,0.75159,3.14125,3.10435,0.405859,2.82757,2.69821,0.75159,2.82757,2.69821,All
0.413535,2.76872,2.70954,0.765806,2.76872,2.70954,0.413535,3.31639,3.24174,0.765806,3.31639,3.24174,0.413535,3.12943,3.10754,0.765806,3.12943,3.10754,0.413535,2.9028,2.69068,0.765806,2.9028,2.69068,All
0.421212,2.77411,2.70366,0.780022,2.77411,2.70366,0.421212,3.34119,3.23939,0.780022,3.34119,3.23939,0.421212,3.11762,3.11073,0.780022,3.11762,3.11073,0.421212,2.97804,2.68316,0.780022,2.97804,2.68316,All
0.428889,2.7795,2.69778,0.794239,2.7795,2.69778,0.428889,3.36599,3.23704,0.794239,3.36599,3.23704,0.428889,3.1058,3.11392,0.794239,3.1058,3.11392,0.428889,3.05327,2.67563,0.794239,3.05327,2.67563,All
0.436566,2.78489,2.6919,0.808455,2.78489,2.6919,0.436566,3.39079,3.23469,0.808455,3.39079,3.23469,0.436566,3.09398,3.11711,0.808455,3.09398,3.11711,0.436566,3.1285,2.66811,0.808455,3.1285,2.66811,All
0.444242,2.79028,2.68602,0.822671,2.79028,2.68602,0.444242,3.41559,3.23234,0.822671,3.41559,3.23234,0.444242,3.08216,3.1203,0.822671,3.08216,3.1203,0.444242,3.20373,2.66059,0.822671,3.20373,2.66059,All
0.451919,2.79567,2.68014,0.836887,2.79567,2.68014,0.451919,3.44039,3.22999,0.836887,3.44039,3.22999,0.451919,3.07034,3.12349,0.836887,3.07034,3.12349,0.451919,3.27896,2.65306,0.836887,3.27896,2.65306,All
0.459596,2.80106,2.67426,0.851104,2.80106,2.67426,0.459596,3.46519,3.22764,0.851104,3.46519,3.22764,0.459596,3.05852,3.12669,0.851104,3.05852,3.12669,0.459596,3.35419,2.64554,0.851104,3.35419,2.64554,All
0.467273,2.78658,2.66837,0.86532,2.78658,2.66837,0.467273,3.4258,3.22529,0.86532,3.4258,3.22529,0.467273,3.08105,3.12988,0.86532,3.08105,3.12988,0.467273,3.21692,2.63802,0.86532,3.21692,2.63802,All
0.474949,2.771,2.66249,0.879536,2.771,2.66249,0.474949,3.38285,3.22294,0.879536,3.38285,3.22294,0.474949,3.10548,3.13307,0.879536,3.10548,3.13307,0.474949,3.06783,2.63049,0.879536,3.06783,2.63049,All
0.482626,2.74161,2.65661,0.893752,2.74161,2.65661,0.482626,3.32397,3.22059,0.893752,3.32397,3.22059,0.482626,3.13424,3.13626,0.893752,3.13424,3.13626,0.482626,2.88654,2.62297,0.893752,2.88654,2.62297,All
