iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,810.894,1,13.5088,24.1422,13.1053,0.0415847,0,0.259513,1.01171,0.263295,0.888378
2,473.684,1,20.1107,25.4498,24.5775,0.10499,-0.398859,0.252942,1.48409,0.256628,1.15385
3,494.117,1,20.1893,25.2069,22.6407,0.120283,-0.399052,0.246537,1.51771,0.25013,1.12915
4,509.786,1,19.4139,25.471,23.9786,0.1301,-0.357231,0.240295,1.5509,0.243796,1.14116
5,527.352,1,19.4218,25.6886,21.0126,0.142374,-0.359527,0.23421,1.51979,0.237623,1.17756
6,517.93,1,20.509,26.0143,20.1284,0.138335,-0.409468,0.22828,1.55516,0.231607,1.14774
7,521.621,1,20.2943,25.5697,18.1503,0.138302,-0.405219,0.231867,1.64459,0.240524,1.11868
8,525.94,1,20.3366,25.9355,18.816,0.143611,-0.398742,0.225996,1.6644,0.234434,1.09036
9,524.163,1,20.7189,26.243,17.9069,0.146467,-0.413829,0.220273,1.62226,0.232302,1.06275
10,522.324,1,19.9593,26.06,17.0993,0.145538,-0.38623,0.215149,1.58118,0.22642,1.0685
11,526.637,1,20.014,26.1219,17.4572,0.14914,-0.391489,0.225102,1.54114,0.220687,1.05732
12,528.528,1,20.6089,26.083,19.6349,0.149381,-0.416377,0.219402,1.54214,0.215099,1.10326
13,532.056,1,20.0514,25.1955,17.5422,0.149426,-0.394809,0.222863,1.58404,0.20971,1.10344
14,533.975,1,20.1667,25.7175,20.5305,0.157613,-0.388942,0.218073,1.63735,0.2044,1.0755
15,540.78,1,20.6553,26.2317,19.8451,0.159949,-0.414743,0.216034,1.60283,0.200409,1.04827
16,528.414,1,19.8707,25.9307,17.3251,0.151952,-0.374959,0.221304,1.84178,0.195334,1.04678
17,524.527,1,19.7975,25.8131,18.1349,0.144354,-0.384517,0.215701,1.97202,0.190388,1.02027
18,524.637,1,19.8916,26.108,17.786,0.153039,-0.391664,0.215062,1.92209,0.185568,0.994439
19,522.103,1,20.183,26.5029,16.542,0.148869,-0.392344,0.209617,1.87342,0.180869,0.969259
20,526.452,1,20.2737,25.8443,17.1515,0.154486,-0.3959,0.205298,1.82598,0.177947,0.944717
21,510.923,1,20.5382,25.5729,17.3925,0.146761,-0.411534,0.214265,1.77975,0.173441,0.920796
22,509.116,1,20.4695,25.6131,18.4957,0.142053,-0.409717,0.220618,1.73468,0.16905,0.941355
23,511.596,1,20.5611,25.4994,19.3423,0.146136,-0.416576,0.217287,1.69076,0.164769,0.955666
24,508.341,1,20.5791,25.7389,19.272,0.143298,-0.412742,0.212675,1.64795,0.160597,0.931468
25,514.146,1,20.5851,25.8986,18.9431,0.146457,-0.410267,0.21152,1.70907,0.156531,0.966936
26,523.843,1,21.0287,25.9681,18.1551,0.155318,-0.425947,0.21055,1.67265,0.152567,1.09381
27,523.232,1,21.0307,26.1145,16.8155,0.154533,-0.420081,0.206825,1.6303,0.148704,1.18659
28,519.534,1,20.5207,26.4593,17.84,0.151974,-0.403886,0.201589,1.58902,0.151467,1.15654
29,530.905,1,20.6866,26.8175,17.2536,0.161358,-0.40232,0.212594,1.54977,0.151594,1.12726
30,532,1,19.8472,26.6849,16.1618,0.163725,-0.361661,0.208319,1.62016,0.147755,1.11027
31,528.411,1,19.2952,26.4684,16.5577,0.155539,-0.342714,0.218514,1.70036,0.152313,1.15402
32,535.432,1,19.2433,25.5966,15.0131,0.158022,-0.354709,0.220668,1.65731,0.161846,1.15582
33,520.585,1,20.7891,25.3237,17.5651,0.153789,-0.408809,0.215081,1.61534,0.15794,1.12656
34,512.381,1,20.8805,25.5378,17.6884,0.146099,-0.418548,0.213153,1.75228,0.153941,1.09803
35,532.558,1,21.1047,25.3962,19.9479,0.154278,-0.419052,0.213866,1.94833,0.17445,1.09056
36,527.432,1,20.369,25.4991,16.8725,0.149838,-0.388933,0.208451,2.06349,0.196704,1.06295
37,533.168,1,20.4731,25.7598,18.3904,0.156521,-0.398897,0.208983,2.01124,0.191723,1.03603
38,529.458,1,19.7043,25.9304,22.561,0.148695,-0.368511,0.207175,1.97075,0.199656,1.04732
39,518.278,1,20.3619,25.3359,20.5954,0.143548,-0.391694,0.208898,1.92085,0.1946,1.0208
40,523.637,1,20.2955,25.413,22.7909,0.149845,-0.384397,0.218017,1.87222,0.189673,0.99495
41,527.024,1,20.3808,25.253,21.8758,0.151451,-0.390457,0.212496,1.99075,0.201358,0.969757
42,528.039,1,21.3175,25.8364,18.6267,0.150835,-0.439586,0.207116,1.99962,0.209274,0.945202
43,521.564,1,20.4259,25.8375,17.6097,0.14893,-0.399757,0.20239,2.02367,0.203975,0.921269
