Cl_pop,1,0.65654,-0.97287,-0.013644,nan,-0.019579,0.0029944,0.028089,-0.63986,0.00076028,-0.014163,0.033741,-0.05778,0.035375
beta_Cl_logtWTKG,0.65654,1,-0.63521,-0.019523,nan,-0.036632,0.0016388,0.058155,-0.98764,0.010071,-0.037458,0.071424,-0.098285,0.06434
beta_Cl_tSCRMGDL,-0.97287,-0.63521,1,0.016863,nan,0.024591,0.0026793,-0.032204,0.61892,-0.00074833,0.018596,-0.046976,0.05752,-0.031669
V1_pop,-0.013644,-0.019523,0.016863,1,nan,0.055458,0.087864,-0.017923,0.019126,0.06532,0.0053792,-0.10229,-0.039659,0.10024
beta_V1_logtWTKG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
beta_Q_logtWTKG,-0.019579,-0.036632,0.024591,0.055458,nan,1,0.25223,0.23227,0.039241,-0.0039715,0.31151,-0.14651,0.019129,0.17239
V2_pop,0.0029944,0.0016388,0.0026793,0.087864,nan,0.25223,1,0.23835,-0.0043503,0.022097,0.0051501,-0.34499,-0.048343,0.23797
beta_V2_logtWTKG,0.028089,0.058155,-0.032204,-0.017923,nan,0.23227,0.23835,1,-0.059824,-0.0099606,-0.022564,0.34226,-0.021125,0.077423
omega_Cl,-0.63986,-0.98764,0.61892,0.019126,nan,0.039241,-0.0043503,-0.059824,1,-0.0084403,0.039011,-0.072131,0.10314,-0.072076
omega_V1,0.00076028,0.010071,-0.00074833,0.06532,nan,-0.0039715,0.022097,-0.0099606,-0.0084403,1,-0.038502,-0.038231,0.012352,-0.022699
omega_Q,-0.014163,-0.037458,0.018596,0.0053792,nan,0.31151,0.0051501,-0.022564,0.039011,-0.038502,1,-0.19524,-0.03062,0.096858
omega_V2,0.033741,0.071424,-0.046976,-0.10229,nan,-0.14651,-0.34499,0.34226,-0.072131,-0.038231,-0.19524,1,0.036702,-0.15101
a,-0.05778,-0.098285,0.05752,-0.039659,nan,0.019129,-0.048343,-0.021125,0.10314,0.012352,-0.03062,0.036702,1,-0.46024
b,0.035375,0.06434,-0.031669,0.10024,nan,0.17239,0.23797,0.077423,-0.072076,-0.022699,0.096858,-0.15101,-0.46024,1
