Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
5.37751,0,28.9716,0,5.4146e-08,0,207.06,0,0.14156,0,36.3012,0,All
8.9534,0.0666667,28.9831,0.0666667,5.41825e-08,0.0666667,207.178,0.0666667,0.187815,0.0666667,36.3114,0.0666667,All
10.5339,0.133333,28.9831,0.133333,5.41825e-08,0.133333,207.178,0.133333,0.204716,0.133333,36.3114,0.133333,All
10.5959,0.2,28.9831,0.2,5.41825e-08,0.2,207.178,0.2,0.301599,0.2,36.3114,0.2,All
11.5448,0.266667,28.9831,0.266667,5.41825e-08,0.266667,207.178,0.266667,0.361536,0.266667,36.3114,0.266667,All
12.2549,0.333333,28.9831,0.333333,5.41825e-08,0.333333,207.178,0.333333,0.508156,0.333333,36.3114,0.333333,All
12.273,0.4,28.9831,0.4,5.41825e-08,0.4,207.178,0.4,0.691743,0.4,36.3114,0.4,All
12.5139,0.466667,28.9831,0.466667,5.41825e-08,0.466667,207.178,0.466667,1.57825,0.466667,36.3114,0.466667,All
14.1272,0.533333,28.9831,0.533333,5.41825e-08,0.533333,207.178,0.533333,1.87783,0.533333,36.3114,0.533333,All
14.6036,0.6,28.9831,0.6,5.41825e-08,0.6,207.178,0.6,3.84473,0.6,36.3114,0.6,All
15.2023,0.666667,28.9831,0.666667,5.41825e-08,0.666667,207.178,0.666667,5.39191,0.666667,36.3114,0.666667,All
16.1557,0.733333,28.9831,0.733333,5.41825e-08,0.733333,207.178,0.733333,6.2117,0.733333,36.3114,0.733333,All
16.33,0.8,28.9831,0.8,5.41825e-08,0.8,207.178,0.8,18.3939,0.8,36.3114,0.8,All
17.2801,0.866667,28.9831,0.866667,5.41825e-08,0.866667,207.178,0.866667,28.8214,0.866667,36.3114,0.866667,All
18.0085,0.933333,28.9831,0.933333,5.41825e-08,0.933333,207.178,0.933333,93.4032,0.933333,36.3114,0.933333,All
20.1074,1,28.9831,1,5.41825e-08,1,207.178,1,120.159,1,36.3114,1,All
34.8451,1,28.9946,1,5.4219e-08,1,207.296,1,120.159,1,36.3216,1,All
