Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q2_abscissa,Q2_pdf,Q2_cdf,V2_abscissa,V2_pdf,V2_cdf,Q3_abscissa,Q3_pdf,Q3_cdf,V3_abscissa,V3_pdf,V3_cdf,split
5.37751,6.97013e-05,1.96634e-05,28.9716,2.22045e-16,2.22045e-16,5.4146e-08,2.22045e-16,2.22045e-16,207.06,2.22045e-16,2.22045e-16,0.14156,0.531933,0.0976525,36.3012,2.22045e-16,2.22045e-16,All
5.67516,0.000170187,5.34573e-05,28.9718,2.22045e-16,2.22045e-16,5.41467e-08,2.22045e-16,2.22045e-16,207.062,2.22045e-16,2.22045e-16,1.35385,0.122644,0.378573,36.3014,2.22045e-16,2.22045e-16,All
5.97281,0.000376898,0.000131427,28.9721,2.22045e-16,2.22045e-16,5.41475e-08,2.22045e-16,2.22045e-16,207.065,2.22045e-16,2.22045e-16,2.56614,0.0678431,0.488012,36.3016,2.22045e-16,2.22045e-16,All
6.27046,0.000766173,0.000295839,28.9723,2.22045e-16,2.22045e-16,5.41482e-08,2.22045e-16,2.22045e-16,207.067,2.22045e-16,2.22045e-16,3.77844,0.0456545,0.555222,36.3018,2.22045e-16,2.22045e-16,All
6.56812,0.00144415,0.000616081,28.9725,2.22045e-16,2.22045e-16,5.4149e-08,2.22045e-16,2.22045e-16,207.07,2.22045e-16,2.22045e-16,4.99073,0.0337365,0.602705,36.302,2.22045e-16,2.22045e-16,All
6.86577,0.00254562,0.00119749,28.9728,2.22045e-16,2.22045e-16,5.41497e-08,2.22045e-16,2.22045e-16,207.072,2.22045e-16,2.22045e-16,6.20302,0.0263614,0.638815,36.3022,2.22045e-16,2.22045e-16,All
7.16342,0.00422712,0.00218902,28.973,2.22045e-16,2.22045e-16,5.41504e-08,2.22045e-16,2.22045e-16,207.074,2.22045e-16,2.22045e-16,7.41532,0.0213844,0.667576,36.3024,2.22045e-16,2.22045e-16,All
7.46107,0.00665416,0.00378791,28.9732,2.22045e-16,2.22045e-16,5.41512e-08,2.22045e-16,2.22045e-16,207.077,2.22045e-16,2.22045e-16,8.62761,0.0178217,0.691229,36.3026,2.22045e-16,2.22045e-16,All
7.75873,0.00998395,0.00623993,28.9735,2.22045e-16,2.22045e-16,5.41519e-08,2.22045e-16,2.22045e-16,207.079,2.22045e-16,2.22045e-16,9.8399,0.0151595,0.711147,36.3028,2.22045e-16,2.22045e-16,All
8.05638,0.0143459,0.00983396,28.9737,2.22045e-16,2.22045e-16,5.41526e-08,2.22045e-16,2.22045e-16,207.081,2.22045e-16,2.22045e-16,11.0522,0.013104,0.728228,36.303,2.22045e-16,2.22045e-16,All
8.35403,0.0198227,0.0148909,28.9739,2.22045e-16,2.22045e-16,5.41534e-08,2.22045e-16,2.22045e-16,207.084,2.22045e-16,2.22045e-16,12.2645,0.0114754,0.743091,36.3033,2.22045e-16,2.22045e-16,All
8.65168,0.0264354,0.0217474,28.9742,2.22045e-16,2.22045e-16,5.41541e-08,2.22045e-16,2.22045e-16,207.086,2.22045e-16,2.22045e-16,13.4768,0.0101577,0.756177,36.3035,2.22045e-16,2.22045e-16,All
8.94933,0.0341344,0.0307361,28.9744,2.22045e-16,2.22045e-16,5.41549e-08,2.22045e-16,2.22045e-16,207.089,2.22045e-16,2.22045e-16,14.6891,0.00907284,0.767813,36.3037,2.22045e-16,2.22045e-16,All
9.24699,0.0427967,0.0421636,28.9746,2.22045e-16,2.22045e-16,5.41556e-08,2.22045e-16,2.22045e-16,207.091,2.22045e-16,2.22045e-16,15.9014,0.0081666,0.778247,36.3039,2.22045e-16,2.22045e-16,All
9.54464,0.0522322,0.05629,28.9749,2.22045e-16,2.22045e-16,5.41563e-08,2.22045e-16,2.22045e-16,207.093,2.22045e-16,2.22045e-16,17.1137,0.00740005,0.78767,36.3041,2.22045e-16,2.22045e-16,All
9.84229,0.0621947,0.0733101,28.9751,2.22045e-16,2.22045e-16,5.41571e-08,2.22045e-16,2.22045e-16,207.096,2.22045e-16,2.22045e-16,18.3259,0.00674461,0.796233,36.3043,2.22045e-16,2.22045e-16,All
10.1399,0.0723986,0.0933388,28.9753,2.22045e-16,2.22045e-16,5.41578e-08,2.22045e-16,2.22045e-16,207.098,2.22045e-16,2.22045e-16,19.5382,0.00617886,0.804059,36.3045,2.22045e-16,2.22045e-16,All
10.4376,0.082538,0.116403,28.9756,2.22045e-16,2.22045e-16,5.41585e-08,2.22045e-16,2.22045e-16,207.101,2.22045e-16,2.22045e-16,20.7505,0.00568646,0.811244,36.3047,2.22045e-16,2.22045e-16,All
10.7352,0.0923066,0.142437,28.9758,2.22045e-16,2.22045e-16,5.41593e-08,2.22045e-16,2.22045e-16,207.103,2.22045e-16,2.22045e-16,21.9628,0.00525471,0.81787,36.3049,2.22045e-16,2.22045e-16,All
11.0329,0.101415,0.171288,28.976,2.22045e-16,2.22045e-16,5.416e-08,2.22045e-16,2.22045e-16,207.105,2.22045e-16,2.22045e-16,23.1751,0.00487363,0.824005,36.3051,2.22045e-16,2.22045e-16,All
11.3306,0.109609,0.202719,28.9763,2.22045e-16,2.22045e-16,5.41608e-08,2.22045e-16,2.22045e-16,207.108,2.22045e-16,2.22045e-16,24.3874,0.00453527,0.829704,36.3053,2.22045e-16,2.22045e-16,All
11.6282,0.116677,0.236427,28.9765,2.22045e-16,2.22045e-16,5.41615e-08,2.22045e-16,2.22045e-16,207.11,2.22045e-16,2.22045e-16,25.5997,0.00423322,0.835016,36.3055,2.22045e-16,2.22045e-16,All
11.9259,0.12246,0.27205,28.9767,2.22045e-16,2.22045e-16,5.41622e-08,2.22045e-16,2.22045e-16,207.112,2.22045e-16,2.22045e-16,26.812,0.00396224,0.839981,36.3057,2.22045e-16,2.22045e-16,All
12.2235,0.126856,0.30919,28.9769,2.22045e-16,2.22045e-16,5.4163e-08,2.22045e-16,2.22045e-16,207.115,2.22045e-16,2.22045e-16,28.0243,0.00371807,0.844633,36.3059,2.22045e-16,2.22045e-16,All
12.5212,0.129817,0.347425,28.9772,2.22045e-16,2.22045e-16,5.41637e-08,2.22045e-16,2.22045e-16,207.117,2.22045e-16,2.22045e-16,29.2366,0.00349713,0.849005,36.3061,2.22045e-16,2.22045e-16,All
12.8188,0.131347,0.386329,28.9774,2.22045e-16,2.22045e-16,5.41645e-08,2.22045e-16,2.22045e-16,207.12,2.22045e-16,2.22045e-16,30.4489,0.00329645,0.853121,36.3063,2.22045e-16,2.22045e-16,All
13.1165,0.131495,0.42548,28.9776,2.22045e-16,2.22045e-16,5.41652e-08,2.22045e-16,2.22045e-16,207.122,2.22045e-16,2.22045e-16,31.6612,0.00311355,0.857004,36.3065,2.22045e-16,2.22045e-16,All
13.4141,0.130348,0.46448,28.9779,2.22045e-16,2.22045e-16,5.41659e-08,2.22045e-16,2.22045e-16,207.124,2.22045e-16,2.22045e-16,32.8735,0.0029463,0.860676,36.3068,2.22045e-16,2.22045e-16,All
13.7118,0.128023,0.50296,28.9781,2.22045e-16,2.22045e-16,5.41667e-08,2.22045e-16,2.22045e-16,207.127,2.22045e-16,2.22045e-16,34.0858,0.00279291,0.864154,36.307,2.22045e-16,2.22045e-16,All
14.0094,0.124657,0.540589,28.9783,2.22045e-16,2.22045e-16,5.41674e-08,2.22045e-16,2.22045e-16,207.129,2.22045e-16,2.22045e-16,35.298,0.00265183,0.867453,36.3072,2.22045e-16,2.22045e-16,All
