Cl_pop,1,0.0041345,0.01872,-0.017047,0.011264,0.0044357,0.019438,-0.0021477,0.0032006,0.0013417,nan
V1_pop,0.0041345,1,0.09181,0.046224,0.0099233,-0.17333,0.13705,0.024056,0.097751,-0.2652,nan
Q_pop,0.01872,0.09181,1,-0.036229,0.0081307,0.00040563,0.32536,0.034124,0.0113,0.0056052,nan
V2_pop,-0.017047,0.046224,-0.036229,1,-0.0050273,-0.011292,0.0072132,-0.044489,-0.016948,-0.040215,nan
omega_Cl,0.011264,0.0099233,0.0081307,-0.0050273,1,-0.0067125,0.011825,0.0022347,0.014469,-0.042486,nan
omega_V1,0.0044357,-0.17333,0.00040563,-0.011292,-0.0067125,1,-0.095606,0.11551,-0.22324,0.21641,nan
omega_Q,0.019438,0.13705,0.32536,0.0072132,0.011825,-0.095606,1,-0.058138,-0.0036608,-0.035605,nan
omega_V2,-0.0021477,0.024056,0.034124,-0.044489,0.0022347,0.11551,-0.058138,1,-0.10175,0.10929,nan
a,0.0032006,0.097751,0.0113,-0.016948,0.014469,-0.22324,-0.0036608,-0.10175,1,-0.42072,nan
b,0.0013417,-0.2652,0.0056052,-0.040215,-0.042486,0.21641,-0.035605,0.10929,-0.42072,1,nan
c,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
