trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_log_tCLCR_abscissa,trans_Cl_vs_log_tCLCR_spline,trans_Cl_vs_log_tCLCR_regression,trans_Cl_vs_log_tWT_abscissa,trans_Cl_vs_log_tWT_spline,trans_Cl_vs_log_tWT_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_log_tCLCR_abscissa,trans_Q_vs_log_tCLCR_spline,trans_Q_vs_log_tCLCR_regression,trans_Q_vs_log_tWT_abscissa,trans_Q_vs_log_tWT_spline,trans_Q_vs_log_tWT_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_log_tCLCR_abscissa,trans_V1_vs_log_tCLCR_spline,trans_V1_vs_log_tCLCR_regression,trans_V1_vs_log_tWT_abscissa,trans_V1_vs_log_tWT_spline,trans_V1_vs_log_tWT_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_log_tCLCR_abscissa,trans_V2_vs_log_tCLCR_spline,trans_V2_vs_log_tCLCR_regression,trans_V2_vs_log_tWT_abscissa,trans_V2_vs_log_tWT_spline,trans_V2_vs_log_tWT_regression,split
101.7,2.33144,2.35113,63.697,2.45843,2.44673,-0.00260102,2.30044,2.32903,-0.106977,2.49473,2.43944,101.7,3.03782,3.17054,63.697,3.25131,3.07953,-0.00260102,3.10134,3.18196,-0.106977,3.2182,3.06848,101.7,2.65526,2.67905,63.697,2.60771,2.58118,-0.00260102,2.69152,2.69921,-0.106977,2.6068,2.5878,101.7,2.64806,2.73598,63.697,2.78495,2.74058,-0.00260102,2.68982,2.7451,-0.106977,2.80316,2.74889,All
102.333,2.34066,2.35463,64.0101,2.44422,2.45023,0.00263958,2.30824,2.33267,-0.102712,2.48236,2.44277,102.333,3.01663,3.16949,64.0101,3.26453,3.08331,0.00263958,3.08403,3.18076,-0.102712,3.22984,3.07228,102.333,2.64403,2.67579,64.0101,2.60802,2.57861,0.00263958,2.68212,2.69584,-0.102712,2.60712,2.58527,102.333,2.63434,2.73521,64.0101,2.77764,2.73782,0.00263958,2.67859,2.74421,-0.102712,2.79706,2.7461,All
102.967,2.34988,2.35812,64.3232,2.43001,2.45372,0.00788018,2.31604,2.3363,-0.0984464,2.46998,2.4461,102.967,2.99544,3.16843,64.3232,3.27776,3.08709,0.00788018,3.06671,3.17956,-0.0984464,3.24147,3.07608,102.967,2.6328,2.67253,64.3232,2.60833,2.57604,0.00788018,2.67272,2.69246,-0.0984464,2.60745,2.58275,102.967,2.62061,2.73444,64.3232,2.77033,2.73507,0.00788018,2.66735,2.74331,-0.0984464,2.79096,2.74331,All
103.6,2.3591,2.36162,64.6364,2.41581,2.45722,0.0131208,2.32384,2.33994,-0.094181,2.45761,2.44943,103.6,2.97425,3.16738,64.6364,3.29098,3.09087,0.0131208,3.04939,3.17836,-0.094181,3.2531,3.07988,103.6,2.62156,2.66927,64.6364,2.60863,2.57348,0.0131208,2.66332,2.68908,-0.094181,2.60778,2.58022,103.6,2.60689,2.73367,64.6364,2.76302,2.73231,0.0131208,2.65612,2.74242,-0.094181,2.78486,2.74052,All
104.233,2.36903,2.36512,64.9495,2.4016,2.46071,0.0183614,2.33164,2.34358,-0.0899157,2.44524,2.45276,104.233,2.96933,3.16633,64.9495,3.30421,3.09464,0.0183614,3.03207,3.17715,-0.0899157,3.26473,3.08369,104.233,2.61208,2.66602,64.9495,2.60894,2.57091,0.0183614,2.65392,2.6857,-0.0899157,2.60811,2.5777,104.233,2.60364,2.7329,64.9495,2.75571,2.72955,0.0183614,2.64489,2.74152,-0.0899157,2.77876,2.73773,All
104.867,2.38018,2.36862,65.2626,2.39973,2.46421,0.023602,2.33944,2.34722,-0.0856503,2.43286,2.45609,104.867,2.9923,3.16528,65.2626,3.29058,3.09842,0.023602,3.01475,3.17595,-0.0856503,3.27636,3.08749,104.867,2.6056,2.66276,65.2626,2.59729,2.56834,0.023602,2.64452,2.68233,-0.0856503,2.60844,2.57517,104.867,2.61834,2.73213,65.2626,2.73754,2.7268,0.023602,2.63365,2.74063,-0.0856503,2.77266,2.73495,All
105.5,2.39132,2.37212,65.5758,2.40023,2.4677,0.0288426,2.34724,2.35085,-0.0813849,2.42049,2.45942,105.5,3.01526,3.16423,65.5758,3.27178,3.1022,0.0288426,2.99744,3.17475,-0.0813849,3.28799,3.09129,105.5,2.59912,2.6595,65.5758,2.58335,2.56578,0.0288426,2.63511,2.67895,-0.0813849,2.60877,2.57264,105.5,2.63303,2.73136,65.5758,2.71727,2.72404,0.0288426,2.62242,2.73973,-0.0813849,2.76656,2.73216,All
106.133,2.40247,2.37562,65.8889,2.40074,2.47119,0.0340832,2.35504,2.35449,-0.0771195,2.40811,2.46275,106.133,3.03823,3.16317,65.8889,3.25298,3.10598,0.0340832,2.98012,3.17355,-0.0771195,3.29962,3.09509,106.133,2.59264,2.65624,65.8889,2.5694,2.56321,0.0340832,2.62571,2.67557,-0.0771195,2.60909,2.57012,106.133,2.64773,2.73059,65.8889,2.69701,2.72129,0.0340832,2.61119,2.73884,-0.0771195,2.76046,2.72937,All
106.767,2.41361,2.37912,66.202,2.40124,2.47469,0.0393238,2.36289,2.35813,-0.0728541,2.39967,2.46608,106.767,3.0612,3.16212,66.202,3.23417,3.10976,0.0393238,2.96354,3.17235,-0.0728541,3.30281,3.09889,106.767,2.58616,2.65299,66.202,2.55546,2.56064,0.0393238,2.61638,2.67219,-0.0728541,2.60544,2.56759,106.767,2.66243,2.72982,66.202,2.67675,2.71853,0.0393238,2.60043,2.73794,-0.0728541,2.7504,2.72658,All
107.4,2.42476,2.38262,66.5152,2.40174,2.47818,0.0445644,2.37302,2.36177,-0.0685888,2.40067,2.46941,107.4,3.08417,3.16107,66.5152,3.21537,3.11354,0.0445644,2.98395,3.17115,-0.0685888,3.28573,3.10269,107.4,2.57968,2.64973,66.5152,2.54151,2.55807,0.0445644,2.6104,2.66881,-0.0685888,2.59224,2.56507,107.4,2.67713,2.72905,66.5152,2.65648,2.71577,0.0445644,2.61346,2.73705,-0.0685888,2.73082,2.72379,All
