trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_log_tCLCR_abscissa,trans_Cl_vs_log_tCLCR_spline,trans_Cl_vs_log_tCLCR_regression,trans_Cl_vs_log_tWT_abscissa,trans_Cl_vs_log_tWT_spline,trans_Cl_vs_log_tWT_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_log_tCLCR_abscissa,trans_Q_vs_log_tCLCR_spline,trans_Q_vs_log_tCLCR_regression,trans_Q_vs_log_tWT_abscissa,trans_Q_vs_log_tWT_spline,trans_Q_vs_log_tWT_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_log_tCLCR_abscissa,trans_V1_vs_log_tCLCR_spline,trans_V1_vs_log_tCLCR_regression,trans_V1_vs_log_tWT_abscissa,trans_V1_vs_log_tWT_spline,trans_V1_vs_log_tWT_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_log_tCLCR_abscissa,trans_V2_vs_log_tCLCR_spline,trans_V2_vs_log_tCLCR_regression,trans_V2_vs_log_tWT_abscissa,trans_V2_vs_log_tWT_spline,trans_V2_vs_log_tWT_regression,split
120.067,2.50656,2.45259,72.7778,2.6046,2.54808,0.149376,2.42109,2.43452,0.0167187,2.62658,2.53599,120.067,3.05722,3.14002,72.7778,3.083,3.1891,0.149376,3.01478,3.14714,0.0167187,3.11306,3.17871,120.067,2.58939,2.58457,72.7778,2.47146,2.50674,0.149376,2.58144,2.60126,0.0167187,2.44738,2.51454,120.067,2.70613,2.71367,72.7778,2.6524,2.66065,0.149376,2.69763,2.71914,0.0167187,2.64077,2.66802,All
120.7,2.55493,2.45609,73.0909,2.60041,2.55157,0.154617,2.40875,2.43816,0.0209841,2.62181,2.53932,120.7,3.12731,3.13897,73.0909,3.07792,3.19288,0.154617,2.98033,3.14593,0.0209841,3.10768,3.18251,120.7,2.58143,2.58132,73.0909,2.47627,2.50417,0.154617,2.58865,2.59788,0.0209841,2.45205,2.51202,120.7,2.72788,2.7129,73.0909,2.65511,2.65789,0.154617,2.68502,2.71825,0.0209841,2.64284,2.66523,All
121.333,2.60331,2.45959,73.404,2.59623,2.55507,0.159858,2.39642,2.44179,0.0252495,2.61704,2.54265,121.333,3.1974,3.13792,73.404,3.07284,3.19665,0.159858,2.94588,3.14473,0.0252495,3.1023,3.18631,121.333,2.57346,2.57806,73.404,2.48107,2.5016,0.159858,2.59585,2.5945,0.0252495,2.45671,2.50949,121.333,2.74963,2.71213,73.404,2.65783,2.65513,0.159858,2.67241,2.71735,0.0252495,2.64491,2.66244,All
121.967,2.62097,2.46309,73.7172,2.59204,2.55856,0.165098,2.38408,2.44543,0.0295149,2.61227,2.54598,121.967,3.24564,3.13686,73.7172,3.06776,3.20043,0.165098,2.91143,3.14353,0.0295149,3.09692,3.19011,121.967,2.56932,2.5748,73.7172,2.48587,2.49903,0.165098,2.60305,2.59113,0.0295149,2.46137,2.50696,121.967,2.75826,2.71136,73.7172,2.66054,2.65238,0.165098,2.6598,2.71646,0.0295149,2.64698,2.65965,All
122.6,2.59828,2.46659,74.0303,2.58246,2.56206,0.170339,2.39756,2.44907,0.0337803,2.6075,2.54931,122.6,3.25889,3.13581,74.0303,3.06031,3.20421,0.170339,2.91565,3.14233,0.0337803,3.09154,3.19391,122.6,2.56864,2.57154,74.0303,2.491,2.49647,0.170339,2.60418,2.58775,0.0337803,2.46603,2.50444,122.6,2.74787,2.71059,74.0303,2.65942,2.64962,0.170339,2.66062,2.71556,0.0337803,2.64904,2.65686,All
123.233,2.5756,2.47009,74.3434,2.52249,2.56555,0.175579,2.44441,2.45271,0.0380456,2.60273,2.55264,123.233,3.27213,3.13476,74.3434,3.03072,3.20799,0.175579,2.96991,3.14113,0.0380456,3.08616,3.19771,123.233,2.56796,2.56829,74.3434,2.49919,2.4939,0.175579,2.59746,2.58437,0.0380456,2.4707,2.50191,123.233,2.73748,2.70982,74.3434,2.62251,2.64686,0.175579,2.67878,2.71467,0.0380456,2.65111,2.65407,All
123.867,2.55292,2.47359,74.6566,2.46253,2.56905,0.18082,2.49158,2.45634,0.042311,2.59796,2.55597,123.867,3.28538,3.13371,74.6566,3.00114,3.21177,0.18082,3.03178,3.13993,0.042311,3.08078,3.20151,123.867,2.56727,2.56503,74.6566,2.50737,2.49133,0.18082,2.5901,2.58099,0.042311,2.47536,2.49938,123.867,2.72709,2.70905,74.6566,2.58561,2.64411,0.18082,2.69841,2.71377,0.042311,2.65318,2.65128,All
124.5,2.53023,2.47708,74.9697,2.40257,2.57254,0.186061,2.53905,2.45998,0.0465764,2.59319,2.5593,124.5,3.29862,3.13265,74.9697,2.97155,3.21554,0.186061,3.10097,3.13873,0.0465764,3.0754,3.20531,124.5,2.56659,2.56177,74.9697,2.51556,2.48877,0.186061,2.58214,2.57762,0.0465764,2.48002,2.49686,124.5,2.7167,2.70828,74.9697,2.5487,2.64135,0.186061,2.71945,2.71288,0.0465764,2.65525,2.64849,All
125.133,2.50755,2.48058,75.2828,2.42858,2.57603,0.191301,2.58652,2.46362,0.0508418,2.58843,2.56263,125.133,3.31187,3.1316,75.2828,3.00465,3.21932,0.191301,3.17016,3.13753,0.0508418,3.07002,3.20912,125.133,2.56591,2.55851,75.2828,2.51589,2.4862,0.191301,2.57418,2.57424,0.0508418,2.48468,2.49433,125.133,2.70631,2.70751,75.2828,2.55729,2.6386,0.191301,2.74048,2.71198,0.0508418,2.65732,2.64571,All
125.767,2.48487,2.48408,75.596,2.4638,2.57953,0.196542,2.62417,2.46726,0.0551071,2.58366,2.56595,125.767,3.32512,3.13055,75.596,3.04446,3.2231,0.196542,3.23366,3.13633,0.0551071,3.06464,3.21292,125.767,2.56523,2.55526,75.596,2.51537,2.48363,0.196542,2.56795,2.57086,0.0551071,2.48935,2.49181,125.767,2.69592,2.70674,75.596,2.57076,2.63584,0.196542,2.75783,2.71108,0.0551071,2.65939,2.64292,All
126.4,2.46218,2.48758,75.9091,2.49903,2.58302,0.201782,2.60732,2.47089,0.0593725,2.53228,2.56928,126.4,3.33836,3.1295,75.9091,3.08427,3.22688,0.201782,3.25299,3.13513,0.0593725,3.03864,3.21672,126.4,2.56455,2.552,75.9091,2.51486,2.48107,0.201782,2.56681,2.56748,0.0593725,2.49632,2.48928,126.4,2.68553,2.70597,75.9091,2.58422,2.63308,0.201782,2.75034,2.71019,0.0593725,2.62617,2.64013,All
127.033,2.4395,2.49108,76.2222,2.53425,2.58652,0.207023,2.58394,2.47453,0.0636379,2.47523,2.57261,127.033,3.35161,3.12844,76.2222,3.12408,3.23066,0.207023,3.26669,3.13393,0.0636379,3.01013,3.22052,127.033,2.56386,2.54874,76.2222,2.51435,2.4785,0.207023,2.56615,2.5641,0.0636379,2.50357,2.48675,127.033,2.67514,2.7052,76.2222,2.59769,2.63033,0.207023,2.73975,2.70929,0.0636379,2.58866,2.63734,All
127.667,2.41682,2.49458,76.5354,2.56947,2.59001,0.212264,2.56056,2.47817,0.0679033,2.41818,2.57594,127.667,3.36485,3.12739,76.5354,3.16389,3.23444,0.212264,3.28039,3.13273,0.0679033,2.98162,3.22432,127.667,2.56318,2.54548,76.5354,2.51383,2.47593,0.212264,2.5655,2.56073,0.0679033,2.51082,2.48423,127.667,2.66475,2.70443,76.5354,2.61115,2.62757,0.212264,2.72915,2.7084,0.0679033,2.55116,2.63455,All
128.3,2.39413,2.49808,76.8485,2.60469,2.59351,0.217504,2.53717,2.48181,0.0721686,2.4304,2.57927,128.3,3.3781,3.12634,76.8485,3.2037,3.23821,0.217504,3.2941,3.13153,0.0721686,3.00503,3.22812,128.3,2.5625,2.54222,76.8485,2.51332,2.47336,0.217504,2.56485,2.55735,0.0721686,2.51246,2.4817,128.3,2.65436,2.70366,76.8485,2.62462,2.62481,0.217504,2.71856,2.7075,0.0721686,2.5521,2.63176,All
128.933,2.37145,2.50158,77.1616,2.63991,2.597,0.222745,2.51379,2.48544,0.076434,2.46639,2.5826,128.933,3.39134,3.12529,77.1616,3.24351,3.24199,0.222745,3.3078,3.13032,0.076434,3.04624,3.23192,128.933,2.56182,2.53897,77.1616,2.51281,2.4708,0.222745,2.5642,2.55397,0.076434,2.51218,2.47917,128.933,2.64397,2.7029,77.1616,2.63808,2.62206,0.222745,2.70797,2.70661,0.076434,2.56624,2.62897,All
129.567,2.36913,2.50507,77.4747,2.67513,2.6005,0.227985,2.49041,2.48908,0.0806994,2.50238,2.58593,129.567,3.36789,3.12423,77.4747,3.28333,3.24577,0.227985,3.32151,3.12912,0.0806994,3.08746,3.23572,129.567,2.55255,2.53571,77.4747,2.5123,2.46823,0.227985,2.56354,2.55059,0.0806994,2.51189,2.47665,129.567,2.6345,2.70213,77.4747,2.65154,2.6193,0.227985,2.69738,2.70571,0.0806994,2.58038,2.62618,All
130.2,2.3692,2.50857,77.7879,2.71035,2.60399,0.233226,2.46702,2.49272,0.0849648,2.53836,2.58926,130.2,3.34012,3.12318,77.7879,3.32314,3.24955,0.233226,3.33521,3.12792,0.0849648,3.12867,3.23952,130.2,2.54227,2.53245,77.7879,2.51178,2.46566,0.233226,2.56289,2.54722,0.0849648,2.51161,2.47412,130.2,2.62514,2.70136,77.7879,2.66501,2.61655,0.233226,2.68679,2.70482,0.0849648,2.59452,2.6234,All
130.833,2.36928,2.51207,78.101,2.73435,2.60749,0.238467,2.44364,2.49636,0.0892301,2.57435,2.59259,130.833,3.31235,3.12213,78.101,3.35054,3.25333,0.238467,3.34892,3.12672,0.0892301,3.16989,3.24332,130.833,2.53199,2.52919,78.101,2.51023,2.4631,0.238467,2.56224,2.54384,0.0892301,2.51133,2.4716,130.833,2.61578,2.70059,78.101,2.6732,2.61379,0.238467,2.6762,2.70392,0.0892301,2.60866,2.62061,All
131.467,2.36935,2.51557,78.4141,2.73479,2.61098,0.243707,2.42026,2.49999,0.0934955,2.61034,2.59592,131.467,3.28458,3.12108,78.4141,3.35187,3.2571,0.243707,3.36262,3.12552,0.0934955,3.21111,3.24712,131.467,2.52171,2.52594,78.4141,2.50647,2.46053,0.243707,2.56159,2.54046,0.0934955,2.51104,2.46907,131.467,2.60642,2.69982,78.4141,2.67031,2.61103,0.243707,2.66561,2.70303,0.0934955,2.6228,2.61782,All
132.1,2.36943,2.51907,78.7273,2.73522,2.61448,0.248948,2.39688,2.50363,0.0977609,2.64632,2.59925,132.1,3.25682,3.12002,78.7273,3.35321,3.26088,0.248948,3.37632,3.12432,0.0977609,3.25232,3.25093,132.1,2.51143,2.52268,78.7273,2.50272,2.45796,0.248948,2.56093,2.53708,0.0977609,2.51076,2.46654,132.1,2.59706,2.69905,78.7273,2.66743,2.60828,0.248948,2.65502,2.70213,0.0977609,2.63694,2.61503,All
132.733,2.3695,2.52257,79.0404,2.73566,2.61797,0.254188,2.37349,2.50727,0.102026,2.68231,2.60258,132.733,3.22905,3.11897,79.0404,3.35455,3.26466,0.254188,3.39003,3.12312,0.102026,3.29354,3.25473,132.733,2.50115,2.51942,79.0404,2.49897,2.4554,0.254188,2.56028,2.5337,0.102026,2.51048,2.46402,132.733,2.5877,2.69828,79.0404,2.66454,2.60552,0.254188,2.64443,2.70124,0.102026,2.65108,2.61224,All
133.367,2.36957,2.52607,79.3535,2.73609,2.62147,0.259429,2.3715,2.51091,0.106292,2.7183,2.60591,133.367,3.20128,3.11792,79.3535,3.35589,3.26844,0.259429,3.36359,3.12192,0.106292,3.33475,3.25853,133.367,2.49087,2.51616,79.3535,2.49521,2.45283,0.259429,2.54986,2.53033,0.106292,2.51019,2.46149,133.367,2.57834,2.69751,79.3535,2.66165,2.60276,0.259429,2.63383,2.70034,0.106292,2.66522,2.60945,All
134,2.36965,2.52957,79.6667,2.73652,2.62496,0.26467,2.37153,2.51455,0.110557,2.73464,2.60924,134,3.17351,3.11687,79.6667,3.35723,3.27222,0.26467,3.33336,3.12072,0.110557,3.35405,3.26233,134,2.48059,2.51291,79.6667,2.49146,2.45026,0.26467,2.53851,2.52695,0.110557,2.5078,2.45896,134,2.56898,2.69674,79.6667,2.65877,2.60001,0.26467,2.62323,2.69945,0.110557,2.66986,2.60666,All
134.633,2.36972,2.53307,79.9798,2.73696,2.62845,0.26991,2.37157,2.51818,0.114822,2.73488,2.61256,134.633,3.14574,3.11581,79.9798,3.35856,3.27599,0.26991,3.30312,3.11952,0.114822,3.35538,3.26613,134.633,2.47031,2.50965,79.9798,2.48771,2.44769,0.26991,2.52716,2.52357,0.114822,2.50367,2.45644,134.633,2.55962,2.69597,79.9798,2.65588,2.59725,0.26991,2.61264,2.69855,0.114822,2.66671,2.60387,All
135.267,2.3698,2.53656,80.2929,2.73739,2.63195,0.275151,2.3716,2.52182,0.119088,2.73511,2.61589,135.267,3.11797,3.11476,80.2929,3.3599,3.27977,0.275151,3.27288,3.11832,0.119088,3.3567,3.26993,135.267,2.46004,2.50639,80.2929,2.48395,2.44513,0.275151,2.51582,2.52019,0.119088,2.49954,2.45391,135.267,2.55025,2.6952,80.2929,2.65299,2.59449,0.275151,2.60204,2.69766,0.119088,2.66355,2.60109,All
135.9,2.36987,2.54006,80.6061,2.73783,2.63544,0.280391,2.37163,2.52546,0.123353,2.73534,2.61922,135.9,3.0902,3.11371,80.6061,3.36124,3.28355,0.280391,3.24265,3.11712,0.123353,3.35802,3.27373,135.9,2.44976,2.50313,80.6061,2.4802,2.44256,0.280391,2.50447,2.51682,0.123353,2.49542,2.45139,135.9,2.54089,2.69443,80.6061,2.6501,2.59174,0.280391,2.59144,2.69676,0.123353,2.66039,2.5983,All
136.533,2.41917,2.54356,80.9192,2.73826,2.63894,0.285632,2.37167,2.5291,0.127619,2.73558,2.62255,136.533,3.00984,3.11266,80.9192,3.36258,3.28733,0.285632,3.21241,3.11592,0.127619,3.35935,3.27753,136.533,2.45687,2.49987,80.9192,2.47645,2.43999,0.285632,2.49312,2.51344,0.127619,2.49129,2.44886,136.533,2.55444,2.69366,80.9192,2.64722,2.58898,0.285632,2.58085,2.69587,0.127619,2.65724,2.59551,All
137.167,2.47769,2.54706,81.2323,2.73869,2.64243,0.290873,2.3717,2.53273,0.131884,2.73581,2.62588,137.167,2.91962,3.11161,81.2323,3.36392,3.29111,0.290873,3.18217,3.11471,0.131884,3.36067,3.28133,137.167,2.46724,2.49662,81.2323,2.47269,2.43743,0.290873,2.48177,2.51006,0.131884,2.48716,2.44633,137.167,2.57228,2.69289,81.2323,2.64433,2.58623,0.290873,2.57025,2.69497,0.131884,2.65408,2.59272,All
137.8,2.53621,2.55056,81.5455,2.73913,2.64593,0.296113,2.37174,2.53637,0.136149,2.73605,2.62921,137.8,2.8294,3.11055,81.5455,3.36525,3.29489,0.296113,3.15194,3.11351,0.136149,3.36199,3.28513,137.8,2.47761,2.49336,81.5455,2.46894,2.43486,0.296113,2.47043,2.50668,0.136149,2.48304,2.44381,137.8,2.59013,2.69212,81.5455,2.64144,2.58347,0.296113,2.55965,2.69408,0.136149,2.65093,2.58993,All
138.433,2.56768,2.55406,81.8586,2.73956,2.64942,0.301354,2.37177,2.54001,0.140415,2.73628,2.63254,138.433,2.93763,3.1095,81.8586,3.36659,3.29866,0.301354,3.1217,3.11231,0.140415,3.36332,3.28893,138.433,2.49393,2.4901,81.8586,2.46519,2.43229,0.301354,2.45908,2.5033,0.140415,2.47891,2.44128,138.433,2.68175,2.69135,81.8586,2.63856,2.58071,0.301354,2.54906,2.69318,0.140415,2.64777,2.58714,All
139.067,2.54753,2.55756,82.1717,2.74,2.65292,0.306595,2.3718,2.54365,0.14468,2.73652,2.63587,139.067,3.29043,3.10845,82.1717,3.36793,3.30244,0.306595,3.09146,3.11111,0.14468,3.36464,3.29273,139.067,2.5046,2.48684,82.1717,2.46143,2.42973,0.306595,2.44773,2.49993,0.14468,2.47478,2.43876,139.067,2.83843,2.69059,82.1717,2.63567,2.57796,0.306595,2.53846,2.69229,0.14468,2.64462,2.58435,All
139.7,2.5553,2.56106,82.4848,2.74043,2.65641,0.311835,2.42649,2.54728,0.148945,2.73675,2.6392,139.7,3.27468,3.1074,82.4848,3.36927,3.30622,0.311835,3.00051,3.10991,0.148945,3.36596,3.29654,139.7,2.49957,2.48359,82.4848,2.45768,2.42716,0.311835,2.45622,2.49655,0.148945,2.47066,2.43623,139.7,2.80914,2.68982,82.4848,2.63278,2.5752,0.311835,2.55436,2.69139,0.148945,2.64146,2.58156,All
140.333,2.56307,2.56455,82.798,2.74087,2.65991,0.317076,2.49236,2.55092,0.153211,2.73699,2.64253,140.333,3.25893,3.10634,82.798,3.37061,3.31,0.317076,2.89714,3.10871,0.153211,3.36729,3.30034,140.333,2.49453,2.48033,82.798,2.45393,2.42459,0.317076,2.46878,2.49317,0.153211,2.46653,2.4337,140.333,2.77986,2.68905,82.798,2.6299,2.57244,0.317076,2.57568,2.6905,0.153211,2.63831,2.57878,All
140.967,2.57083,2.56805,83.1111,2.7413,2.6634,0.322316,2.55169,2.55456,0.157476,2.73722,2.64586,140.967,3.24318,3.10529,83.1111,3.37194,3.31378,0.322316,2.84331,3.10751,0.157476,3.36861,3.30414,140.967,2.4895,2.47707,83.1111,2.45017,2.42203,0.322316,2.48263,2.48979,0.157476,2.4624,2.43118,140.967,2.75057,2.68828,83.1111,2.62701,2.56969,0.322316,2.61514,2.6896,0.157476,2.63515,2.57599,All
141.6,2.5786,2.57155,83.4242,2.74173,2.6669,0.327557,2.58175,2.5582,0.161742,2.73745,2.64919,141.6,3.22743,3.10424,83.4242,3.37328,3.31755,0.327557,3.01108,3.10631,0.161742,3.36993,3.30794,141.6,2.48447,2.47381,83.4242,2.44642,2.41946,0.327557,2.50228,2.48642,0.161742,2.45828,2.42865,141.6,2.72129,2.68751,83.4242,2.62412,2.56693,0.327557,2.7357,2.68871,0.161742,2.632,2.5732,All
142.233,2.58637,2.57505,83.7374,2.74217,2.67039,0.332798,2.55391,2.56183,0.166007,2.73769,2.65252,142.233,3.21168,3.10319,83.7374,3.37462,3.32133,0.332798,3.27875,3.10511,0.166007,3.37126,3.31174,142.233,2.47944,2.47056,83.7374,2.44267,2.41689,0.332798,2.50033,2.48304,0.166007,2.45415,2.42612,142.233,2.692,2.68674,83.7374,2.62124,2.56418,0.332798,2.81701,2.68781,0.166007,2.62884,2.57041,All
142.867,2.59413,2.57855,84.0505,2.7426,2.67389,0.338038,2.56275,2.56547,0.170272,2.73792,2.65585,142.867,3.19593,3.10213,84.0505,3.37596,3.32511,0.338038,3.26035,3.10391,0.170272,3.37258,3.31554,142.867,2.4744,2.4673,84.0505,2.43891,2.41432,0.338038,2.49466,2.47966,0.170272,2.45002,2.4236,142.867,2.66272,2.68597,84.0505,2.61835,2.56142,0.338038,2.7829,2.68691,0.170272,2.62569,2.56762,All
143.5,2.6019,2.58205,84.3636,2.74304,2.67738,0.343279,2.57158,2.56911,0.174538,2.73816,2.65918,143.5,3.18018,3.10108,84.3636,3.3773,3.32889,0.343279,3.24194,3.10271,0.174538,3.3739,3.31934,143.5,2.46937,2.46404,84.3636,2.43516,2.41176,0.343279,2.48899,2.47628,0.174538,2.4459,2.42107,143.5,2.63343,2.6852,84.3636,2.61546,2.55866,0.343279,2.74878,2.68602,0.174538,2.62253,2.56483,All
144.133,2.60622,2.58555,84.6768,2.74347,2.68087,0.348519,2.58042,2.57275,0.178803,2.73839,2.6625,144.133,3.17215,3.10003,84.6768,3.37863,3.33267,0.348519,3.22353,3.10151,0.178803,3.37523,3.32314,144.133,2.46642,2.46078,84.6768,2.43141,2.40919,0.348519,2.48331,2.47291,0.178803,2.44177,2.41855,144.133,2.62775,2.68443,84.6768,2.61257,2.55591,0.348519,2.71467,2.68512,0.178803,2.61937,2.56204,All
144.767,2.60894,2.58905,84.9899,2.7439,2.68437,0.35376,2.58926,2.57638,0.183068,2.73863,2.66583,144.767,3.16768,3.09898,84.9899,3.37997,3.33644,0.35376,3.20512,3.1003,0.183068,3.37655,3.32694,144.767,2.46443,2.45752,84.9899,2.42765,2.40662,0.35376,2.47764,2.46953,0.183068,2.43764,2.41602,144.767,2.63296,2.68366,84.9899,2.60969,2.55315,0.35376,2.68056,2.68423,0.183068,2.61622,2.55925,All
145.4,2.61167,2.59254,85.303,2.74434,2.68786,0.359001,2.59809,2.58002,0.187334,2.73886,2.66916,145.4,3.16321,3.09792,85.303,3.38131,3.34022,0.359001,3.18671,3.0991,0.187334,3.37787,3.33074,145.4,2.46245,2.45427,85.303,2.4239,2.40406,0.359001,2.47197,2.46615,0.187334,2.43352,2.41349,145.4,2.63817,2.68289,85.303,2.6068,2.55039,0.359001,2.64645,2.68333,0.187334,2.61306,2.55647,All
146.033,2.61439,2.59604,85.6162,2.74477,2.69136,0.364241,2.60508,2.58366,0.191599,2.73909,2.67249,146.033,3.15875,3.09687,85.6162,3.38265,3.344,0.364241,3.17246,3.0979,0.191599,3.3792,3.33454,146.033,2.46046,2.45101,85.6162,2.42015,2.40149,0.364241,2.46741,2.46277,0.191599,2.42939,2.41097,146.033,2.64338,2.68212,85.6162,2.60391,2.54764,0.364241,2.62537,2.68244,0.191599,2.60991,2.55368,All
146.667,2.61711,2.59954,85.9293,2.74521,2.69485,0.369482,2.60817,2.5873,0.195865,2.73933,2.67582,146.667,3.15428,3.09582,85.9293,3.38399,3.34778,0.369482,3.16698,3.0967,0.195865,3.38052,3.33835,146.667,2.45847,2.44775,85.9293,2.41639,2.39892,0.369482,2.46522,2.45939,0.195865,2.42526,2.40844,146.667,2.6486,2.68135,85.9293,2.60103,2.54488,0.369482,2.63182,2.68154,0.195865,2.60675,2.55089,All
147.3,2.61984,2.60304,86.2424,2.74564,2.69835,0.374722,2.61126,2.59093,0.20013,2.73956,2.67915,147.3,3.14981,3.09477,86.2424,3.38532,3.35156,0.374722,3.16151,3.0955,0.20013,3.38184,3.34215,147.3,2.45649,2.44449,86.2424,2.41264,2.39636,0.374722,2.46302,2.45602,0.20013,2.42114,2.40591,147.3,2.65381,2.68058,86.2424,2.59814,2.54212,0.374722,2.63828,2.68065,0.20013,2.6036,2.5481,All
147.933,2.62256,2.60654,86.5556,2.74607,2.70184,0.379963,2.61435,2.59457,0.204395,2.7398,2.68248,147.933,3.14535,3.09371,86.5556,3.38666,3.35534,0.379963,3.15603,3.0943,0.204395,3.38317,3.34595,147.933,2.4545,2.44124,86.5556,2.40889,2.39379,0.379963,2.46083,2.45264,0.204395,2.41701,2.40339,147.933,2.65902,2.67981,86.5556,2.59525,2.53937,0.379963,2.64474,2.67975,0.204395,2.60044,2.54531,All
148.567,2.62528,2.61004,86.8687,2.74651,2.70534,0.385204,2.61744,2.59821,0.208661,2.74003,2.68581,148.567,3.14088,3.09266,86.8687,3.388,3.35911,0.385204,3.15056,3.0931,0.208661,3.38449,3.34975,148.567,2.45251,2.43798,86.8687,2.40513,2.39122,0.385204,2.45863,2.44926,0.208661,2.41288,2.40086,148.567,2.66423,2.67904,86.8687,2.59237,2.53661,0.385204,2.6512,2.67886,0.208661,2.59729,2.54252,All
149.2,2.62801,2.61354,87.1818,2.74694,2.70883,0.390444,2.62053,2.60185,0.212926,2.74027,2.68914,149.2,3.13642,3.09161,87.1818,3.38934,3.36289,0.390444,3.14508,3.0919,0.212926,3.38581,3.35355,149.2,2.45053,2.43472,87.1818,2.40138,2.38865,0.390444,2.45644,2.44588,0.212926,2.40876,2.39834,149.2,2.66944,2.67827,87.1818,2.58948,2.53386,0.390444,2.65765,2.67796,0.212926,2.59413,2.53973,All
149.833,2.63073,2.61704,87.4949,2.74738,2.71233,0.395685,2.62362,2.60549,0.217191,2.7405,2.69247,149.833,3.13195,3.09056,87.4949,3.39068,3.36667,0.395685,3.1396,3.0907,0.217191,3.38714,3.35735,149.833,2.44854,2.43146,87.4949,2.39763,2.38609,0.395685,2.45424,2.44251,0.217191,2.40463,2.39581,149.833,2.67465,2.67751,87.4949,2.58659,2.5311,0.395685,2.66411,2.67707,0.217191,2.59098,2.53694,All
150.467,2.63345,2.62054,87.8081,2.74781,2.71582,0.400925,2.62671,2.60912,0.221457,2.74074,2.6958,150.467,3.12748,3.08951,87.8081,3.39201,3.37045,0.400925,3.13413,3.0895,0.221457,3.38846,3.36115,150.467,2.44655,2.4282,87.8081,2.39387,2.38352,0.400925,2.45204,2.43913,0.221457,2.4005,2.39328,150.467,2.67986,2.67674,87.8081,2.58371,2.52834,0.400925,2.67057,2.67617,0.221457,2.58782,2.53416,All
151.1,2.63618,2.62403,88.1212,2.74824,2.71932,0.406166,2.6298,2.61276,0.225722,2.74097,2.69913,151.1,3.12302,3.08845,88.1212,3.39335,3.37423,0.406166,3.12865,3.0883,0.225722,3.38978,3.36495,151.1,2.44456,2.42495,88.1212,2.39012,2.38095,0.406166,2.44985,2.43575,0.225722,2.39638,2.39076,151.1,2.68508,2.67597,88.1212,2.58082,2.52559,0.406166,2.67702,2.67528,0.225722,2.58466,2.53137,All
151.733,2.6389,2.62753,88.4343,2.74868,2.72281,0.411407,2.63289,2.6164,0.229988,2.7412,2.70246,151.733,3.11855,3.0874,88.4343,3.39469,3.378,0.411407,3.12318,3.0871,0.229988,3.39111,3.36875,151.733,2.44258,2.42169,88.4343,2.38637,2.37839,0.411407,2.44765,2.43237,0.229988,2.39225,2.38823,151.733,2.69029,2.6752,88.4343,2.57793,2.52283,0.411407,2.68348,2.67438,0.229988,2.58151,2.52858,All
152.367,2.64163,2.63103,88.7475,2.74911,2.72631,0.416647,2.63598,2.62004,0.234253,2.74144,2.70579,152.367,3.11408,3.08635,88.7475,3.39603,3.38178,0.416647,3.1177,3.0859,0.234253,3.39243,3.37255,152.367,2.44059,2.41843,88.7475,2.38261,2.37582,0.416647,2.44546,2.42899,0.234253,2.38812,2.38571,152.367,2.6955,2.67443,88.7475,2.57505,2.52007,0.416647,2.68994,2.67349,0.234253,2.57835,2.52579,All
153,2.64435,2.63453,89.0606,2.74955,2.7298,0.421888,2.63907,2.62367,0.238518,2.74167,2.70911,153,3.10962,3.0853,89.0606,3.39737,3.38556,0.421888,3.11223,3.08469,0.238518,3.39375,3.37635,153,2.4386,2.41517,89.0606,2.37886,2.37325,0.421888,2.44326,2.42562,0.238518,2.384,2.38318,153,2.70071,2.67366,89.0606,2.57216,2.51732,0.421888,2.6964,2.67259,0.238518,2.5752,2.523,All
153.633,2.64707,2.63803,89.3737,2.74998,2.73329,0.427128,2.64216,2.62731,0.242784,2.74191,2.71244,153.633,3.10515,3.08424,89.3737,3.3987,3.38934,0.427128,3.10675,3.08349,0.242784,3.39508,3.38016,153.633,2.43662,2.41192,89.3737,2.37511,2.37069,0.427128,2.44107,2.42224,0.242784,2.37987,2.38065,153.633,2.70592,2.67289,89.3737,2.56927,2.51456,0.427128,2.70285,2.6717,0.242784,2.57204,2.52021,All
