parameter,value
Cl_pop,13.4823713621973
beta_Cl_logtIMCKGM2,-0.154097935885761
V1_pop,23.6248715112122
beta_V1_logtCLCRMLMIN,-1.40084349854277
beta_V1_logtPROGDL,-0.528853889567592
Q_pop,23.4
beta_Q_LMP_1,0.849723087415735
beta_Q_logtAGEA,1.31180799817721
beta_Q_logtALBGDL,17.2748011451747
beta_Q_logtPROGDL,-16.8128530804093
V2_pop,3.7524179362155
beta_V2_SEXF_1,3.99026319269875
beta_V2_logtHCM,29.7173456439197
omega_Cl,0.263980127724032
omega_V1,0.139445973916205
omega_Q,2.05207276320294e-8
omega_V2,7.19133207116873e-8
a,1.46010408736465
b,0.0390266307877587
