trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,13.7408,16.6345,0.481481,13.7408,16.6345,0.26,3.80372,3.03247,0.481481,3.80372,3.03247,0.26,3.27965,3.13444,0.481481,3.27965,3.13444,0.26,3.39502,2.72551,0.481481,3.39502,2.72551,All
0.267677,13.8676,16.5649,0.495698,13.8676,16.5649,0.267677,3.7166,3.03694,0.495698,3.7166,3.03694,0.267677,3.28034,3.13555,0.495698,3.28034,3.13555,0.267677,3.29906,2.71912,0.495698,3.29906,2.71912,All
0.275354,13.9944,16.4953,0.509914,13.9944,16.4953,0.275354,3.62948,3.04141,0.509914,3.62948,3.04141,0.275354,3.28103,3.13666,0.509914,3.28103,3.13666,0.275354,3.20311,2.71274,0.509914,3.20311,2.71274,All
0.28303,14.1212,16.4257,0.52413,14.1212,16.4257,0.28303,3.54235,3.04588,0.52413,3.54235,3.04588,0.28303,3.28172,3.13777,0.52413,3.28172,3.13777,0.28303,3.10715,2.70636,0.52413,3.10715,2.70636,All
0.290707,14.2479,16.356,0.538346,14.2479,16.356,0.290707,3.45523,3.05035,0.538346,3.45523,3.05035,0.290707,3.28241,3.13888,0.538346,3.28241,3.13888,0.290707,3.0112,2.69998,0.538346,3.0112,2.69998,All
0.298384,14.3747,16.2864,0.552563,14.3747,16.2864,0.298384,3.36811,3.05482,0.552563,3.36811,3.05482,0.298384,3.2831,3.13999,0.552563,3.2831,3.13999,0.298384,2.91524,2.6936,0.552563,2.91524,2.6936,All
0.306061,14.5015,16.2168,0.566779,14.5015,16.2168,0.306061,3.28098,3.05929,0.566779,3.28098,3.05929,0.306061,3.28379,3.1411,0.566779,3.28379,3.1411,0.306061,2.81929,2.68722,0.566779,2.81929,2.68722,All
0.313737,14.6283,16.1472,0.580995,14.6283,16.1472,0.313737,3.19386,3.06376,0.580995,3.19386,3.06376,0.313737,3.28448,3.14221,0.580995,3.28448,3.14221,0.313737,2.72333,2.68083,0.580995,2.72333,2.68083,All
0.321414,14.755,16.0776,0.595211,14.755,16.0776,0.321414,3.10674,3.06823,0.595211,3.10674,3.06823,0.321414,3.28517,3.14332,0.595211,3.28517,3.14332,0.321414,2.62738,2.67445,0.595211,2.62738,2.67445,All
0.329091,14.8818,16.008,0.609428,14.8818,16.008,0.329091,3.01961,3.0727,0.609428,3.01961,3.0727,0.329091,3.28586,3.14443,0.609428,3.28586,3.14443,0.329091,2.53142,2.66807,0.609428,2.53142,2.66807,All
