iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0.259513,1.01171,0.263295,0.888378
2,460.025,1,13.3991,24.3443,13.1438,1.57483,0.0416799,-0.326532,0.252942,0.986093,0.256628,0.939151
3,458.507,1,13.4627,24.2137,13.7633,1.57478,0.039792,-0.326497,0.246537,0.993939,0.250725,0.915371
4,455.059,1,13.4087,24.3658,14.9714,1.50453,0.0394841,-0.322384,0.241932,0.968772,0.282601,0.90694
5,453.325,1,13.2192,24.4775,13.7446,1.46751,0.0412524,-0.33905,0.239195,0.944242,0.284748,0.919296
6,446.845,1,13.3349,24.2281,12.5839,1.4675,0.0393748,-0.341279,0.235341,0.920334,0.277538,0.9024
7,448.815,1,13.3897,24.5228,12.2139,1.51322,0.0366826,-0.349275,0.244051,0.911598,0.270511,0.892555
8,446.11,1,13.5055,24.4029,13.0221,1.51316,0.0352188,-0.350939,0.245533,0.913887,0.27018,0.882705
9,452.397,1,13.3524,24.5211,12.7575,1.5001,0.0403455,-0.335622,0.242868,0.890746,0.292554,0.860355
10,457.702,1,13.3565,24.7265,11.9381,1.45895,0.0444891,-0.331587,0.240624,0.955574,0.285146,0.860345
11,462.057,1,13.2671,24.9701,12.2443,1.45899,0.046127,-0.365485,0.242086,1.05183,0.277926,0.858717
12,463.156,1,13.3141,25.1515,12.471,1.36301,0.0510435,-0.344988,0.241686,1.02519,0.282714,0.93131
13,474.995,1,13.3897,25.1395,11.3138,1.47782,0.0537432,-0.31713,0.250289,1.03209,0.275555,0.907729
14,470.252,1,13.5243,25.2676,13.0316,1.47781,0.0532244,-0.335524,0.2467,1.00596,0.276121,0.884745
15,468.25,1,13.366,25.8123,11.8964,1.39704,0.056469,-0.333663,0.240454,0.980488,0.274924,0.937266
16,470.471,1,13.4554,26.0532,12.5794,1.32192,0.0569699,-0.352274,0.234365,0.979359,0.288846,1.03256
17,472.34,1,13.394,26.0056,12.818,1.41967,0.0512699,-0.337452,0.229549,1.01071,0.294652,1.07832
18,471.521,1,13.4177,26.2967,12.4323,1.41968,0.051529,-0.338536,0.228255,0.986361,0.287192,1.13213
19,480.042,1,13.4062,26.3313,11.4057,1.39442,0.057702,-0.3292,0.223441,1.05494,0.27992,1.13869
20,478.511,1,13.4893,25.9273,11.2392,1.39439,0.0585183,-0.351881,0.239012,1.09642,0.272832,1.10986
21,473.938,1,13.4579,25.7012,12.119,1.44157,0.0519158,-0.344648,0.247427,1.06866,0.265924,1.09942
22,471.984,1,13.3889,24.9545,13.4981,1.35572,0.053369,-0.325013,0.248198,1.07977,0.25919,1.2331
23,487.1,1,13.3617,25.4638,13.9306,1.4753,0.0577028,-0.342257,0.241913,1.14074,0.252628,1.20188
24,487.297,1,13.4295,25.074,13.4541,1.3652,0.0617192,-0.341647,0.235788,1.22057,0.248392,1.19626
25,488.148,1,13.5223,25.4393,13.3557,1.43864,0.0598505,-0.362807,0.240256,1.22178,0.242103,1.17806
26,487.323,1,13.485,25.2493,13.1312,1.3407,0.0639524,-0.320218,0.236067,1.25034,0.235973,1.30809
27,478.445,1,13.5911,25.2591,13.0657,1.36971,0.0578389,-0.347236,0.240036,1.21868,0.229998,1.33872
28,481.848,1,13.4467,25.2193,12.424,1.35186,0.0615192,-0.349546,0.233958,1.18783,0.224174,1.30482
29,491.306,1,13.4802,25.2959,12.3463,1.53027,0.0586287,-0.356334,0.23711,1.16503,0.224492,1.27178
30,481.96,1,13.4605,25.1198,12.9006,1.53017,0.054894,-0.323656,0.236526,1.13554,0.218808,1.23996
31,477.126,1,13.435,24.9281,13.0492,1.47089,0.0542793,-0.328856,0.24619,1.10678,0.222262,1.22235
32,482.111,1,13.1917,24.4798,11.3524,1.43742,0.0586405,-0.323791,0.239957,1.07876,0.218127,1.20526
33,472.334,1,13.4909,24.7083,11.0921,1.4811,0.0527221,-0.351121,0.244919,1.05144,0.216194,1.17475
34,463.906,1,13.4674,24.2103,11.3041,1.40518,0.0540429,-0.353334,0.238717,1.02482,0.227561,1.145
35,476.008,1,13.5446,23.978,12.3238,1.56324,0.0528893,-0.338991,0.245216,1.03814,0.221799,1.11601
36,473.906,1,13.4032,23.9161,11.4984,1.56319,0.0499602,-0.338304,0.239007,1.08974,0.230754,1.08775
37,465.308,1,13.4986,23.9531,11.5276,1.48503,0.0474622,-0.338997,0.240758,1.06215,0.224911,1.06021
