trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_log_tCLCRMLMIN_abscissa,trans_Cl_vs_log_tCLCRMLMIN_spline,trans_Cl_vs_log_tCLCRMLMIN_regression,trans_V_vs_CLCRMLMIN_abscissa,trans_V_vs_CLCRMLMIN_spline,trans_V_vs_CLCRMLMIN_regression,trans_V_vs_log_tCLCRMLMIN_abscissa,trans_V_vs_log_tCLCRMLMIN_spline,trans_V_vs_log_tCLCRMLMIN_regression,split
99.8,2.4589,2.52187,1.77344,2.4184,2.49411,99.8,3.61284,3.63084,1.77344,3.6754,3.66577,All
100.433,2.47332,2.5255,1.77868,2.43047,2.49797,100.433,3.5898,3.6267,1.77868,3.65627,3.6613,All
101.067,2.48775,2.52913,1.78392,2.44254,2.50184,101.067,3.56675,3.62257,1.78392,3.63714,3.65682,All
101.7,2.50217,2.53275,1.78916,2.45461,2.5057,101.7,3.54371,3.61843,1.78916,3.61801,3.65235,All
102.333,2.5166,2.53638,1.7944,2.46668,2.50956,102.333,3.52067,3.61429,1.7944,3.59888,3.64787,All
102.967,2.53102,2.54001,1.79964,2.47875,2.51343,102.967,3.49763,3.61016,1.79964,3.57975,3.6434,All
103.6,2.54545,2.54363,1.80488,2.49082,2.51729,103.6,3.47458,3.60602,1.80488,3.56063,3.63892,All
104.233,2.56106,2.54726,1.81012,2.50289,2.52115,104.233,3.4631,3.60188,1.81012,3.5415,3.63445,All
104.867,2.57871,2.55089,1.81536,2.51496,2.52502,104.867,3.47142,3.59775,1.81536,3.52237,3.62997,All
105.5,2.59636,2.55451,1.8206,2.52703,2.52888,105.5,3.47974,3.59361,1.8206,3.50324,3.6255,All
106.133,2.61401,2.55814,1.82584,2.5391,2.53274,106.133,3.48806,3.58947,1.82584,3.48411,3.62102,All
106.767,2.63166,2.56177,1.83108,2.55125,2.5366,106.767,3.49639,3.58533,1.83108,3.4655,3.61655,All
107.4,2.64931,2.56539,1.83632,2.5672,2.54047,107.4,3.50471,3.5812,1.83632,3.4726,3.61207,All
108.033,2.66696,2.56902,1.84156,2.58316,2.54433,108.033,3.51303,3.57706,1.84156,3.47971,3.6076,All
108.667,2.68461,2.57265,1.84681,2.59912,2.54819,108.667,3.52135,3.57292,1.84681,3.48681,3.60312,All
109.3,2.70226,2.57627,1.85205,2.61508,2.55206,109.3,3.52967,3.56879,1.85205,3.49392,3.59865,All
109.933,2.71991,2.5799,1.85729,2.63103,2.55592,109.933,3.538,3.56465,1.85729,3.50102,3.59417,All
110.567,2.73756,2.58353,1.86253,2.64699,2.55978,110.567,3.54632,3.56051,1.86253,3.50813,3.5897,All
111.2,2.75521,2.58715,1.86777,2.66295,2.56365,111.2,3.55464,3.55638,1.86777,3.51523,3.58522,All
111.833,2.77286,2.59078,1.87301,2.67891,2.56751,111.833,3.56296,3.55224,1.87301,3.52234,3.58075,All
112.467,2.75738,2.59441,1.87825,2.69487,2.57137,112.467,3.55748,3.5481,1.87825,3.52944,3.57627,All
113.1,2.73007,2.59803,1.88349,2.71082,2.57524,113.1,3.54707,3.54397,1.88349,3.53655,3.5718,All
113.733,2.70275,2.60166,1.88873,2.72678,2.5791,113.733,3.53665,3.53983,1.88873,3.54365,3.56732,All
114.367,2.67544,2.60529,1.89397,2.74274,2.58296,114.367,3.52624,3.53569,1.89397,3.55076,3.56285,All
115,2.64813,2.60891,1.89921,2.7587,2.58683,115,3.51582,3.53155,1.89921,3.55786,3.55837,All
115.633,2.62081,2.61254,1.90445,2.77465,2.59069,115.633,3.50541,3.52742,1.90445,3.56497,3.5539,All
116.267,2.5935,2.61617,1.90969,2.75393,2.59455,116.267,3.495,3.52328,1.90969,3.55699,3.54942,All
116.9,2.56619,2.61979,1.91493,2.72814,2.59841,116.9,3.48458,3.51914,1.91493,3.54692,3.54495,All
117.533,2.53887,2.62342,1.92017,2.70235,2.60228,117.533,3.47417,3.51501,1.92017,3.53685,3.54047,All
118.167,2.51156,2.62705,1.92541,2.67656,2.60614,118.167,3.46376,3.51087,1.92541,3.52678,3.536,All
118.8,2.56646,2.63067,1.93065,2.65077,2.61,118.8,3.46262,3.50673,1.93065,3.51672,3.53152,All
119.433,2.6433,2.6343,1.9359,2.62498,2.61387,119.433,3.46395,3.5026,1.9359,3.50665,3.52705,All
120.067,2.72479,2.63792,1.94114,2.59919,2.61773,120.067,3.46865,3.49846,1.94114,3.49658,3.52257,All
120.7,2.80684,2.64155,1.94638,2.5734,2.62159,120.7,3.47376,3.49432,1.94638,3.48651,3.5181,All
121.333,2.88889,2.64518,1.95162,2.54761,2.62546,121.333,3.47886,3.49019,1.95162,3.47645,3.51362,All
121.967,2.91965,2.6488,1.95686,2.52182,2.62932,121.967,3.4815,3.48605,1.95686,3.46638,3.50915,All
122.6,2.88182,2.65243,1.9621,2.54111,2.63318,122.6,3.47685,3.48191,1.9621,3.46116,3.50467,All
123.233,2.844,2.65606,1.96734,2.6187,2.63705,123.233,3.4722,3.47778,1.96734,3.46221,3.5002,All
123.867,2.80617,2.65968,1.97258,2.6977,2.64091,123.867,3.46755,3.47364,1.97258,3.46513,3.49572,All
124.5,2.76835,2.66331,1.97782,2.77806,2.64477,124.5,3.4629,3.4695,1.97782,3.46982,3.49125,All
125.133,2.73052,2.66694,1.98306,2.85842,2.64864,125.133,3.45825,3.46536,1.98306,3.47451,3.48677,All
125.767,2.6927,2.67056,1.9883,2.92272,2.6525,125.767,3.4536,3.46123,1.9883,3.47946,3.4823,All
126.4,2.65488,2.67419,1.99354,2.89496,2.65636,126.4,3.44896,3.45709,1.99354,3.47593,3.47782,All
127.033,2.61705,2.67782,1.99878,2.8561,2.66023,127.033,3.44431,3.45295,1.99878,3.47112,3.47335,All
127.667,2.57923,2.68144,2.00402,2.81723,2.66409,127.667,3.43966,3.44882,2.00402,3.46631,3.46887,All
128.3,2.5414,2.68507,2.00926,2.77836,2.66795,128.3,3.43501,3.44468,2.00926,3.46151,3.46439,All
128.933,2.50358,2.6887,2.0145,2.7395,2.67181,128.933,3.43036,3.44054,2.0145,3.4567,3.45992,All
129.567,2.49546,2.69232,2.01974,2.70063,2.67568,129.567,3.40723,3.43641,2.01974,3.4519,3.45544,All
130.2,2.49084,2.69595,2.02499,2.66176,2.67954,130.2,3.38192,3.43227,2.02499,3.44709,3.45097,All
130.833,2.48621,2.69958,2.03023,2.62289,2.6834,130.833,3.35661,3.42813,2.03023,3.44228,3.44649,All
131.467,2.48159,2.7032,2.03547,2.58403,2.68727,131.467,3.3313,3.424,2.03547,3.43748,3.44202,All
132.1,2.47697,2.70683,2.04071,2.54516,2.69113,132.1,3.30599,3.41986,2.04071,3.43267,3.43754,All
132.733,2.47234,2.71046,2.04595,2.50629,2.69499,132.733,3.28068,3.41572,2.04595,3.42786,3.43307,All
133.367,2.46772,2.71408,2.05119,2.49818,2.69886,133.367,3.25537,3.41158,2.05119,3.40201,3.42859,All
134,2.4631,2.71771,2.05643,2.49299,2.70272,134,3.23006,3.40745,2.05643,3.37415,3.42412,All
134.633,2.45848,2.72134,2.06167,2.4878,2.70658,134.633,3.20475,3.40331,2.06167,3.3463,3.41964,All
135.267,2.45385,2.72496,2.06691,2.48261,2.71045,135.267,3.17944,3.39917,2.06691,3.31845,3.41517,All
135.9,2.44923,2.72859,2.07215,2.47741,2.71431,135.9,3.15413,3.39504,2.07215,3.29059,3.41069,All
136.533,2.53087,2.73222,2.07739,2.47222,2.71817,136.533,3.14318,3.3909,2.07739,3.26274,3.40622,All
137.167,2.62868,2.73584,2.08263,2.46703,2.72204,137.167,3.13494,3.38676,2.08263,3.23489,3.40174,All
137.8,2.7265,2.73947,2.08787,2.46183,2.7259,137.8,3.12669,3.38263,2.08787,3.20704,3.39727,All
138.433,2.77059,2.7431,2.09311,2.45664,2.72976,138.433,3.29763,3.37849,2.09311,3.17918,3.39279,All
139.067,2.71549,2.74672,2.09835,2.45145,2.73362,139.067,3.64716,3.37435,2.09835,3.15133,3.38832,All
139.7,2.71745,2.75035,2.10359,2.54243,2.73749,139.7,3.59395,3.37022,2.10359,3.1393,3.38384,All
140.333,2.7194,2.75398,2.10884,2.6531,2.74135,140.333,3.54074,3.36608,2.10884,3.1305,3.37937,All
140.967,2.72136,2.7576,2.11408,2.75061,2.74521,140.967,3.48753,3.36194,2.11408,3.16612,3.37489,All
141.6,2.72331,2.76123,2.11932,2.78927,2.74908,141.6,3.43432,3.3578,2.11932,3.40041,3.37042,All
142.233,2.72527,2.76485,2.12456,2.71874,2.75294,142.233,3.38111,3.35367,2.12456,3.60859,3.36594,All
142.867,2.72722,2.76848,2.1298,2.7208,2.7568,142.867,3.3279,3.34953,2.1298,3.54658,3.36147,All
143.5,2.72918,2.77211,2.13504,2.72286,2.76067,143.5,3.27469,3.34539,2.13504,3.48458,3.35699,All
144.133,2.73607,2.77573,2.14028,2.72492,2.76453,144.133,3.26433,3.34126,2.14028,3.42257,3.35252,All
144.767,2.74524,2.77936,2.14552,2.72698,2.76839,144.767,3.27376,3.33712,2.14552,3.36056,3.34804,All
145.4,2.7544,2.78299,2.15076,2.72904,2.77226,145.4,3.28318,3.33298,2.15076,3.29855,3.34357,All
146.033,2.76357,2.78661,2.156,2.734,2.77612,146.033,3.2926,3.32885,2.156,3.26028,3.33909,All
146.667,2.77274,2.79024,2.16124,2.74508,2.77998,146.667,3.30202,3.32471,2.16124,3.27217,3.33462,All
147.3,2.78191,2.79387,2.16648,2.75615,2.78385,147.3,3.31144,3.32057,2.16648,3.28406,3.33014,All
147.933,2.79108,2.79749,2.17172,2.76723,2.78771,147.933,3.32087,3.31644,2.17172,3.29595,3.32567,All
148.567,2.80025,2.80112,2.17696,2.7783,2.79157,148.567,3.33029,3.3123,2.17696,3.30784,3.32119,All
149.2,2.80942,2.80475,2.1822,2.78938,2.79544,149.2,3.33971,3.30816,2.1822,3.31972,3.31672,All
149.833,2.81859,2.80837,2.18744,2.80046,2.7993,149.833,3.34913,3.30403,2.18744,3.33161,3.31224,All
150.467,2.82775,2.812,2.19268,2.81153,2.80316,150.467,3.35855,3.29989,2.19268,3.3435,3.30777,All
151.1,2.83692,2.81563,2.19793,2.82261,2.80702,151.1,3.36798,3.29575,2.19793,3.35539,3.30329,All
151.733,2.84609,2.81925,2.20317,2.83368,2.81089,151.733,3.3774,3.29161,2.20317,3.36727,3.29882,All
152.367,2.85526,2.82288,2.20841,2.84476,2.81475,152.367,3.38682,3.28748,2.20841,3.37916,3.29434,All
153,2.86443,2.82651,2.21365,2.85584,2.81861,153,3.39624,3.28334,2.21365,3.39105,3.28987,All
153.633,2.8736,2.83013,2.21889,2.86691,2.82248,153.633,3.40566,3.2792,2.21889,3.40294,3.28539,All
154.267,2.88277,2.83376,2.22413,2.87799,2.82634,154.267,3.41508,3.27507,2.22413,3.41482,3.28092,All
154.9,2.89194,2.83739,2.22937,2.88906,2.8302,154.9,3.42451,3.27093,2.22937,3.42671,3.27644,All
