trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_logtSCRMGDL_abscissa,trans_Cl_vs_logtSCRMGDL_spline,trans_Cl_vs_logtSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_logtSCRMGDL_abscissa,trans_Q_vs_logtSCRMGDL_spline,trans_Q_vs_logtSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_logtSCRMGDL_abscissa,trans_V1_vs_logtSCRMGDL_spline,trans_V1_vs_logtSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_logtSCRMGDL_abscissa,trans_V2_vs_logtSCRMGDL_spline,trans_V2_vs_logtSCRMGDL_regression,split
0.336768,2.69915,2.7652,-0.592819,2.65306,2.79063,0.336768,2.78596,3.13372,-0.592819,3.32498,3.26999,0.336768,3.30068,3.13492,-0.592819,3.32211,3.17878,0.336768,2.47529,2.69812,-0.592819,2.93488,2.91517,All
0.344444,2.7092,2.75943,-0.579012,2.65797,2.78609,0.344444,2.68035,3.13562,-0.579012,3.26624,3.26798,0.344444,3.30061,3.13686,-0.579012,3.32175,3.17904,0.344444,2.39086,2.69166,-0.579012,2.88645,2.9055,All
0.352121,2.71849,2.75366,-0.565206,2.66288,2.78154,0.352121,2.62014,3.13752,-0.565206,3.20751,3.26596,0.352121,3.29559,3.13881,-0.565206,3.32139,3.1793,0.352121,2.34697,2.6852,-0.565206,2.83801,2.89584,All
0.359798,2.72578,2.7479,-0.551399,2.66779,2.777,0.359798,2.67887,3.13942,-0.551399,3.14877,3.26394,0.359798,3.27762,3.14075,-0.551399,3.32103,3.17956,0.359798,2.40923,2.67874,-0.551399,2.78958,2.88617,All
0.367475,2.73308,2.74213,-0.537592,2.6727,2.77246,0.367475,2.7376,3.14132,-0.537592,3.09004,3.26193,0.367475,3.25965,3.1427,-0.537592,3.32067,3.17982,0.367475,2.4715,2.67228,-0.537592,2.74114,2.8765,All
0.375152,2.74038,2.73636,-0.523785,2.67761,2.76792,0.375152,2.79633,3.14322,-0.523785,3.03131,3.25991,0.375152,3.24168,3.14464,-0.523785,3.32031,3.18008,0.375152,2.53377,2.66582,-0.523785,2.69271,2.86684,All
0.382828,2.74768,2.73059,-0.509978,2.68252,2.76337,0.382828,2.85506,3.14511,-0.509978,2.97257,3.2579,0.382828,3.22371,3.14659,-0.509978,3.31995,3.18034,0.382828,2.59603,2.65936,-0.509978,2.64427,2.85717,All
0.390505,2.75497,2.72483,-0.496171,2.68743,2.75883,0.390505,2.91379,3.14701,-0.496171,2.91384,3.25588,0.390505,3.20574,3.14854,-0.496171,3.31959,3.1806,0.390505,2.6583,2.65291,-0.496171,2.59584,2.84751,All
0.398182,2.76227,2.71906,-0.482365,2.69234,2.75429,0.398182,2.97252,3.14891,-0.482365,2.8551,3.25386,0.398182,3.18777,3.15048,-0.482365,3.31923,3.18086,0.398182,2.72056,2.64645,-0.482365,2.5474,2.83784,All
0.405859,2.76957,2.71329,-0.468558,2.69725,2.74974,0.405859,3.03125,3.15081,-0.468558,2.79637,3.25185,0.405859,3.1698,3.15243,-0.468558,3.31887,3.18112,0.405859,2.78283,2.63999,-0.468558,2.49897,2.82818,All
