Created by:,MLEM,
Model Description:, 2COMPCL.FOR - 2 compart., CL param. - linear variance,
LognormalPopulationOption,
Iteration,    'CLt                  ', 'Vc                   ', 'CLd                  ', 'Vp                   ', 'CLt/CLt              ', 'Vc/CLt               ', 'Vc/Vc                ', 'CLd/CLt              ', 'CLd/Vc               ', 'CLd/CLd              ', 'Vp/CLt               ', 'Vp/Vc                ', 'Vp/CLd               ', 'Vp/Vp                ', 'SDinter              ', 'SDslope              ', '-2LogLikelihood      ',
10,             12.0156    ,             21.1150    ,             5.88396    ,             19.9396    ,            0.250000E-02,             0.00000    ,            0.625000E-03,             0.00000    ,             0.00000    ,            0.100000E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625000E-03,             2.09072    ,            0.248748    ,             642.101    ,
11,             12.0517    ,             21.1588    ,             5.92480    ,             19.9360    ,            0.250000E-02,             0.00000    ,            0.625000E-03,             0.00000    ,             0.00000    ,            0.100000E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625000E-03,             2.11143    ,            0.247387    ,             641.623    ,
12,             12.0846    ,             21.2031    ,             5.96623    ,             19.9324    ,            0.250000E-02,             0.00000    ,            0.625000E-03,             0.00000    ,             0.00000    ,            0.100000E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625000E-03,             2.13136    ,            0.246059    ,             641.165    ,
13,             12.1150    ,             21.2476    ,             6.00813    ,             19.9288    ,            0.250000E-02,             0.00000    ,            0.625000E-03,             0.00000    ,             0.00000    ,            0.100000E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625000E-03,             2.14997    ,            0.244768    ,             640.719    ,
14,             12.1429    ,             21.2923    ,             6.05053    ,             19.9252    ,            0.250000E-02,             0.00000    ,            0.625000E-03,             0.00000    ,             0.00000    ,            0.100000E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625000E-03,             2.16796    ,            0.243481    ,             640.283    ,
15,             12.1690    ,             21.3371    ,             6.09341    ,             19.9215    ,            0.250000E-02,             0.00000    ,            0.625000E-03,             0.00000    ,             0.00000    ,            0.100000E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625000E-03,             2.18431    ,            0.242236    ,             639.857    ,
16,             12.1932    ,             21.3822    ,             6.13664    ,             19.9178    ,            0.369733E-02,             0.00000    ,            0.631844E-03,             0.00000    ,             0.00000    ,            0.103417E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.624933E-03,             2.20050    ,            0.241010    ,             639.437    ,
17,             12.2406    ,             21.4264    ,             6.17883    ,             19.9142    ,            0.580331E-02,             0.00000    ,            0.637326E-03,             0.00000    ,             0.00000    ,            0.106487E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.624925E-03,             2.00263    ,            0.241274    ,             635.905    ,
18,             12.3226    ,             21.4705    ,             6.22046    ,             19.9102    ,            0.100608E-01,             0.00000    ,            0.641771E-03,             0.00000    ,             0.00000    ,            0.109393E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.624936E-03,             1.66937    ,            0.242606    ,             630.361    ,
19,             12.4655    ,             21.5150    ,             6.26122    ,             19.9058    ,            0.188252E-01,             0.00000    ,            0.644612E-03,             0.00000    ,             0.00000    ,            0.112072E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.624800E-03,             1.26702    ,            0.241985    ,             621.315    ,
20,             12.6479    ,             21.5628    ,             6.30369    ,             19.9005    ,            0.331067E-01,             0.00000    ,            0.645883E-03,             0.00000    ,             0.00000    ,            0.114639E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.624825E-03,            0.939435    ,            0.238015    ,             609.637    ,
21,             12.7449    ,             21.6163    ,             6.35163    ,             19.8938    ,            0.458100E-01,             0.00000    ,            0.646008E-03,             0.00000    ,             0.00000    ,            0.117500E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.624891E-03,            0.768273    ,            0.234599    ,             601.472    ,
22,             12.7587    ,             21.6730    ,             6.40342    ,             19.8861    ,            0.514758E-01,             0.00000    ,            0.645977E-03,             0.00000    ,             0.00000    ,            0.120872E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625205E-03,            0.697280    ,            0.233292    ,             598.856    ,
23,             12.7641    ,             21.7306    ,             6.45736    ,             19.8779    ,            0.532126E-01,             0.00000    ,            0.645905E-03,             0.00000    ,             0.00000    ,            0.124596E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625501E-03,            0.672306    ,            0.232473    ,             598.042    ,
24,             12.7749    ,             21.7882    ,             6.51304    ,             19.8694    ,            0.537354E-01,             0.00000    ,            0.645860E-03,             0.00000    ,             0.00000    ,            0.128567E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625715E-03,            0.666724    ,            0.231583    ,             597.475    ,
25,             12.7894    ,             21.8456    ,             6.57044    ,             19.8608    ,            0.539919E-01,             0.00000    ,            0.645928E-03,             0.00000    ,             0.00000    ,            0.132849E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.625933E-03,            0.667957    ,            0.230632    ,             596.937    ,
26,             12.8060    ,             21.9027    ,             6.63029    ,             19.8520    ,            0.541054E-01,             0.00000    ,            0.645783E-03,             0.00000    ,             0.00000    ,            0.137605E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.626029E-03,            0.672778    ,            0.229511    ,             596.402    ,
27,             12.8242    ,             21.9595    ,             6.69200    ,             19.8432    ,            0.542124E-01,             0.00000    ,            0.645760E-03,             0.00000    ,             0.00000    ,            0.142567E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.626524E-03,            0.678550    ,            0.228344    ,             595.878    ,
28,             12.8403    ,             22.0159    ,             6.75635    ,             19.8345    ,            0.543213E-01,             0.00000    ,            0.645918E-03,             0.00000    ,             0.00000    ,            0.147893E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.627026E-03,            0.685197    ,            0.227230    ,             595.334    ,
29,             12.8588    ,             22.0722    ,             6.82304    ,             19.8257    ,            0.543921E-01,             0.00000    ,            0.646219E-03,             0.00000    ,             0.00000    ,            0.153578E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.627291E-03,            0.691419    ,            0.226080    ,             594.806    ,
30,             12.8759    ,             22.1280    ,             6.89261    ,             19.8167    ,            0.544952E-01,             0.00000    ,            0.646401E-03,             0.00000    ,             0.00000    ,            0.159761E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.627467E-03,            0.698311    ,            0.224923    ,             594.265    ,
31,             12.8932    ,             22.1835    ,             6.96494    ,             19.8077    ,            0.546068E-01,             0.00000    ,            0.646687E-03,             0.00000    ,             0.00000    ,            0.166477E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.627749E-03,            0.705226    ,            0.223781    ,             593.727    ,
32,             12.9119    ,             22.2387    ,             7.04053    ,             19.7986    ,            0.547002E-01,             0.00000    ,            0.647203E-03,             0.00000    ,             0.00000    ,            0.173839E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.628003E-03,            0.711828    ,            0.222590    ,             593.190    ,
33,             12.9300    ,             22.2934    ,             7.11999    ,             19.7894    ,            0.548364E-01,             0.00000    ,            0.647354E-03,             0.00000    ,             0.00000    ,            0.181853E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.628093E-03,            0.718351    ,            0.221426    ,             592.647    ,
34,             12.9475    ,             22.3476    ,             7.20320    ,             19.7801    ,            0.549429E-01,             0.00000    ,            0.647711E-03,             0.00000    ,             0.00000    ,            0.190555E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.628395E-03,            0.725250    ,            0.220272    ,             592.097    ,
35,             12.9663    ,             22.4014    ,             7.29079    ,             19.7709    ,            0.550937E-01,             0.00000    ,            0.648117E-03,             0.00000    ,             0.00000    ,            0.200129E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.628716E-03,            0.732095    ,            0.219066    ,             591.549    ,
36,             12.9842    ,             22.4546    ,             7.38261    ,             19.7615    ,            0.552334E-01,             0.00000    ,            0.648685E-03,             0.00000    ,             0.00000    ,            0.210703E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.628973E-03,            0.739698    ,            0.217851    ,             590.990    ,
37,             13.0044    ,             22.5074    ,             7.47963    ,             19.7521    ,            0.552980E-01,             0.00000    ,            0.649323E-03,             0.00000    ,             0.00000    ,            0.222324E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.629215E-03,            0.746255    ,            0.216641    ,             590.441    ,
38,             13.0233    ,             22.5596    ,             7.58257    ,             19.7425    ,            0.554017E-01,             0.00000    ,            0.649917E-03,             0.00000    ,             0.00000    ,            0.235331E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.629575E-03,            0.753816    ,            0.215393    ,             589.876    ,
39,             13.0428    ,             22.6112    ,             7.69128    ,             19.7328    ,            0.555306E-01,             0.00000    ,            0.650822E-03,             0.00000    ,             0.00000    ,            0.249841E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.629884E-03,            0.761247    ,            0.214138    ,             589.304    ,
40,             13.0621    ,             22.6622    ,             7.80716    ,             19.7232    ,            0.556558E-01,             0.00000    ,            0.651716E-03,             0.00000    ,             0.00000    ,            0.266117E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.630145E-03,            0.768892    ,            0.212847    ,             588.722    ,
41,             13.0826    ,             22.7125    ,             7.93061    ,             19.7134    ,            0.557906E-01,             0.00000    ,            0.652526E-03,             0.00000    ,             0.00000    ,            0.284580E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.630502E-03,            0.776185    ,            0.211548    ,             588.135    ,
42,             13.1023    ,             22.7620    ,             8.06325    ,             19.7035    ,            0.559350E-01,             0.00000    ,            0.653635E-03,             0.00000    ,             0.00000    ,            0.305502E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.631025E-03,            0.784374    ,            0.210219    ,             587.533    ,
43,             13.1239    ,             22.8107    ,             8.20558    ,             19.6935    ,            0.560832E-01,             0.00000    ,            0.654537E-03,             0.00000    ,             0.00000    ,            0.329693E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.631509E-03,            0.792304    ,            0.208810    ,             586.923    ,
44,             13.1450    ,             22.8586    ,             8.35904    ,             19.6834    ,            0.562296E-01,             0.00000    ,            0.655807E-03,             0.00000    ,             0.00000    ,            0.357669E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.632130E-03,            0.800851    ,            0.207358    ,             586.288    ,
45,             13.1672    ,             22.9055    ,             8.52562    ,             19.6732    ,            0.563554E-01,             0.00000    ,            0.656785E-03,             0.00000    ,             0.00000    ,            0.390249E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.632547E-03,            0.809302    ,            0.205872    ,             585.640    ,
46,             13.1896    ,             22.9515    ,             8.70725    ,             19.6631    ,            0.565134E-01,             0.00000    ,            0.657984E-03,             0.00000    ,             0.00000    ,            0.428883E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.632892E-03,            0.818652    ,            0.204273    ,             584.965    ,
47,             13.2129    ,             22.9963    ,             8.90567    ,             19.6528    ,            0.566742E-01,             0.00000    ,            0.659418E-03,             0.00000    ,             0.00000    ,            0.475117E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.633357E-03,            0.828285    ,            0.202595    ,             584.261    ,
48,             13.2354    ,             23.0397    ,             9.12482    ,             19.6422    ,            0.568137E-01,             0.00000    ,            0.661075E-03,             0.00000    ,             0.00000    ,            0.531182E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.633855E-03,            0.838923    ,            0.200857    ,             583.514    ,
49,             13.2623    ,             23.0820    ,             9.36746    ,             19.6318    ,            0.569937E-01,             0.00000    ,            0.662711E-03,             0.00000    ,             0.00000    ,            0.600509E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.634489E-03,            0.849072    ,            0.198837    ,             582.742    ,
50,             13.2876    ,             23.1227    ,             9.63880    ,             19.6212    ,            0.571777E-01,             0.00000    ,            0.664452E-03,             0.00000    ,             0.00000    ,            0.688183E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.635028E-03,            0.861230    ,            0.196648    ,             581.898    ,
51,             13.3150    ,             23.1619    ,             9.94515    ,             19.6107    ,            0.573857E-01,             0.00000    ,            0.666060E-03,             0.00000    ,             0.00000    ,            0.801292E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.635650E-03,            0.874219    ,            0.194179    ,             580.985    ,
52,             13.3430    ,             23.1992    ,             10.2927    ,             19.6000    ,            0.575949E-01,             0.00000    ,            0.668432E-03,             0.00000    ,             0.00000    ,            0.951005E-01,             0.00000    ,             0.00000    ,             0.00000    ,            0.636439E-03,            0.889245    ,            0.191347    ,             579.973    ,
53,             13.3717    ,             23.2344    ,             10.6917    ,             19.5895    ,            0.578336E-01,             0.00000    ,            0.670639E-03,             0.00000    ,             0.00000    ,            0.115652    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.637033E-03,            0.906032    ,            0.188061    ,             578.825    ,
54,             13.4015    ,             23.2676    ,             11.1473    ,             19.5792    ,            0.581029E-01,             0.00000    ,            0.672783E-03,             0.00000    ,             0.00000    ,            0.144891    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.637727E-03,            0.926328    ,            0.183999    ,             577.496    ,
55,             13.4312    ,             23.2983    ,             11.6745    ,             19.5691    ,            0.583903E-01,             0.00000    ,            0.675479E-03,             0.00000    ,             0.00000    ,            0.188199    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.638898E-03,            0.951011    ,            0.178955    ,             575.918    ,
56,             13.4589    ,             23.3265    ,             12.2751    ,             19.5598    ,            0.586746E-01,             0.00000    ,            0.677831E-03,             0.00000    ,             0.00000    ,            0.255265    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.639891E-03,            0.981098    ,            0.172594    ,             573.958    ,
57,             13.4812    ,             23.3518    ,             12.9179    ,             19.5517    ,            0.591622E-01,             0.00000    ,            0.680143E-03,             0.00000    ,             0.00000    ,            0.363693    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.640073E-03,             1.01711    ,            0.164583    ,             571.472    ,
58,             13.4984    ,             23.3753    ,             13.5796    ,             19.5448    ,            0.596307E-01,             0.00000    ,            0.684009E-03,             0.00000    ,             0.00000    ,            0.536710    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.643532E-03,             1.05796    ,            0.154548    ,             568.449    ,
59,             13.4970    ,             23.3949    ,             14.0738    ,             19.5433    ,            0.602357E-01,             0.00000    ,            0.684105E-03,             0.00000    ,             0.00000    ,            0.810898    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.651252E-03,             1.09925    ,            0.143701    ,             564.680    ,
60,             13.4834    ,             23.4200    ,             14.4387    ,             19.5378    ,            0.610307E-01,             0.00000    ,            0.691816E-03,             0.00000    ,             0.00000    ,             1.18004    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.653808E-03,             1.13867    ,            0.132513    ,             561.021    ,
61,             13.4588    ,             23.4329    ,             14.9708    ,             19.5388    ,            0.623348E-01,             0.00000    ,            0.702666E-03,             0.00000    ,             0.00000    ,             1.59091    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.654829E-03,             1.17435    ,            0.124643    ,             557.701    ,
62,             13.4622    ,             23.4485    ,             13.8141    ,             19.5337    ,            0.623552E-01,             0.00000    ,            0.694272E-03,             0.00000    ,             0.00000    ,             2.07035    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.642616E-03,             1.19307    ,            0.118605    ,             554.591    ,
63,             13.4026    ,             23.4780    ,             13.3885    ,             19.5301    ,            0.642535E-01,             0.00000    ,            0.700275E-03,             0.00000    ,             0.00000    ,             2.44284    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.648060E-03,             1.19427    ,            0.113043    ,             554.039    ,
64,             13.4242    ,             23.5250    ,             13.5795    ,             19.5389    ,            0.652061E-01,             0.00000    ,            0.708324E-03,             0.00000    ,             0.00000    ,             2.85317    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645251E-03,             1.20705    ,            0.111299    ,             552.353    ,
65,             13.3897    ,             23.5518    ,             12.7787    ,             19.5381    ,            0.652064E-01,             0.00000    ,            0.736574E-03,             0.00000    ,             0.00000    ,             3.08236    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.659395E-03,             1.18064    ,            0.109924    ,             552.815    ,
66,             13.3795    ,             23.5926    ,             12.2903    ,             19.5442    ,            0.653174E-01,             0.00000    ,            0.749847E-03,             0.00000    ,             0.00000    ,             3.20168    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.653189E-03,             1.16362    ,            0.109563    ,             552.647    ,
67,             13.3758    ,             23.6364    ,             11.8744    ,             19.5478    ,            0.656367E-01,             0.00000    ,            0.769358E-03,             0.00000    ,             0.00000    ,             3.29676    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.660561E-03,             1.15067    ,            0.110034    ,             552.359    ,
68,             13.3845    ,             23.6739    ,             12.2904    ,             19.5455    ,            0.658708E-01,             0.00000    ,            0.780354E-03,             0.00000    ,             0.00000    ,             3.43971    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.659950E-03,             1.14219    ,            0.109308    ,             551.778    ,
69,             13.3941    ,             23.7152    ,             11.8410    ,             19.5469    ,            0.661823E-01,             0.00000    ,            0.811122E-03,             0.00000    ,             0.00000    ,             3.57856    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.659363E-03,             1.14133    ,            0.109574    ,             551.568    ,
70,             13.3730    ,             23.7560    ,             12.0219    ,             19.5517    ,            0.660204E-01,             0.00000    ,            0.825537E-03,             0.00000    ,             0.00000    ,             3.79329    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.654438E-03,             1.12247    ,            0.110216    ,             551.105    ,
71,             13.3605    ,             23.8136    ,             11.0221    ,             19.5587    ,            0.655189E-01,             0.00000    ,            0.847271E-03,             0.00000    ,             0.00000    ,             3.65313    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.660983E-03,             1.09652    ,            0.111770    ,             551.534    ,
72,             13.3498    ,             23.8538    ,             10.7059    ,             19.5620    ,            0.654133E-01,             0.00000    ,            0.893452E-03,             0.00000    ,             0.00000    ,             3.57705    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.664985E-03,             1.08507    ,            0.112259    ,             551.419    ,
73,             13.3803    ,             23.9199    ,             11.8185    ,             19.5615    ,            0.658663E-01,             0.00000    ,            0.907834E-03,             0.00000    ,             0.00000    ,             3.84466    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.658166E-03,             1.09348    ,            0.110542    ,             550.383    ,
74,             13.3705    ,             23.9737    ,             10.8603    ,             19.5671    ,            0.657517E-01,             0.00000    ,            0.936349E-03,             0.00000    ,             0.00000    ,             3.72462    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.659154E-03,             1.09814    ,            0.109609    ,             551.177    ,
75,             13.3866    ,             24.0312    ,             10.5983    ,             19.5733    ,            0.662099E-01,             0.00000    ,            0.959414E-03,             0.00000    ,             0.00000    ,             3.74010    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.658083E-03,             1.12113    ,            0.108325    ,             550.730    ,
76,             13.3829    ,             24.0916    ,             10.6102    ,             19.5820    ,            0.656427E-01,             0.00000    ,            0.100034E-02,             0.00000    ,             0.00000    ,             3.66698    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.664489E-03,             1.11683    ,            0.108114    ,             550.884    ,
77,             13.3812    ,             24.1482    ,             10.5246    ,             19.5877    ,            0.655164E-01,             0.00000    ,            0.103935E-02,             0.00000    ,             0.00000    ,             3.66771    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.666381E-03,             1.11926    ,            0.107686    ,             550.566    ,
78,             13.3796    ,             24.2018    ,             11.2304    ,             19.5867    ,            0.653731E-01,             0.00000    ,            0.107009E-02,             0.00000    ,             0.00000    ,             3.56942    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.669214E-03,             1.13443    ,            0.108100    ,             549.865    ,
79,             13.3887    ,             24.2525    ,             10.6736    ,             19.5894    ,            0.655310E-01,             0.00000    ,            0.112707E-02,             0.00000    ,             0.00000    ,             3.56077    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.672768E-03,             1.14575    ,            0.106518    ,             550.138    ,
80,             13.4016    ,             24.3108    ,             10.2556    ,             19.5948    ,            0.654577E-01,             0.00000    ,            0.118630E-02,             0.00000    ,             0.00000    ,             3.76087    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.670690E-03,             1.13185    ,            0.106150    ,             549.836    ,
81,             13.4000    ,             24.3777    ,             10.2053    ,             19.5973    ,            0.656783E-01,             0.00000    ,            0.124001E-02,             0.00000    ,             0.00000    ,             3.76782    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.670388E-03,             1.12345    ,            0.106070    ,             549.601    ,
82,             13.4011    ,             24.4477    ,             9.99105    ,             19.6008    ,            0.654525E-01,             0.00000    ,            0.131753E-02,             0.00000    ,             0.00000    ,             3.80951    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.675105E-03,             1.12272    ,            0.105618    ,             549.466    ,
83,             13.3894    ,             24.5063    ,             8.93540    ,             19.6087    ,            0.661238E-01,             0.00000    ,            0.139603E-02,             0.00000    ,             0.00000    ,             4.40017    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.685782E-03,             1.11307    ,            0.105351    ,             548.491    ,
84,             13.4014    ,             24.5860    ,             9.48156    ,             19.6125    ,            0.655118E-01,             0.00000    ,            0.147475E-02,             0.00000    ,             0.00000    ,             4.15736    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.693091E-03,             1.10947    ,            0.105567    ,             548.901    ,
85,             13.4058    ,             24.6706    ,             9.56983    ,             19.6148    ,            0.652402E-01,             0.00000    ,            0.159607E-02,             0.00000    ,             0.00000    ,             4.06998    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.691028E-03,             1.10607    ,            0.105360    ,             548.369    ,
86,             13.4093    ,             24.7632    ,             9.03921    ,             19.6191    ,            0.650832E-01,             0.00000    ,            0.171905E-02,             0.00000    ,             0.00000    ,             3.97589    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.696805E-03,             1.12081    ,            0.104197    ,             548.154    ,
87,             13.4429    ,             24.8310    ,             9.47874    ,             19.6194    ,            0.665158E-01,             0.00000    ,            0.190645E-02,             0.00000    ,             0.00000    ,             4.22929    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.687522E-03,             1.06746    ,            0.106938    ,             547.178    ,
88,             13.4299    ,             24.9174    ,             9.05324    ,             19.6294    ,            0.660717E-01,             0.00000    ,            0.205980E-02,             0.00000    ,             0.00000    ,             4.04588    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.690010E-03,             1.08900    ,            0.104645    ,             547.802    ,
89,             13.4211    ,             25.0072    ,             8.99712    ,             19.6363    ,            0.651376E-01,             0.00000    ,            0.225016E-02,             0.00000    ,             0.00000    ,             3.97973    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.692416E-03,             1.10606    ,            0.102850    ,             547.528    ,
90,             13.4286    ,             25.1124    ,             8.75608    ,             19.6450    ,            0.649867E-01,             0.00000    ,            0.248181E-02,             0.00000    ,             0.00000    ,             3.85464    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.699017E-03,             1.11873    ,            0.101439    ,             547.291    ,
91,             13.4401    ,             25.2093    ,             8.58904    ,             19.6552    ,            0.648697E-01,             0.00000    ,            0.276090E-02,             0.00000    ,             0.00000    ,             4.06834    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.700919E-03,             1.11948    ,            0.100820    ,             546.433    ,
92,             13.4401    ,             25.3265    ,             8.29534    ,             19.6637    ,            0.646179E-01,             0.00000    ,            0.310975E-02,             0.00000    ,             0.00000    ,             3.97504    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.707234E-03,             1.13268    ,            0.989844E-01,             546.341    ,
93,             13.4487    ,             25.4333    ,             8.40125    ,             19.6704    ,            0.645006E-01,             0.00000    ,            0.352156E-02,             0.00000    ,             0.00000    ,             4.01295    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.710880E-03,             1.14447    ,            0.975699E-01,             545.536    ,
94,             13.4570    ,             25.5711    ,             7.94483    ,             19.6809    ,            0.644121E-01,             0.00000    ,            0.406780E-02,             0.00000    ,             0.00000    ,             4.06916    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.714879E-03,             1.15700    ,            0.953395E-01,             545.154    ,
