iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,beta_V1_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0,0.259513,1.01171,0.263295,0.888378
2,458.415,1,20.4068,24.3523,13.1438,1.57483,0.0416799,-0.403837,0.0472992,0.252942,0.986093,0.256628,0.939151
3,456.551,1,20.587,24.2034,13.7633,1.57477,0.0397767,-0.407511,-0.0776623,0.246537,0.993939,0.250578,0.915371
4,455.886,1,20.1237,24.2064,15.043,1.51175,0.0408961,-0.388747,-0.383338,0.240295,0.968772,0.279282,0.903445
5,452.54,1,20.2639,24.2029,13.696,1.43595,0.0444315,-0.407785,-0.447765,0.23421,0.944242,0.272211,0.884548
6,443.844,1,20.4985,24.08,12.7833,1.43591,0.0423737,-0.414459,-0.39379,0.22828,0.920334,0.27054,0.862151
7,448.008,1,20.8138,24.1126,12.106,1.46606,0.0402241,-0.421291,-0.147413,0.225709,0.930187,0.266113,0.874041
8,446.59,1,20.7355,24.4828,12.5319,1.49876,0.0374284,-0.412371,0.0147445,0.228041,0.931597,0.260361,0.891754
9,449.859,1,20.8572,24.6104,12.5398,1.48125,0.0402809,-0.421771,-0.275304,0.226363,0.908008,0.290275,0.869175
10,456.518,1,20.5346,24.3837,12.2647,1.53542,0.040378,-0.408158,-0.0153473,0.228164,0.936877,0.282925,0.883804
11,458.33,1,20.9815,24.8767,12.1796,1.53546,0.0419276,-0.431265,-0.0801627,0.228363,0.974904,0.275761,0.875477
12,456.941,1,20.7245,24.8436,12.5395,1.46518,0.0450564,-0.421161,0.0884162,0.226105,0.950218,0.27833,0.912702
13,469.778,1,20.5047,25.0029,11.605,1.50008,0.0508053,-0.404213,-0.0340159,0.235574,0.992573,0.287182,0.889592
14,469.952,1,20.852,24.5814,12.6289,1.57544,0.0483061,-0.411443,0.0711596,0.229609,1.00462,0.279911,0.867067
15,475.582,1,20.6588,25.1135,12.6251,1.46899,0.0547825,-0.414701,-0.124511,0.230416,0.979183,0.282818,0.985032
16,473.408,1,20.695,25.2064,12.5409,1.46893,0.0538527,-0.416934,-0.230102,0.224582,0.95439,0.286114,1.02595
17,467.568,1,20.3443,25.4084,12.3577,1.40965,0.0525861,-0.407435,-0.472955,0.226352,0.973965,0.280063,0.999974
18,466.687,1,20.821,25.9734,11.9554,1.53611,0.0474035,-0.421888,-0.383045,0.22062,0.949304,0.28269,0.976841
19,461.588,1,20.8376,26.323,12.6735,1.43753,0.048553,-0.422252,-0.170976,0.222514,0.960864,0.275532,0.963016
20,458.19,1,20.7086,25.4261,12.4008,1.40403,0.0458169,-0.416916,-0.190936,0.229146,1.09193,0.268555,0.954376
21,453.955,1,20.834,26.013,12.5736,1.40399,0.0451351,-0.41534,-0.226694,0.23662,1.06428,0.261755,0.976339
22,459.847,1,20.3972,25.714,12.5899,1.40404,0.0482737,-0.401414,-0.307597,0.230629,1.07548,0.255128,0.966897
23,465.564,1,21.1069,25.724,13.2562,1.40113,0.0520274,-0.437334,-0.258536,0.22493,1.04825,0.254483,1.01476
24,462.686,1,20.9421,25.8019,13.4356,1.40109,0.0512064,-0.424148,-0.237018,0.220781,1.06189,0.251748,0.989068
25,463.857,1,20.8378,25.183,13.5687,1.42483,0.0514888,-0.418554,-0.123354,0.220795,1.06909,0.25017,0.964024
26,459.491,1,20.4252,24.6064,14.2035,1.39489,0.0485225,-0.40393,-0.395903,0.222706,1.06786,0.245579,0.996012
27,459.334,1,21.1215,24.6593,13.997,1.45958,0.045744,-0.437413,-0.369252,0.224617,1.04082,0.239361,1.05267
28,459.053,1,21.089,25.0416,12.9916,1.45898,0.0472486,-0.434027,-0.555105,0.218929,1.01524,0.2333,1.04713
29,469.717,1,21.5664,24.944,11.75,1.59622,0.0452736,-0.447844,-0.569295,0.227662,1.04501,0.227393,1.09795
30,467.015,1,20.4282,24.8556,11.6774,1.53055,0.0465855,-0.39561,-0.633691,0.228917,1.01855,0.224966,1.1264
31,459.955,1,20.3748,24.8069,12.6637,1.46717,0.0487117,-0.402094,-0.665147,0.227191,0.992764,0.229326,1.09788
32,464.68,1,20.3251,24.119,12.117,1.52411,0.0456309,-0.40533,-0.515552,0.221439,0.974696,0.235177,1.1037
33,463.474,1,20.8772,23.9815,11.7839,1.56588,0.0427502,-0.418364,-0.36572,0.2207,0.95613,0.236993,1.1137
34,452.071,1,20.5365,23.7283,12.2632,1.56585,0.0399111,-0.403584,-0.407997,0.229291,0.93192,0.231824,1.0855
35,458.117,1,20.7866,24.0059,11.9321,1.5658,0.0391194,-0.419376,-0.39686,0.225352,1.04721,0.232392,1.05802
36,457.025,1,19.8337,23.6228,11.576,1.56576,0.0363379,-0.387702,-0.398384,0.219646,1.13824,0.24513,1.03123
37,448.273,1,20.2835,23.9359,12.9315,1.52665,0.0349853,-0.401225,-0.261542,0.217234,1.10942,0.238923,1.00512
38,453.687,1,19.8416,24.4263,13.6996,1.59428,0.0365451,-0.38856,-0.142342,0.215204,1.08133,0.251391,0.979667
39,454.416,1,20.3966,24.244,14.4579,1.5335,0.0422045,-0.406367,-0.0465644,0.222416,1.05395,0.246811,0.954861
40,460.753,1,20.6619,23.8988,13.5555,1.53353,0.0443758,-0.410971,-0.093365,0.230076,1.05768,0.253481,0.930683
41,467.288,1,20.1962,23.8085,13.1654,1.6635,0.0381903,-0.384851,-0.139641,0.229332,1.08927,0.274781,0.907118
42,453.418,1,20.741,23.8361,12.6866,1.55146,0.0410584,-0.416252,-0.172981,0.226344,1.06168,0.267823,0.884149
43,452.555,1,20.6199,23.7734,12.6702,1.61101,0.0360864,-0.410917,-0.387343,0.226841,1.0348,0.261042,0.861762
44,461.114,1,20.2315,23.5001,12.6568,1.54512,0.0415318,-0.391577,-0.397204,0.229689,1.11943,0.257155,0.875174
45,457.648,1,20.7196,23.1074,13.5295,1.60897,0.0395078,-0.409507,-0.302242,0.239363,1.09108,0.255498,0.853014
46,459.148,1,21.0123,23.2396,13.9821,1.60896,0.0401144,-0.425847,-0.215484,0.234824,1.06346,0.277895,0.831415
47,463.705,1,20.6485,23.9705,14.0659,1.60905,0.0449234,-0.416259,-0.348956,0.228878,1.03653,0.285156,0.810363
48,468.012,1,20.3083,24.1538,14.4427,1.52901,0.0498341,-0.404535,-0.154434,0.224722,1.01029,0.27933,0.865962
49,462.506,1,20.7783,23.9719,13.4688,1.56486,0.04471,-0.415129,-0.195745,0.219032,1.06662,0.27327,0.844035
50,464.316,1,20.5919,24.5791,12.5005,1.4396,0.0527238,-0.411528,-0.238694,0.219798,1.06452,0.26635,0.833133
51,457.714,1,21.3448,25.3327,12.7121,1.36762,0.0500876,-0.439977,-0.0927138,0.227105,1.14987,0.259606,0.926363
52,461.532,1,20.9561,25.0024,12.5421,1.44038,0.0462113,-0.432189,-0.0904696,0.221355,1.20993,0.265027,0.902907
53,468.508,1,20.2045,25.2001,12.1313,1.41931,0.0507356,-0.395635,-0.215911,0.222442,1.1793,0.293674,0.92664
54,466.001,1,20.6189,25.4351,12.9178,1.48895,0.0471333,-0.41264,-0.190711,0.224444,1.14944,0.286708,0.903177
55,466.573,1,20.1947,25.2947,12.5332,1.48896,0.0490204,-0.404527,-0.0554814,0.219478,1.12822,0.279448,0.880308
56,462.696,1,20.8427,25.4882,12.4037,1.36574,0.0511782,-0.427725,-0.112597,0.218549,1.09965,0.29941,0.86701
57,457.346,1,20.5385,25.1354,11.9614,1.45327,0.0482413,-0.411979,-0.22681,0.213015,1.07181,0.291829,0.845057
58,450.58,1,20.4662,24.738,13.5439,1.38061,0.0458293,-0.400952,-0.291677,0.22465,1.04467,0.303204,0.835262
59,457.072,1,20.2202,25.2108,12.2704,1.48044,0.0435645,-0.398863,-0.271025,0.218961,1.01822,0.295527,0.829454
60,459.152,1,20.3483,25.3172,12.1541,1.41316,0.0483515,-0.399611,-0.342945,0.219759,1.00607,0.295587,0.846759
61,461.081,1,20.3552,24.5269,11.8431,1.5061,0.0459129,-0.397319,-0.300204,0.231306,0.980592,0.290792,0.858385
62,466.534,1,20.2351,24.4297,11.4535,1.56331,0.0446664,-0.400987,-0.50784,0.22545,0.971773,0.299156,0.880692
63,469.752,1,20.3747,24.3278,12.0962,1.6,0.0480009,-0.40424,-0.663791,0.219741,0.979412,0.291581,0.863252
64,469.039,1,21.0222,24.5879,12.0044,1.60004,0.0499839,-0.427003,-0.475745,0.218439,0.954613,0.284198,0.87221
65,462.314,1,20.5609,25.0854,12.0626,1.56168,0.0463479,-0.41294,-0.343092,0.212908,0.930442,0.277002,0.989626
66,461.137,1,20.3538,25.8912,11.7254,1.56165,0.0450826,-0.414547,-0.514716,0.214489,0.906882,0.269988,1.02969
67,468.474,1,21.0126,25.8882,11.3893,1.50119,0.0511573,-0.433558,-0.610976,0.212699,0.909073,0.267607,1.01858
68,461.079,1,20.6378,25.6943,11.4104,1.42613,0.0485994,-0.408934,-0.481907,0.222843,0.921116,0.260831,1.07116
69,457.006,1,20.8732,25.3494,11.513,1.44628,0.0437115,-0.416144,-0.517173,0.227713,0.897792,0.264251,1.13344
70,467.606,1,20.6429,25.221,10.9489,1.5437,0.0443177,-0.408652,-0.511957,0.229748,0.87506,0.274423,1.19657
71,462.657,1,20.192,25.16,10.1789,1.59736,0.0399284,-0.390222,-0.363864,0.230207,0.852903,0.291239,1.16627
72,462.274,1,20.803,25.3382,11.1377,1.68229,0.0375672,-0.424147,-0.409369,0.225808,0.831307,0.283865,1.13674
73,459.842,1,20.939,25.1779,12.4659,1.51425,0.0432546,-0.424087,-0.533678,0.220091,0.840116,0.276677,1.14076
74,455.841,1,20.2408,25.4146,11.3594,1.48942,0.0426797,-0.395077,-0.332467,0.231472,0.869495,0.269671,1.11188
75,455.139,1,20.2385,24.7234,12.5697,1.57005,0.0405492,-0.397585,-0.306614,0.225629,0.847479,0.264715,1.08372
76,445.723,1,20.5344,25.0003,12.7363,1.49155,0.0385217,-0.416022,-0.497485,0.220568,0.841263,0.27967,1.05628
77,459.189,1,20.1249,24.6872,12.7175,1.6033,0.038987,-0.4027,-0.462276,0.22232,0.819962,0.301725,1.02954
78,465.035,1,20.3833,25.1172,11.7653,1.46499,0.0454297,-0.406244,-0.498829,0.218068,0.943883,0.326626,1.00347
79,458.927,1,20.2585,25.6794,12.0654,1.46497,0.0443517,-0.403064,-0.372059,0.213571,0.919983,0.323842,0.980763
80,467.191,1,20.2389,25.0145,11.6066,1.4967,0.0434036,-0.393891,-0.558384,0.22247,1.00545,0.315642,1.04361
81,462.391,1,20.1388,25.1458,11.6538,1.51845,0.0429964,-0.385744,-0.656459,0.216837,0.979987,0.30765,1.02742
82,466.531,1,20.583,24.899,11.8838,1.54904,0.0477765,-0.404921,-0.580016,0.227073,0.955173,0.29986,1.00141
83,470.859,1,20.403,24.7571,11.2861,1.52007,0.0494829,-0.399903,-0.40805,0.233707,0.930987,0.292267,0.98973
84,468.33,1,20.6316,24.8964,11.1392,1.4724,0.0506758,-0.409072,-0.263571,0.23105,0.909427,0.293495,0.96467
85,458.64,1,20.7825,24.9139,12.0691,1.53051,0.0447232,-0.418732,0.0583384,0.225199,0.8864,0.286064,0.969708
