iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0.259513,1.01171,0.263295,0.888378
2,462.317,1,13.505,24.3443,13.1438,1.57483,0.0416799,0.259657,0.986093,0.256628,0.939151
3,464.613,1,13.606,24.3258,13.5299,1.57481,0.0414292,0.265077,0.998821,0.253514,0.920595
4,468.091,1,13.5074,24.3059,14.2224,1.5661,0.0430849,0.258365,0.97353,0.270099,1.01397
5,469.097,1,13.3543,24.4566,13.063,1.52303,0.0474278,0.257363,0.94888,0.26326,1.00621
6,467.973,1,13.499,24.5278,12.2314,1.51972,0.0464684,0.258599,0.956457,0.26785,0.980729
7,463.368,1,13.4945,24.3785,12.1987,1.51965,0.0425247,0.255727,1.06105,0.261068,0.955896
8,468.878,1,13.5698,24.4613,13.17,1.58088,0.0391758,0.270601,1.10351,0.265554,0.957289
9,465.146,1,13.5352,25.2567,13.2376,1.46902,0.0414536,0.263749,1.10137,0.298219,0.949055
10,468.38,1,13.453,24.5368,12.6717,1.44639,0.044308,0.26136,1.22046,0.290668,0.980207
11,469.544,1,13.427,24.8782,12.7574,1.52467,0.0433193,0.26265,1.18956,0.283308,0.955388
12,461.13,1,13.5209,24.8622,12.8132,1.391,0.046719,0.2564,1.15944,0.276134,0.931197
13,469.03,1,13.5419,24.9827,11.4144,1.42332,0.0502136,0.266964,1.13008,0.269142,0.907618
14,463.111,1,13.6557,24.4227,12.8831,1.42327,0.0486232,0.260204,1.10147,0.262328,0.884637
15,461.923,1,13.5321,24.7336,12.0468,1.39741,0.0510271,0.261378,1.07358,0.255685,0.888566
16,459.763,1,13.5241,24.6477,11.9182,1.42246,0.0483641,0.25476,1.04639,0.249211,0.921611
17,464.775,1,13.4645,24.8652,12.5787,1.42254,0.0508029,0.255649,1.0199,0.260099,0.898275
18,462.18,1,13.5297,25.5311,12.5309,1.49977,0.0436449,0.25594,0.997756,0.255157,0.94584
19,460.99,1,13.6774,25.7448,11.7773,1.43287,0.0478697,0.256702,0.974027,0.249745,0.936438
