parameter,value
Cl_pop,22.1420822694503
beta_Cl_LMP_1,0.359311240603677
beta_Cl_logtIMCKGM2,-1.29300377901474
beta_Cl_logtWTKG,1.97978110285732
beta_Cl_tSCRMGDL,-0.572154784373627
V1_pop,11.0383629453059
beta_V1_logtPROGDL,-1.91149117704798
beta_V1_tSCRMGDL,0.632327747115163
Q_pop,23.4
beta_Q_logtIMCKGM2,4.77491823271371
V2_pop,8.20560669972218
beta_V2_SEXF_1,1.44905015449247
beta_V2_logtWTKG,1.6548131180171
omega_Cl,0.141672948275885
omega_V1,0.221788806043586
omega_Q,0.691526016663708
omega_V2,0.416194708028048
a,1.58185356946784
b,0.035082039146963
