iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,omega_Cl,omega_Q,omega_V1,omega_V2,r
1,442.595,1,13.5,31.5,22.7,13.2,1,0.26,0.826,0.312,0.75,0
2,399.175,1,13.4723,26.2141,22.809,16.0792,1.40188,0.256138,1.02918,0.328706,0.662102,0
3,414.088,1,13.3484,26.9907,22.3942,17.3648,1.5445,0.25343,0.991272,0.330642,0.635495,0
4,420.493,1,13.3936,27.3096,22.1979,16.1233,1.6057,0.26022,0.974093,0.328596,0.620205,0
5,426.774,1,13.3479,28.3196,22.2436,15.9206,1.67212,0.257897,0.90307,0.335736,0.644429,0
6,429.378,1,13.4058,26.3198,22.3027,15.9911,1.67349,0.260146,0.974325,0.332569,0.645374,0
7,432.138,1,13.4592,25.8293,22.6787,16.239,1.65229,0.26184,1.07823,0.34928,0.654242,0
8,438.06,1,13.4429,26.1238,22.5828,15.5925,1.70132,0.264329,1.13441,0.350918,0.625126,0
9,444.18,1,13.4333,28.9422,22.3815,15.7748,1.79404,0.248995,1.10312,0.34605,0.617281,0
10,439.963,1,13.3946,28.2922,22.8804,15.2579,1.75975,0.266623,1.02383,0.331264,0.638491,0
11,446.537,1,13.3868,27.1562,22.9263,14.4716,1.78434,0.255205,1.03157,0.346167,0.720415,0
12,447.581,1,13.4487,28.6413,22.8908,14.451,1.80936,0.251801,0.99136,0.337183,0.738076,0
13,438.554,1,13.5991,26.0869,23.4154,14.2698,1.73688,0.263929,0.924761,0.329742,0.73255,0
14,446.958,1,13.4687,25.1241,23.9702,13.1241,1.8315,0.254817,0.937718,0.321536,0.749824,0
15,442.85,1,13.5796,25.2115,23.7646,14.1234,1.76895,0.2642,0.933147,0.342326,0.726311,0
16,444.632,1,13.5016,24.7388,23.3226,14.226,1.77238,0.258006,0.991276,0.343857,0.736302,0
17,448.543,1,13.6048,27.0365,23.1494,14.9821,1.81736,0.258597,1.00178,0.328965,0.736186,0
18,451.677,1,13.5514,27.8162,22.8661,15.5179,1.79787,0.264319,1.07592,0.327095,0.803279,0
19,452.97,1,13.5693,27.6427,23.0486,14.8144,1.84773,0.260561,0.964126,0.339965,0.770647,0
20,450.665,1,13.5743,30.4502,23.1527,14.0557,1.85889,0.25464,0.933239,0.31838,0.782828,0
21,461.856,1,13.4845,27.2731,23.2531,13.8084,2.00986,0.251047,0.940484,0.300656,0.753334,0
22,457.43,1,13.3554,29.5603,23.0696,13.3332,1.95669,0.239654,0.942337,0.311494,0.772864,0
23,448.421,1,13.3389,30.4226,23.0555,13.4058,1.87971,0.241318,0.871891,0.305019,0.802528,0
24,453.191,1,13.3409,28.9446,23.4161,14.018,1.95331,0.258542,0.814021,0.294972,0.761186,0
25,439.945,1,13.5039,28.5036,23.2902,13.3878,1.86217,0.262652,0.838575,0.274938,0.674926,0
26,438.641,1,13.4783,27.7438,23.5958,12.5124,1.8317,0.255076,0.890586,0.288049,0.660511,0
27,437.435,1,13.4612,27.7413,23.8278,12.7677,1.82979,0.256721,0.851283,0.295506,0.649195,0
28,449.459,1,13.4958,29.7853,23.5415,13.2108,1.91115,0.265223,0.91473,0.292287,0.680174,0
29,451.773,1,13.5687,26.9299,23.6555,12.347,1.92416,0.26079,0.92499,0.291713,0.708069,0
30,454.977,1,13.5525,27.8247,23.5817,11.9917,1.96617,0.259695,0.899315,0.285213,0.728998,0
31,453.687,1,13.5818,27.366,23.2424,12.4078,1.95182,0.265617,0.843281,0.293441,0.749725,0
32,459.248,1,13.7138,25.6329,23.7357,12.6079,1.97227,0.26534,0.858358,0.323681,0.749504,0
33,468.86,1,13.7303,28.1175,23.5298,13.5596,2.04024,0.275307,0.888564,0.315037,0.804383,0
34,463.326,1,13.6865,28.0622,24.1525,12.2102,1.98207,0.261908,0.869739,0.337903,0.79533,0
35,457.286,1,13.641,25.3248,23.9537,12.9159,1.95393,0.263493,0.849153,0.334989,0.724571,0
36,463.38,1,13.5477,25.1546,24.3219,12.3671,2.01294,0.263196,0.871992,0.330506,0.742036,0
37,459.752,1,13.3792,24.3007,24.7511,13.0107,1.96422,0.254143,0.806909,0.348391,0.799173,0
38,459.024,1,13.565,24.7608,24.0878,12.8536,1.96762,0.262432,0.797301,0.341382,0.76838,0
39,462.202,1,13.4293,25.8646,24.6389,11.6399,1.98129,0.26428,0.843876,0.354286,0.749087,0
40,456.671,1,13.5917,24.0192,23.9231,11.5177,1.93669,0.268018,0.80752,0.345173,0.754034,0
41,455.12,1,13.5286,22.8768,24.0947,12.3202,1.92815,0.269897,0.802663,0.342435,0.745813,0
42,457.898,1,13.5294,22.6832,24.2242,12.1014,1.92778,0.263016,0.869795,0.349029,0.759622,0
43,448.361,1,13.5385,23.2198,24.0845,12.976,1.87501,0.266721,0.675789,0.353819,0.809643,0
44,451.213,1,13.4443,22.0311,24.5865,12.6701,1.92349,0.258787,0.717601,0.362756,0.730148,0
