iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,840.645,1,13.5086,26.1537,23.8987,13.1157,1.5,1.5,1.2,1.5,1.5,1.5
2,823.954,1,32.1264,28.1547,47.1338,17.7011,1.425,1.425,1.16962,1.46202,1.46202,1.46202
3,811.245,1,31.9417,27.2285,52.5256,23.0007,1.35375,1.35375,1.14,1.425,1.425,1.425
4,808.282,1,31.1301,35.1648,55.2817,26.4436,1.28606,1.28606,1.11113,1.40569,1.38892,1.38892
5,808.863,1,30.1085,38.3009,50.879,25.9618,1.22176,1.22176,1.083,1.3701,1.35375,1.35375
6,799.536,1,28.9523,34.2712,50.6316,26.4192,1.16067,1.16067,1.05558,1.45966,1.31947,1.31947
7,797.653,1,28.3156,28.4783,49.3163,29.648,1.10264,1.10264,1.02885,1.4227,1.28606,1.38462
8,787.042,1,27.7536,32.0055,45.646,26.2895,1.04751,1.04751,1.0028,1.40651,1.2535,1.34956
9,780.927,1,27.4242,40.5771,37.3134,27.9539,0.995131,0.995131,0.977407,1.3709,1.22176,1.31539
10,778.124,1,28.4151,45.1124,42.3648,28.7174,0.945374,0.945374,0.952659,1.35377,1.19082,1.28209
11,764.219,1,26.299,38.8461,39.3301,29.2974,0.898105,0.898105,0.928537,1.31949,1.16067,1.24962
12,760.899,1,25.9302,40.1428,39.2786,24.5913,0.8532,0.8532,0.905026,1.46762,1.13128,1.25436
13,755.366,1,24.2995,34.8642,38.3442,25.769,0.81054,0.81054,0.88211,1.51819,1.10264,1.27571
14,739.781,1,24.0301,31.4588,34.8889,19.5798,0.770013,0.770013,0.859775,1.47975,1.07472,1.24341
15,738.045,1,21.6513,32.4458,32.9041,17.6791,0.731512,0.731512,0.838005,1.44228,1.04751,1.21192
16,722.572,1,21.6829,22.7198,34.9767,19.7976,0.694937,0.694937,0.816786,1.40576,1.02098,1.18124
17,725.172,1,22.0956,28.2151,34.8271,16.8254,0.66019,0.66019,0.796105,1.40283,0.995131,1.21568
18,710.047,1,22.3728,26.467,38.0098,17.6095,0.627181,0.627181,0.775947,1.36731,0.969933,1.1849
19,701.515,1,21.7239,24.9501,36.1668,17.0903,0.595821,0.595821,0.756299,1.40719,0.945374,1.1549
20,692.165,1,21.237,27.2996,33.9729,15.3753,0.56603,0.56603,0.737149,1.37156,0.921437,1.12565
21,694.206,1,20.8482,28.0022,34.0137,21.0138,0.537729,0.537729,0.718484,1.37215,0.898105,1.09715
22,672.44,1,20.5389,26.8158,32.4664,19.2128,0.510842,0.510842,0.700292,1.33741,0.875365,1.06937
23,667.826,1,19.6776,24.7,30.4654,19.5559,0.4853,0.4853,0.68256,1.30354,0.8532,1.04229
24,654.795,1,19.811,21.7596,30.3871,17.4251,0.461035,0.461035,0.665277,1.29677,0.831597,1.0159
25,647.53,1,20.2568,22.0856,32.5216,17.1166,0.437984,0.437984,0.648432,1.26394,0.81054,0.990179
26,646.151,1,20.0949,21.7507,34.7847,17.6563,0.416084,0.416084,0.632013,1.23194,0.790017,0.965107
27,644.266,1,19.7256,18.6433,31.8874,20.313,0.39528,0.39528,0.61601,1.20074,0.770013,0.942555
28,632.879,1,19.5429,21.9038,31.7914,16.8796,0.375516,0.375516,0.600413,1.19907,0.750516,0.918689
29,610.005,1,20.0315,26.8704,29.4067,20.312,0.35674,0.35674,0.58521,1.16871,0.731512,0.895427
