iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,omega_Cl,omega_Q,omega_V1,omega_V2
1,-444.112,1,13.6507,2.7745,28.6049,36.2362,0.157485,0.248866,2.26158,0.14988,2.55192e-07
2,-426.237,1,13.6384,1.97888,28.2651,36.2362,0.159313,0.256109,2.67434,0.15512,2.67549e-07
3,-445.223,1,13.7427,2.36229,28.6641,36.2362,0.149823,0.246892,2.41537,0.144079,2.53983e-07
4,-436.838,1,13.5389,2.10871,28.4709,36.2362,0.157452,0.255292,2.7407,0.139211,2.19935e-07
5,-443.366,1,13.6413,2.60702,28.3989,36.2362,0.157316,0.260034,2.28699,0.147439,1.97565e-07
6,-442.968,1,13.5281,2.58153,28.8915,36.2362,0.154991,0.249892,2.16227,0.162529,2.18563e-07
7,-433.318,1,13.8737,2.92731,29.1932,36.2362,0.164335,0.252984,2.05357,0.157981,2.27052e-07
8,-432.708,1,13.7931,2.78496,29.0652,36.2362,0.160341,0.252328,2.14575,0.164798,2.47038e-07
9,-424.429,1,13.604,2.66466,28.729,36.2362,0.165386,0.255455,2.17451,0.16615,2.61355e-07
10,-438.723,1,13.6179,2.91116,28.6594,36.2362,0.160056,0.250486,2.06369,0.149511,2.35903e-07
11,-446.564,1,13.7618,2.73289,28.8204,36.2362,0.157396,0.24685,2.26657,0.120789,2.29697e-07
12,-451.515,1,13.6316,2.72133,29.3011,36.2362,0.158883,0.237411,2.03916,0.114165,2.25073e-07
13,-441.92,1,13.6413,2.97607,29.0974,36.2362,0.167224,0.259805,2.04138,0.116937,2.03169e-07
14,-438.558,1,13.7155,2.53548,28.8271,36.2362,0.16529,0.252591,2.20024,0.116462,2.33512e-07
15,-437.739,1,13.4788,2.76355,28.8397,36.2362,0.166836,0.249309,2.36807,0.111388,2.23356e-07
16,-426.479,1,13.5937,2.43281,28.7051,36.2362,0.167628,0.247333,2.53413,0.118478,2.79817e-07
17,-430.63,1,13.5293,2.93372,28.5653,36.2362,0.165858,0.25724,2.29468,0.128141,2.54945e-07
18,-436.361,1,13.5471,2.56947,28.3235,36.2362,0.164326,0.240502,2.17655,0.125051,2.57301e-07
19,-430.265,1,13.7122,4.02419,28.4589,36.2362,0.165787,0.25699,2.40054,0.12494,2.53905e-07
20,-433.297,1,13.7839,4.20427,28.8093,36.2362,0.168893,0.245956,2.20886,0.115945,2.51231e-07
21,-431.425,1,13.5113,3.32538,28.9404,36.2362,0.169796,0.244806,2.40109,0.119099,2.33031e-07
22,-439.482,1,13.5142,2.56289,28.715,36.2362,0.161034,0.253109,2.48905,0.124669,2.18206e-07
23,-436.188,1,13.5308,2.12736,28.6113,36.2362,0.165271,0.260908,2.61282,0.120759,1.98816e-07
24,-440.122,1,13.5653,2.19434,28.6297,36.2362,0.166175,0.245817,2.65577,0.124836,1.70482e-07
25,-457.517,1,13.6697,2.43168,28.5216,36.2362,0.15613,0.245926,2.4219,0.110601,1.71693e-07
26,-450.845,1,13.592,2.24617,28.6514,36.2362,0.164204,0.242996,2.46467,0.114819,1.51809e-07
27,-455.396,1,13.7239,2.22191,29.1314,36.2362,0.164183,0.244764,2.555,0.0978876,1.46644e-07
