rep,id,eta_V,eta_Cl
1,1,0.146232642350537,0.194959747123017
2,1,-0.0244256024819903,0.558717063632923
3,1,0.143559621433027,0.523992565993009
4,1,-0.0044579573175691,0.40429272769899
5,1,0.0164926132652469,0.596469824863351
6,1,-0.0209333254159775,0.386861630076669
7,1,0.0687224575102754,0.225631706498453
8,1,0.0811949513692548,0.425415505661145
9,1,0.154511911331594,0.29998767110829
10,1,-0.133366646503409,0.656028079182626
1,2,-0.164065748278944,0.304204350088603
2,2,-0.197180089394198,0.142718401028639
3,2,-0.296020705623839,0.21939838335101
4,2,-0.337294706611711,0.305353709836493
5,2,-0.198250997390336,0.191578788241299
6,2,-0.268299958657762,0.327123563092211
7,2,-0.301354194424652,0.285283326603508
8,2,-0.199264578695276,0.185136035117806
9,2,-0.226267589815668,0.280672895262098
10,2,-0.316370607423539,0.416955117055092
1,3,0.199397519458178,0.202151750322937
2,3,0.025669072305141,0.231309076492547
3,3,0.0579962246432831,0.207398304488135
4,3,0.25463879592592,0.302135166200493
5,3,0.0535532553286954,0.214412987325217
6,3,-0.0345314487448956,0.190042483899588
7,3,0.126262722208468,0.123603652304424
8,3,0.119918793034515,0.312026623486271
9,3,0.0311681312278232,0.3521267695764
10,3,0.115077937509927,0.240550460618308
1,4,-0.104185382334624,-0.0124746207788851
2,4,-0.0833085963176734,-0.125147743967381
3,4,-0.0343108278244475,-0.0148890690096962
4,4,-0.0593188144343751,-0.0217997772878764
5,4,-0.0283352325739239,-0.113585295430164
6,4,-0.14134290410216,-0.120907692137696
7,4,-0.184091669783449,-0.165995974094399
8,4,-0.10846916815175,-0.0993624775019117
9,4,-0.186502149016357,-0.047557392230752
10,4,-0.0878763887817703,-0.12214968479496
1,5,-0.463865354694601,-0.0658910587016067
2,5,-0.423569707010529,-0.154568045899074
3,5,-0.266459770508958,-0.11956156019299
4,5,-0.38875780450159,-0.144418042310572
5,5,-0.343153062869033,-0.0606318414514513
6,5,-0.241935432313531,-0.186746249165792
7,5,-0.332778745027206,-0.134187488757611
8,5,-0.32695077701625,-0.110974920770266
9,5,-0.37218768292818,-0.109880164883652
10,5,-0.353975258606966,-0.207178922133046
1,6,0.143252071193962,0.0653128354362418
2,6,-0.144502900861338,0.0991366333094486
